Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:26:8,,
Header Version:,1,,
System Temp (C):,30.27,,
Detector Temp (C):,29.01,,
Humidity (%):,33.74,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.515,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.121757,23756.000000,17948.000000
905.500242,0.128166,26065.000000,19404.000000
909.444026,0.126233,28446.000000,21271.000000
913.383411,0.133390,31151.000000,22913.000000
917.318397,0.136808,34594.000000,25246.000000
921.248983,0.138686,38706.000000,28125.000000
925.175171,0.135992,43333.000000,31683.000000
929.096959,0.138591,48106.000000,34963.000000
933.014348,0.138340,52854.000000,38436.000000
936.927338,0.137313,57207.000000,41700.000000
942.137815,0.136103,62583.000000,45746.000000
946.040540,0.136344,66412.000000,48518.000000
949.938866,0.134885,70192.000000,51452.000000
953.832793,0.134973,73953.000000,54198.000000
957.722320,0.134524,77741.000000,57033.000000
961.607449,0.135241,81459.000000,59662.000000
965.488178,0.136111,84970.000000,62109.000000
969.364509,0.137480,88307.000000,64345.000000
973.236440,0.133811,91422.000000,67180.000000
977.103972,0.134760,94242.000000,69101.000000
980.967105,0.133821,96650.000000,71020.000000
984.825838,0.135668,98706.000000,72223.000000
988.680173,0.135553,100691.000000,73695.000000
992.530108,0.135057,102102.000000,74813.000000
997.656512,0.136136,103062.000000,75329.000000
1001.496183,0.136133,103488.000000,75641.000000
1005.331454,0.135615,103668.000000,75863.000000
1009.162327,0.135409,103604.000000,75852.000000
1012.988800,0.134766,103501.000000,75889.000000
1016.810874,0.134654,103473.000000,75888.000000
1020.628549,0.134127,103180.000000,75765.000000
1024.441824,0.135349,102848.000000,75309.000000
1028.250701,0.134113,102542.000000,75299.000000
1032.055178,0.134519,102330.000000,75073.000000
1035.855257,0.133587,102161.000000,75110.000000
1039.650936,0.133409,101990.000000,75015.000000
1043.442216,0.133780,101741.000000,74768.000000
1048.490413,0.134751,101666.000000,74546.000000
1052.271428,0.133379,101700.000000,74807.000000
1056.048044,0.132791,101777.000000,74965.000000
1059.820261,0.132444,101906.000000,75120.000000
1063.588079,0.132780,102259.000000,75322.000000
1067.351497,0.132672,102763.000000,75712.000000
1071.110517,0.131062,103190.000000,76309.000000
1074.865137,0.131507,103645.000000,76567.000000
1078.615358,0.130519,104247.000000,77187.000000
1082.361180,0.129508,104844.000000,77810.000000
1086.102603,0.129756,105404.000000,78181.000000
1089.839627,0.127846,105830.000000,78843.000000
1093.572251,0.128885,106541.000000,79183.000000
1097.300477,0.129239,106997.000000,79457.000000
1102.264601,0.129004,107655.000000,79989.000000
1105.982562,0.130046,108209.000000,80208.000000
1109.696123,0.129933,108541.000000,80475.000000
1113.405285,0.130474,108883.000000,80628.000000
1117.110049,0.130516,109111.000000,80789.000000
1120.810413,0.130566,109449.000000,81030.000000
1124.506378,0.132207,110148.000000,81240.000000
1128.197943,0.132598,110387.000000,81343.000000
1131.885110,0.132764,110542.000000,81426.000000
1135.567878,0.131305,110818.000000,81904.000000
1139.246246,0.130617,111041.000000,82199.000000
1142.920215,0.131201,111319.000000,82294.000000
1146.589785,0.129998,111575.000000,82712.000000
1150.254956,0.130811,112030.000000,82894.000000
1155.135007,0.132045,112594.000000,83075.000000
1158.789913,0.132521,113176.000000,83413.000000
1162.440420,0.132202,113756.000000,83902.000000
1166.086528,0.132758,114495.000000,84339.000000
1169.728237,0.132618,115248.000000,84921.000000
1173.365546,0.132540,116196.000000,85635.000000
1176.998457,0.131843,117260.000000,86558.000000
1180.626968,0.129314,118314.000000,87846.000000
