Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:23:9,,
Header Version:,1,,
System Temp (C):,30.12,,
Detector Temp (C):,28.85,,
Humidity (%):,35.05,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.507,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.067593,23756.000000,20332.000000
905.500242,0.074010,26065.000000,21981.000000
909.444026,0.071392,28446.000000,24134.000000
913.383411,0.077998,31151.000000,26030.000000
917.318397,0.081058,34594.000000,28704.000000
921.248983,0.083430,38706.000000,31941.000000
925.175171,0.079926,43333.000000,36049.000000
929.096959,0.082480,48106.000000,39785.000000
933.014348,0.082895,52854.000000,43670.000000
936.927338,0.081167,57207.000000,47455.000000
942.137815,0.079702,62583.000000,52090.000000
946.040540,0.080150,66412.000000,55220.000000
949.938866,0.078420,70192.000000,58596.000000
953.832793,0.079114,73953.000000,61637.000000
957.722320,0.078084,77741.000000,64948.000000
961.607449,0.078724,81459.000000,67954.000000
965.488178,0.078858,84970.000000,70861.000000
969.364509,0.080110,88307.000000,73432.000000
973.236440,0.076539,91422.000000,76650.000000
977.103972,0.078060,94242.000000,78738.000000
980.967105,0.077226,96650.000000,80905.000000
984.825838,0.079065,98706.000000,82277.000000
988.680173,0.078835,100691.000000,83976.000000
992.530108,0.078319,102102.000000,85254.000000
997.656512,0.079713,103062.000000,85780.000000
1001.496183,0.080230,103488.000000,86032.000000
1005.331454,0.079498,103668.000000,86327.000000
1009.162327,0.079456,103604.000000,86282.000000
1012.988800,0.079145,103501.000000,86258.000000
1016.810874,0.079219,103473.000000,86220.000000
1020.628549,0.079572,103180.000000,85906.000000
1024.441824,0.080662,102848.000000,85415.000000
1028.250701,0.080223,102542.000000,85247.000000
1032.055178,0.079803,102330.000000,85153.000000
1035.855257,0.079652,102161.000000,85042.000000
1039.650936,0.079778,101990.000000,84875.000000
1043.442216,0.079695,101741.000000,84684.000000
1048.490413,0.081353,101666.000000,84299.000000
1052.271428,0.080064,101700.000000,84578.000000
1056.048044,0.079746,101777.000000,84704.000000
1059.820261,0.079620,101906.000000,84836.000000
1063.588079,0.080421,102259.000000,84973.000000
1067.351497,0.080353,102763.000000,85405.000000
1071.110517,0.078554,103190.000000,86116.000000
1074.865137,0.079568,103645.000000,86294.000000
1078.615358,0.079299,104247.000000,86849.000000
1082.361180,0.077985,104844.000000,87611.000000
1086.102603,0.078157,105404.000000,88044.000000
1089.839627,0.076328,105830.000000,88773.000000
1093.572251,0.077308,106541.000000,89168.000000
1097.300477,0.077064,106997.000000,89600.000000
1102.264601,0.076294,107655.000000,90311.000000
1105.982562,0.076939,108209.000000,90641.000000
1109.696123,0.076505,108541.000000,91010.000000
1113.405285,0.076746,108883.000000,91246.000000
1117.110049,0.076604,109111.000000,91467.000000
1120.810413,0.076435,109449.000000,91786.000000
1124.506378,0.077415,110148.000000,92164.000000
1128.197943,0.077049,110387.000000,92442.000000
1131.885110,0.077536,110542.000000,92468.000000
1135.567878,0.076015,110818.000000,93024.000000
1139.246246,0.075332,111041.000000,93358.000000
1142.920215,0.075841,111319.000000,93482.000000
1146.589785,0.074310,111575.000000,94028.000000
1150.254956,0.074602,112030.000000,94348.000000
1155.135007,0.075541,112594.000000,94618.000000
1158.789913,0.076264,113176.000000,94949.000000
1162.440420,0.077191,113756.000000,95232.000000
1166.086528,0.078533,114495.000000,95555.000000
1169.728237,0.079706,115248.000000,95924.000000
1173.365546,0.081186,116196.000000,96384.000000
1176.998457,0.082329,117260.000000,97011.000000
1180.626968,0.080942,118314.000000,98196.000000
1184.251080,0.080351,119420.000000,99249.000000
1187.870793,0.080271,120660.000000,100298.000000
1191.486107,0.079345,122104.000000,101715.000000
1195.097021,0.076680,123408.000000,103434.000000
1198.703537,0.074940,124879.000000,105087.000000
1203.505381,0.073647,127171.000000,107335.000000
1207.101631,0.071810,128929.000000,109280.000000
1210.693483,0.071848,130624.000000,110707.000000
1214.280935,0.071853,132432.000000,112238.000000
1217.863989,0.070770,134356.000000,114153.000000
1221.442643,0.069773,136434.000000,116185.000000
1225.016898,0.069750,138254.000000,117741.000000
1228.586754,0.069490,140110.000000,119393.000000
1232.152210,0.068125,142307.000000,121647.000000
1235.713268,0.067768,144480.000000,123606.000000
1239.269926,0.068543,146375.000000,125004.000000
1242.822185,0.067219,148395.000000,127116.000000
1246.370045,0.067435,150778.000000,129093.000000
1249.913506,0.067226,153060.000000,131110.000000
1254.631278,0.067978,155918.000000,133327.000000
1258.164474,0.068491,157931.000000,134889.000000
1261.693271,0.068990,160225.000000,136691.000000
1265.217669,0.068415,162531.000000,138842.000000
1268.737667,0.068642,164471.000000,140426.000000
1272.253267,0.067681,166342.000000,142338.000000
1275.764467,0.067878,168611.000000,144214.000000
1279.271269,0.067429,170630.000000,146092.000000
1282.773671,0.067067,172186.000000,147547.000000
1286.271674,0.066567,173503.000000,148847.000000
1289.765277,0.066423,175078.000000,150248.000000
1293.254482,0.066965,176321.000000,151126.000000
1296.739287,0.067771,177150.000000,151555.000000
1300.219694,0.067616,178114.000000,152434.000000
1304.853392,0.068422,179516.000000,153349.000000
1308.323534,0.068872,180112.000000,153699.000000
1311.789276,0.069052,180427.000000,153904.000000
1315.250620,0.068382,180849.000000,154502.000000
1318.707564,0.068214,181295.000000,154943.000000
1322.160109,0.068751,181387.000000,154830.000000
1325.608255,0.068886,181312.000000,154718.000000
1329.052002,0.068904,181274.000000,154679.000000
1332.491349,0.069012,181109.000000,154500.000000
1335.926297,0.069045,180689.000000,154130.000000
1339.356847,0.069667,179848.000000,153193.000000
1342.782997,0.069774,179242.000000,152639.000000
1346.204748,0.070550,178573.000000,151798.000000
1349.622099,0.071103,177890.000000,151025.000000
1354.171725,0.072567,176659.000000,149475.000000
1357.578812,0.073677,175938.000000,148485.000000
1360.981500,0.074338,175417.000000,147820.000000
1364.379789,0.075262,174939.000000,147104.000000
1367.773679,0.075452,174429.000000,146611.000000
1371.163169,0.077340,174092.000000,145693.000000
1374.548260,0.077091,173838.000000,145564.000000
1377.928953,0.078521,173647.000000,144926.000000
1381.305246,0.078540,173017.000000,144394.000000
1384.677139,0.078849,172585.000000,143931.000000
1388.044634,0.079387,172273.000000,143493.000000
1391.407730,0.081031,171871.000000,142617.000000
1394.766426,0.081558,171212.000000,141898.000000
1399.237845,0.084556,170477.000000,140317.000000
1402.586276,0.085669,170057.000000,139613.000000
1405.930309,0.087651,169522.000000,138540.000000
1409.269942,0.089687,169040.000000,137500.000000
1412.605176,0.091295,168685.000000,136704.000000
1415.936011,0.091449,168440.000000,136457.000000
1419.262447,0.090622,168277.000000,136585.000000
1422.584484,0.089345,168052.000000,136804.000000
1425.902122,0.087518,168094.000000,137415.000000
1429.215360,0.086717,168176.000000,137736.000000
1432.524199,0.085671,168237.000000,138118.000000
1435.828639,0.083548,168356.000000,138893.000000
1439.128680,0.081817,168675.000000,139712.000000
1442.424322,0.080802,168916.000000,140239.000000
1446.811668,0.079651,169258.000000,140896.000000
1450.097045,0.079265,169379.000000,141122.000000
1453.378023,0.077824,169391.000000,141601.000000
1456.654602,0.078344,169334.000000,141384.000000
1459.926782,0.078153,169305.000000,141422.000000
1463.194562,0.077417,169126.000000,141512.000000
1466.457943,0.077635,168919.000000,141268.000000
1469.716926,0.076860,168594.000000,141248.000000
1472.971509,0.076470,168234.000000,141073.000000
1476.221692,0.075455,167663.000000,140923.000000
1479.467477,0.075573,167217.000000,140510.000000
1482.708863,0.074655,166625.000000,140309.000000
1485.945849,0.073105,166131.000000,140393.000000
1489.178436,0.073251,165518.000000,139828.000000
1493.481710,0.073662,164484.000000,138823.000000
1496.704032,0.074328,164054.000000,138248.000000
1499.921956,0.074040,163401.000000,137789.000000
1503.135480,0.074304,162290.000000,136769.000000
1506.344605,0.073819,161374.000000,136149.000000
1509.549331,0.074203,160366.000000,135179.000000
1512.749658,0.073961,159378.000000,134421.000000
1515.945585,0.073432,158285.000000,133662.000000
1519.137114,0.073745,157316.000000,132748.000000
1522.324243,0.073935,156147.000000,131704.000000
1525.506973,0.073811,155113.000000,130869.000000
1528.685304,0.073674,154000.000000,129971.000000
1531.859236,0.074252,152588.000000,128608.000000
1535.028769,0.073002,151256.000000,127853.000000
1539.247969,0.073619,149501.000000,126190.000000
1542.407237,0.073306,148026.000000,125035.000000
1545.562106,0.072235,146484.000000,124038.000000
1548.712576,0.072514,144932.000000,122645.000000
1551.858646,0.071520,143312.000000,121552.000000
1555.000318,0.072561,141623.000000,119832.000000
1558.137590,0.073153,139790.000000,118120.000000
1561.270463,0.072858,137958.000000,116651.000000
1564.398937,0.071921,136203.000000,115416.000000
1567.523012,0.071852,134303.000000,113824.000000
1570.642687,0.072291,132340.000000,112047.000000
1573.757964,0.073128,130373.000000,110169.000000
1576.868841,0.073263,128194.000000,108294.000000
1581.009834,0.072938,125453.000000,106058.000000
1584.110447,0.074277,123268.000000,103890.000000
1587.206660,0.074261,121128.000000,102090.000000
1590.298475,0.074388,118983.000000,100253.000000
1593.385890,0.074127,116601.000000,98305.000000
1596.468906,0.073856,114492.000000,96587.000000
1599.547522,0.073797,112247.000000,94706.000000
1602.621740,0.076519,110113.000000,92325.000000
1605.691559,0.075442,107845.000000,90648.000000
1608.756978,0.075363,105764.000000,88915.000000
1611.817998,0.076699,103762.000000,86964.000000
1614.874619,0.075488,101454.000000,85267.000000
1617.926841,0.076229,99141.000000,83181.000000
1620.974664,0.076327,96810.000000,81207.000000
1625.031584,0.076887,93749.000000,78538.000000
1628.069142,0.077540,91480.000000,76522.000000
1631.102301,0.079027,89180.000000,74343.000000
1634.131061,0.078901,86957.000000,72511.000000
1637.155422,0.082340,84664.000000,70042.000000
1640.175383,0.083635,82560.000000,68098.000000
1643.190945,0.087773,80299.000000,65605.000000
1646.202108,0.089633,77863.000000,63343.000000
1649.208872,0.093603,75323.000000,60719.000000
1652.211237,0.095670,72646.000000,58283.000000
1655.209203,0.094859,69695.000000,56020.000000
1658.202769,0.094470,66120.000000,53194.000000
1661.191937,0.085639,61928.000000,50845.000000
1664.176705,0.075501,57108.000000,47995.000000
1668.149553,0.053421,49420.000000,43700.000000
1671.124056,0.035709,43252.000000,39838.000000
1674.094160,0.019686,37007.000000,35367.000000
