Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:50:59,,
Header Version:,1,,
System Temp (C):,31.43,,
Detector Temp (C):,30.86,,
Humidity (%):,37.76,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.458,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.070637,23756.000000,20190.000000
905.500242,0.075296,26065.000000,21916.000000
909.444026,0.073828,28446.000000,23999.000000
913.383411,0.078866,31151.000000,25978.000000
917.318397,0.083060,34594.000000,28572.000000
921.248983,0.083579,38706.000000,31930.000000
925.175171,0.082317,43333.000000,35851.000000
929.096959,0.083234,48106.000000,39716.000000
933.014348,0.081941,52854.000000,43766.000000
936.927338,0.080554,57207.000000,47522.000000
942.137815,0.077863,62583.000000,52311.000000
946.040540,0.076251,66412.000000,55718.000000
949.938866,0.074113,70192.000000,59180.000000
953.832793,0.073243,73953.000000,62476.000000
957.722320,0.071936,77741.000000,65874.000000
961.607449,0.071310,81459.000000,69124.000000
965.488178,0.070548,84970.000000,72230.000000
969.364509,0.070494,88307.000000,75076.000000
973.236440,0.067627,91422.000000,78239.000000
977.103972,0.067279,94242.000000,80717.000000
980.967105,0.065569,96650.000000,83106.000000
984.825838,0.066045,98706.000000,84781.000000
988.680173,0.064846,100691.000000,86725.000000
992.530108,0.063792,102102.000000,88154.000000
997.656512,0.063372,103062.000000,89069.000000
1001.496183,0.062723,103488.000000,89571.000000
1005.331454,0.061513,103668.000000,89977.000000
1009.162327,0.060604,103604.000000,90110.000000
1012.988800,0.059464,103501.000000,90257.000000
1016.810874,0.059558,103473.000000,90213.000000
1020.628549,0.058731,103180.000000,90129.000000
1024.441824,0.059026,102848.000000,89778.000000
1028.250701,0.057838,102542.000000,89756.000000
1032.055178,0.057259,102330.000000,89690.000000
1035.855257,0.056154,102161.000000,89770.000000
1039.650936,0.056177,101990.000000,89615.000000
1043.442216,0.055688,101741.000000,89497.000000
1048.490413,0.056363,101666.000000,89292.000000
1052.271428,0.055091,101700.000000,89584.000000
1056.048044,0.054988,101777.000000,89673.000000
1059.820261,0.054286,101906.000000,89932.000000
1063.588079,0.054370,102259.000000,90226.000000
1067.351497,0.053770,102763.000000,90796.000000
1071.110517,0.052202,103190.000000,91503.000000
1074.865137,0.052332,103645.000000,91879.000000
1078.615358,0.051786,104247.000000,92529.000000
1082.361180,0.050490,104844.000000,93337.000000
1086.102603,0.050210,105404.000000,93896.000000
1089.839627,0.047906,105830.000000,94777.000000
1093.572251,0.048305,106541.000000,95326.000000
1097.300477,0.047657,106997.000000,95877.000000
1102.264601,0.046271,107655.000000,96775.000000
1105.982562,0.046499,108209.000000,97222.000000
1109.696123,0.045833,108541.000000,97670.000000
1113.405285,0.045176,108883.000000,98126.000000
1117.110049,0.044375,109111.000000,98513.000000
1120.810413,0.043208,109449.000000,99084.000000
1124.506378,0.043499,110148.000000,99650.000000
1128.197943,0.042692,110387.000000,100052.000000
1131.885110,0.043328,110542.000000,100046.000000
1135.567878,0.042535,110818.000000,100479.000000
1139.246246,0.042536,111041.000000,100681.000000
1142.920215,0.042915,111319.000000,100845.000000
1146.589785,0.042618,111575.000000,101146.000000
1150.254956,0.043373,112030.000000,101382.000000
1155.135007,0.045036,112594.000000,101503.000000
1158.789913,0.046147,113176.000000,101767.000000
1162.440420,0.046876,113756.000000,102117.000000
1166.086528,0.048491,114495.000000,102399.000000
1169.728237,0.049269,115248.000000,102888.000000
1173.365546,0.050612,116196.000000,103414.000000
1176.998457,0.052530,117260.000000,103901.000000
1180.626968,0.052749,118314.000000,104782.000000
1184.251080,0.053853,119420.000000,105493.000000
1187.870793,0.056094,120660.000000,106040.000000
1191.486107,0.057314,122104.000000,107008.000000
1195.097021,0.057329,123408.000000,108147.000000
1198.703537,0.058521,124879.000000,109136.000000
1203.505381,0.060076,127171.000000,110742.000000
1207.101631,0.059955,128929.000000,112304.000000
1210.693483,0.061199,130624.000000,113455.000000
1214.280935,0.062119,132432.000000,114782.000000
1217.863989,0.061458,134356.000000,116627.000000
1221.442643,0.061498,136434.000000,118420.000000
1225.016898,0.061030,138254.000000,120129.000000
1228.586754,0.060669,140110.000000,121843.000000
1232.152210,0.059189,142307.000000,124176.000000
1235.713268,0.058284,144480.000000,126335.000000
1239.269926,0.057918,146375.000000,128100.000000
1242.822185,0.055982,148395.000000,130448.000000
1246.370045,0.055916,150778.000000,132563.000000
1249.913506,0.054888,153060.000000,134888.000000
1254.631278,0.055030,155918.000000,137362.000000
1258.164474,0.054928,157931.000000,139168.000000
1261.693271,0.055169,160225.000000,141111.000000
1265.217669,0.054275,162531.000000,143437.000000
1268.737667,0.054269,164471.000000,145151.000000
1272.253267,0.052997,166342.000000,147233.000000
1275.764467,0.052684,168611.000000,149349.000000
1279.271269,0.051310,170630.000000,151616.000000
1282.773671,0.049943,172186.000000,153481.000000
1286.271674,0.048799,173503.000000,155063.000000
1289.765277,0.047650,175078.000000,156885.000000
1293.254482,0.047735,176321.000000,157968.000000
1296.739287,0.047548,177150.000000,158779.000000
1300.219694,0.047222,178114.000000,159763.000000
1304.853392,0.048185,179516.000000,160664.000000
1308.323534,0.048312,180112.000000,161150.000000
1311.789276,0.048751,180427.000000,161269.000000
1315.250620,0.047983,180849.000000,161932.000000
1318.707564,0.048514,181295.000000,162133.000000
1322.160109,0.049504,181387.000000,161846.000000
1325.608255,0.050230,181312.000000,161509.000000
1329.052002,0.051105,181274.000000,161150.000000
1332.491349,0.052197,181109.000000,160599.000000
1335.926297,0.053483,180689.000000,159753.000000
1339.356847,0.055889,179848.000000,158131.000000
1342.782997,0.057416,179242.000000,157045.000000
1346.204748,0.060102,178573.000000,155494.000000
1349.622099,0.061890,177890.000000,154263.000000
1354.171725,0.066176,176659.000000,151691.000000
1357.578812,0.068979,175938.000000,150100.000000
1360.981500,0.071825,175417.000000,148678.000000
1364.379789,0.074262,174939.000000,147443.000000
1367.773679,0.076018,174429.000000,146420.000000
1371.163169,0.078128,174092.000000,145429.000000
1374.548260,0.078831,173838.000000,144982.000000
1377.928953,0.081419,173647.000000,143962.000000
1381.305246,0.082568,173017.000000,143061.000000
1384.677139,0.084595,172585.000000,142039.000000
1388.044634,0.087137,172273.000000,140955.000000
1391.407730,0.091030,171871.000000,139371.000000
1394.766426,0.094774,171212.000000,137645.000000
1399.237845,0.102856,170477.000000,134527.000000
1402.586276,0.109097,170057.000000,132281.000000
1405.930309,0.116507,169522.000000,129634.000000
1409.269942,0.125374,169040.000000,126653.000000
1412.605176,0.134731,168685.000000,123693.000000
1415.936011,0.143021,168440.000000,121178.000000
1419.262447,0.151413,168277.000000,118744.000000
1422.584484,0.159148,168052.000000,116492.000000
1425.902122,0.165304,168094.000000,114881.000000
1429.215360,0.172037,168176.000000,113169.000000
1432.524199,0.177084,168237.000000,111902.000000
1435.828639,0.180460,168356.000000,111114.000000
1439.128680,0.183610,168675.000000,110520.000000
1442.424322,0.186910,168916.000000,109840.000000
1446.811668,0.190557,169258.000000,109142.000000
1450.097045,0.193334,169379.000000,108524.000000
1453.378023,0.194940,169391.000000,108131.000000
1456.654602,0.198221,169334.000000,107281.000000
1459.926782,0.200705,169305.000000,106651.000000
1463.194562,0.202823,169126.000000,106020.000000
1466.457943,0.206382,168919.000000,105026.000000
1469.716926,0.208691,168594.000000,104268.000000
1472.971509,0.211318,168234.000000,103418.000000
1476.221692,0.212943,167663.000000,102682.000000
1479.467477,0.215831,167217.000000,101730.000000
1482.708863,0.216298,166625.000000,101261.000000
1485.945849,0.215429,166131.000000,101163.000000
1489.178436,0.215842,165518.000000,100694.000000
1493.481710,0.216189,164484.000000,99985.000000
1496.704032,0.215530,164054.000000,99875.000000
1499.921956,0.213485,163401.000000,99947.000000
1503.135480,0.212569,162290.000000,99477.000000
1506.344605,0.209723,161374.000000,99566.000000
1509.549331,0.208544,160366.000000,99213.000000
1512.749658,0.205720,159378.000000,99245.000000
1515.945585,0.203941,158285.000000,98969.000000
1519.137114,0.203438,157316.000000,98477.000000
1522.324243,0.202020,156147.000000,98065.000000
1525.506973,0.201559,155113.000000,97519.000000
1528.685304,0.201098,154000.000000,96922.000000
1531.859236,0.201901,152588.000000,95856.000000
1535.028769,0.200957,151256.000000,95226.000000
1539.247969,0.201119,149501.000000,94086.000000
1542.407237,0.200470,148026.000000,93297.000000
1545.562106,0.198687,146484.000000,92705.000000
1548.712576,0.198028,144932.000000,91862.000000
1551.858646,0.196697,143312.000000,91114.000000
1555.000318,0.196930,141623.000000,89992.000000
1558.137590,0.196150,139790.000000,88987.000000
1561.270463,0.194682,137958.000000,88118.000000
1564.398937,0.193645,136203.000000,87205.000000
1567.523012,0.192317,134303.000000,86252.000000
1570.642687,0.192635,132340.000000,84929.000000
1573.757964,0.192146,130373.000000,83761.000000
1576.868841,0.192104,128194.000000,82369.000000
1581.009834,0.190645,125453.000000,80879.000000
1584.110447,0.191511,123268.000000,79312.000000
1587.206660,0.190221,121128.000000,78167.000000
1590.298475,0.188436,118983.000000,77099.000000
1593.385890,0.185900,116601.000000,75998.000000
1596.468906,0.182390,114492.000000,75229.000000
1599.547522,0.179490,112247.000000,74248.000000
1602.621740,0.179224,110113.000000,72881.000000
1605.691559,0.173746,107845.000000,72286.000000
1608.756978,0.170330,105764.000000,71451.000000
1611.817998,0.168268,103762.000000,70432.000000
1614.874619,0.163323,101454.000000,69654.000000
1617.926841,0.161032,99141.000000,68426.000000
1620.974664,0.158280,96810.000000,67242.000000
1625.031584,0.154507,93749.000000,65684.000000
1628.069142,0.151430,91480.000000,64550.000000
1631.102301,0.151292,89180.000000,62947.000000
1634.131061,0.147200,86957.000000,61959.000000
1637.155422,0.146633,84664.000000,60404.000000
1640.175383,0.143137,82560.000000,59379.000000
1643.190945,0.142017,80299.000000,57902.000000
1646.202108,0.138837,77863.000000,56558.000000
1649.208872,0.135847,75323.000000,55091.000000
1652.211237,0.132988,72646.000000,53484.000000
1655.209203,0.126956,69695.000000,52029.000000
1658.202769,0.120512,66120.000000,50098.000000
1661.191937,0.107571,61928.000000,48341.000000
1664.176705,0.093986,57108.000000,45995.000000
1668.149553,0.066138,49420.000000,42439.000000
1671.124056,0.045042,43252.000000,38991.000000
1674.094160,0.024253,37007.000000,34997.000000
1677.059866,0.002604,31448.000000,31260.000000
1680.021172,-0.009848,26509.000000,27117.000000
1682.978078,-0.015633,22318.000000,23136.000000
1685.930586,-0.009337,18913.000000,19324.000000
1688.878695,-0.006908,16215.000000,16475.000000
1691.822404,-0.000778,13947.000000,13972.000000
1694.761714,0.006999,12072.000000,11879.000000
1697.696625,0.012060,10552.000000,10263.000000
1700.627137,0.016002,9233.000000,8899.000000
