Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:50:5,,
Header Version:,1,,
System Temp (C):,31.76,,
Detector Temp (C):,31.09,,
Humidity (%):,39.14,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.459,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.187802,23756.000000,15416.000000
905.500242,0.195322,26065.000000,16624.000000
909.444026,0.191523,28446.000000,18302.000000
913.383411,0.199204,31151.000000,19691.000000
917.318397,0.202061,34594.000000,21724.000000
921.248983,0.202190,38706.000000,24299.000000
925.175171,0.199655,43333.000000,27363.000000
929.096959,0.201000,48106.000000,30283.000000
933.014348,0.200464,52854.000000,33313.000000
936.927338,0.198057,57207.000000,36257.000000
942.137815,0.196202,62583.000000,39834.000000
946.040540,0.195352,66412.000000,42354.000000
949.938866,0.193887,70192.000000,44916.000000
953.832793,0.193728,73953.000000,47340.000000
957.722320,0.192750,77741.000000,49877.000000
961.607449,0.193343,81459.000000,52191.000000
965.488178,0.193747,84970.000000,54390.000000
969.364509,0.194601,88307.000000,56415.000000
973.236440,0.190552,91422.000000,58952.000000
977.103972,0.191987,94242.000000,60570.000000
980.967105,0.190923,96650.000000,62270.000000
984.825838,0.192967,98706.000000,63296.000000
988.680173,0.192469,100691.000000,64643.000000
992.530108,0.191773,102102.000000,65654.000000
997.656512,0.191978,103062.000000,66240.000000
1001.496183,0.191970,103488.000000,66515.000000
1005.331454,0.191415,103668.000000,66716.000000
1009.162327,0.191016,103604.000000,66736.000000
1012.988800,0.189986,103501.000000,66828.000000
1016.810874,0.190005,103473.000000,66807.000000
1020.628549,0.188891,103180.000000,66789.000000
1024.441824,0.189727,102848.000000,66446.000000
1028.250701,0.188139,102542.000000,66491.000000
1032.055178,0.188601,102330.000000,66283.000000
1035.855257,0.187333,102161.000000,66367.000000
1039.650936,0.187378,101990.000000,66249.000000
1043.442216,0.186914,101741.000000,66158.000000
1048.490413,0.187480,101666.000000,66023.000000
1052.271428,0.185912,101700.000000,66284.000000
1056.048044,0.185070,101777.000000,66463.000000
1059.820261,0.184347,101906.000000,66658.000000
1063.588079,0.184672,102259.000000,66839.000000
1067.351497,0.184364,102763.000000,67216.000000
1071.110517,0.182574,103190.000000,67774.000000
1074.865137,0.182822,103645.000000,68034.000000
1078.615358,0.181904,104247.000000,68574.000000
1082.361180,0.180431,104844.000000,69201.000000
1086.102603,0.180735,105404.000000,69522.000000
1089.839627,0.178798,105830.000000,70115.000000
1093.572251,0.179556,106541.000000,70463.000000
1097.300477,0.179179,106997.000000,70826.000000
1102.264601,0.178525,107655.000000,71369.000000
1105.982562,0.179320,108209.000000,71605.000000
1109.696123,0.178871,108541.000000,71899.000000
