Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:55:50,,
Header Version:,1,,
System Temp (C):,31.1,,
Detector Temp (C):,30.26,,
Humidity (%):,38.37,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.085939,23756.000000,19491.000000
905.500242,0.092290,26065.000000,21075.000000
909.444026,0.091690,28446.000000,23032.000000
913.383411,0.098285,31151.000000,24842.000000
917.318397,0.101345,34594.000000,27394.000000
921.248983,0.102781,38706.000000,30549.000000
925.175171,0.101449,43333.000000,34306.000000
929.096959,0.103766,48106.000000,37882.000000
933.014348,0.102963,52854.000000,41698.000000
936.927338,0.101543,57207.000000,45280.000000
942.137815,0.100607,62583.000000,49642.000000
946.040540,0.100032,66412.000000,52749.000000
949.938866,0.099163,70192.000000,55863.000000
953.832793,0.099254,73953.000000,58844.000000
957.722320,0.098476,77741.000000,61969.000000
961.607449,0.099478,81459.000000,64783.000000
965.488178,0.099750,84970.000000,67533.000000
969.364509,0.101307,88307.000000,69934.000000
973.236440,0.098454,91422.000000,72878.000000
977.103972,0.099595,94242.000000,74929.000000
980.967105,0.098818,96650.000000,76981.000000
984.825838,0.101081,98706.000000,78210.000000
988.680173,0.100667,100691.000000,79859.000000
992.530108,0.100533,102102.000000,81003.000000
997.656512,0.101323,103062.000000,81616.000000
1001.496183,0.101702,103488.000000,81882.000000
1005.331454,0.101603,103668.000000,82043.000000
1009.162327,0.101457,103604.000000,82020.000000
1012.988800,0.100723,103501.000000,82077.000000
1016.810874,0.101098,103473.000000,81984.000000
1020.628549,0.100901,103180.000000,81789.000000
1024.441824,0.101886,102848.000000,81341.000000
