Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 20:59:31,,
Header Version:,1,,
System Temp (C):,30.15,,
Detector Temp (C):,28.43,,
Humidity (%):,37,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.217743,23756.000000,14389.000000
905.500242,0.222265,26065.000000,15624.000000
909.444026,0.222756,28446.000000,17032.000000
913.383411,0.227170,31151.000000,18463.000000
917.318397,0.230842,34594.000000,20331.000000
921.248983,0.232461,38706.000000,22663.000000
925.175171,0.231165,43333.000000,25448.000000
929.096959,0.233431,48106.000000,28104.000000
933.014348,0.232431,52854.000000,30949.000000
936.927338,0.230839,57207.000000,33621.000000
942.137815,0.230786,62583.000000,36785.000000
946.040540,0.231405,66412.000000,38980.000000
949.938866,0.229518,70192.000000,41378.000000
953.832793,0.229290,73953.000000,43618.000000
957.722320,0.228544,77741.000000,45931.000000
961.607449,0.229011,81459.000000,48076.000000
965.488178,0.227914,84970.000000,50275.000000
969.364509,0.228308,88307.000000,52202.000000
973.236440,0.225204,91422.000000,54431.000000
977.103972,0.225158,94242.000000,56116.000000
980.967105,0.223146,96650.000000,57817.000000
984.825838,0.224693,98706.000000,58837.000000
988.680173,0.224095,100691.000000,60103.000000
992.530108,0.222737,102102.000000,61136.000000
997.656512,0.223645,103062.000000,61582.000000
1001.496183,0.223726,103488.000000,61825.000000
1005.331454,0.223064,103668.000000,62027.000000
1009.162327,0.223006,103604.000000,61997.000000
1012.988800,0.222441,103501.000000,62016.000000
1016.810874,0.222596,103473.000000,61977.000000
1020.628549,0.222263,103180.000000,61849.000000
1024.441824,0.223123,102848.000000,61528.000000
1028.250701,0.222932,102542.000000,61372.000000
1032.055178,0.222259,102330.000000,61340.000000
1035.855257,0.222179,102161.000000,61250.000000
1039.650936,0.222431,101990.000000,61112.000000
1043.442216,0.223078,101741.000000,60872.000000
1048.490413,0.224137,101666.000000,60679.000000
1052.271428,0.223089,101700.000000,60846.000000
1056.048044,0.223553,101777.000000,60827.000000
1059.820261,0.223525,101906.000000,60908.000000
1063.588079,0.223995,102259.000000,61053.000000
1067.351497,0.223386,102763.000000,61440.000000
1071.110517,0.222811,103190.000000,61777.000000
1074.865137,0.223802,103645.000000,61908.000000
1078.615358,0.222705,104247.000000,62425.000000
1082.361180,0.221575,104844.000000,62946.000000
1086.102603,0.221309,105404.000000,63321.000000
1089.839627,0.219754,105830.000000,63805.000000
1093.572251,0.220164,106541.000000,64173.000000
1097.300477,0.220310,106997.000000,64426.000000
1102.264601,0.218760,107655.000000,65054.000000
1105.982562,0.219610,108209.000000,65261.000000
1109.696123,0.218558,108541.000000,65620.000000
1113.405285,0.218371,108883.000000,65855.000000
1117.110049,0.217766,109111.000000,66085.000000
1120.810413,0.217253,109449.000000,66368.000000
1124.506378,0.217525,110148.000000,66750.000000
1128.197943,0.217102,110387.000000,66960.000000
1131.885110,0.217874,110542.000000,66935.000000
1135.567878,0.217506,110818.000000,67159.000000
1139.246246,0.217914,111041.000000,67231.000000
1142.920215,0.219045,111319.000000,67224.000000
1146.589785,0.217935,111575.000000,67551.000000
1150.254956,0.218816,112030.000000,67689.000000
1155.135007,0.219594,112594.000000,67908.000000
1158.789913,0.220359,113176.000000,68139.000000
1162.440420,0.220436,113756.000000,68476.000000
1166.086528,0.221628,114495.000000,68732.000000
1169.728237,0.221822,115248.000000,69153.000000
1173.365546,0.222913,116196.000000,69547.000000
1176.998457,0.223971,117260.000000,70013.000000
1180.626968,0.223365,118314.000000,70741.000000
1184.251080,0.223519,119420.000000,71377.000000
1187.870793,0.224303,120660.000000,71988.000000
1191.486107,0.225716,122104.000000,72613.000000
1195.097021,0.224548,123408.000000,73586.000000
1198.703537,0.225261,124879.000000,74341.000000
1203.505381,0.225861,127171.000000,75601.000000
1207.101631,0.225986,128929.000000,76624.000000
1210.693483,0.227226,130624.000000,77410.000000
1214.280935,0.228148,132432.000000,78315.000000
1217.863989,0.227994,134356.000000,79481.000000
1221.442643,0.228189,136434.000000,80674.000000
1225.016898,0.228371,138254.000000,81716.000000
1228.586754,0.228659,140110.000000,82758.000000
1232.152210,0.227899,142307.000000,84203.000000
1235.713268,0.227979,144480.000000,85473.000000
1239.269926,0.228722,146375.000000,86446.000000
1242.822185,0.227376,148395.000000,87911.000000
1246.370045,0.227725,150778.000000,89251.000000
1249.913506,0.227676,153060.000000,90612.000000
1254.631278,0.228326,155918.000000,92166.000000
1258.164474,0.228693,157931.000000,93277.000000
1261.693271,0.228954,160225.000000,94575.000000
1265.217669,0.228538,162531.000000,96028.000000
1268.737667,0.228897,164471.000000,97094.000000
1272.253267,0.227848,166342.000000,98436.000000
1275.764467,0.227207,168611.000000,99926.000000
1279.271269,0.225893,170630.000000,101429.000000
1282.773671,0.224745,172186.000000,102625.000000
1286.271674,0.223964,173503.000000,103596.000000
1289.765277,0.222692,175078.000000,104843.000000
1293.254482,0.223047,176321.000000,105501.000000
1296.739287,0.223125,177150.000000,105978.000000
1300.219694,0.222802,178114.000000,106634.000000
1304.853392,0.223580,179516.000000,107281.000000
1308.323534,0.223819,180112.000000,107578.000000
1311.789276,0.224110,180427.000000,107694.000000
1315.250620,0.223346,180849.000000,108136.000000
1318.707564,0.223248,181295.000000,108427.000000
1322.160109,0.223821,181387.000000,108339.000000
1325.608255,0.223894,181312.000000,108276.000000
1329.052002,0.224273,181274.000000,108159.000000
1332.491349,0.224846,181109.000000,107918.000000
1335.926297,0.225402,180689.000000,107530.000000
1339.356847,0.226034,179848.000000,106874.000000
1342.782997,0.226715,179242.000000,106347.000000
1346.204748,0.228144,178573.000000,105602.000000
1349.622099,0.228838,177890.000000,105030.000000
1354.171725,0.231077,176659.000000,103767.000000
1357.578812,0.232333,175938.000000,103045.000000
1360.981500,0.233810,175417.000000,102391.000000
1364.379789,0.235374,174939.000000,101745.000000
1367.773679,0.235662,174429.000000,101381.000000
1371.163169,0.237439,174092.000000,100772.000000
1374.548260,0.236887,173838.000000,100753.000000
1377.928953,0.238293,173647.000000,100317.000000
1381.305246,0.238793,173017.000000,99838.000000
1384.677139,0.239219,172585.000000,99491.000000
1388.044634,0.240078,172273.000000,99115.000000
1391.407730,0.241960,171871.000000,98456.000000
1394.766426,0.242694,171212.000000,97913.000000
1399.237845,0.246298,170477.000000,96687.000000
1402.586276,0.248722,170057.000000,95912.000000
1405.930309,0.251873,169522.000000,94919.000000
1409.269942,0.256408,169040.000000,93666.000000
1412.605176,0.261372,168685.000000,92407.000000
1415.936011,0.266450,168440.000000,91200.000000
1419.262447,0.270852,168277.000000,90193.000000
1422.584484,0.275566,168052.000000,89100.000000
1425.902122,0.279390,168094.000000,88341.000000
1429.215360,0.284282,168176.000000,87394.000000
1432.524199,0.287802,168237.000000,86720.000000
1435.828639,0.289579,168356.000000,86427.000000
1439.128680,0.291634,168675.000000,86182.000000
1442.424322,0.293860,168916.000000,85864.000000
1446.811668,0.296730,169258.000000,85471.000000
1450.097045,0.299001,169379.000000,85086.000000
1453.378023,0.300187,169391.000000,84860.000000
1456.654602,0.303257,169334.000000,84234.000000
1459.926782,0.305136,169305.000000,83856.000000
1463.194562,0.307310,169126.000000,83349.000000
1466.457943,0.310567,168919.000000,82625.000000
1469.716926,0.312631,168594.000000,82075.000000
1472.971509,0.315802,168234.000000,81304.000000
1476.221692,0.317693,167663.000000,80676.000000
1479.467477,0.321103,167217.000000,79832.000000
1482.708863,0.322445,166625.000000,79304.000000
1485.945849,0.321961,166131.000000,79157.000000
1489.178436,0.322920,165518.000000,78691.000000
1493.481710,0.323801,164484.000000,78041.000000
