Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:27:10,,
Header Version:,1,,
System Temp (C):,30.21,,
Detector Temp (C):,29.33,,
Humidity (%):,33.78,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.501,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.081814,23756.000000,19677.000000
905.500242,0.087413,26065.000000,21313.000000
909.444026,0.085716,28446.000000,23351.000000
913.383411,0.091159,31151.000000,25253.000000
917.318397,0.096161,34594.000000,27723.000000
921.248983,0.097202,38706.000000,30944.000000
925.175171,0.095589,43333.000000,34772.000000
929.096959,0.097732,48106.000000,38412.000000
933.014348,0.097087,52854.000000,42266.000000
936.927338,0.096840,57207.000000,45773.000000
942.137815,0.095701,62583.000000,50206.000000
946.040540,0.095617,66412.000000,53288.000000
949.938866,0.094778,70192.000000,56430.000000
953.832793,0.095338,73953.000000,59377.000000
957.722320,0.095257,77741.000000,62430.000000
961.607449,0.095986,81459.000000,65306.000000
965.488178,0.096004,84970.000000,68118.000000
969.364509,0.097412,88307.000000,70564.000000
973.236440,0.094899,91422.000000,73477.000000
977.103972,0.095878,94242.000000,75573.000000
980.967105,0.095385,96650.000000,77592.000000
984.825838,0.097569,98706.000000,78845.000000
988.680173,0.097260,100691.000000,80488.000000
992.530108,0.097062,102102.000000,81653.000000
997.656512,0.098121,103062.000000,82220.000000
1001.496183,0.098462,103488.000000,82495.000000
1005.331454,0.098260,103668.000000,82677.000000
1009.162327,0.098302,103604.000000,82618.000000
1012.988800,0.097675,103501.000000,82655.000000
1016.810874,0.098326,103473.000000,82509.000000
1020.628549,0.097631,103180.000000,82407.000000
1024.441824,0.098642,102848.000000,81951.000000
1028.250701,0.098191,102542.000000,81792.000000
1032.055178,0.098041,102330.000000,81651.000000
1035.855257,0.097377,102161.000000,81641.000000
1039.650936,0.097166,101990.000000,81544.000000
1043.442216,0.097432,101741.000000,81295.000000
1048.490413,0.097967,101666.000000,81135.000000
1052.271428,0.097172,101700.000000,81311.000000
1056.048044,0.096407,101777.000000,81516.000000
1059.820261,0.096148,101906.000000,81668.000000
1063.588079,0.096206,102259.000000,81940.000000
1067.351497,0.095915,102763.000000,82399.000000
1071.110517,0.094628,103190.000000,82987.000000
1074.865137,0.095154,103645.000000,83252.000000
1078.615358,0.094064,104247.000000,83946.000000
1082.361180,0.093317,104844.000000,84572.000000
1086.102603,0.093310,105404.000000,85025.000000
1089.839627,0.091653,105830.000000,85695.000000
1093.572251,0.092065,106541.000000,86189.000000
1097.300477,0.091934,106997.000000,86584.000000
1102.264601,0.091234,107655.000000,87257.000000
1105.982562,0.092101,108209.000000,87531.000000
1109.696123,0.091793,108541.000000,87862.000000
1113.405285,0.091802,108883.000000,88137.000000
1117.110049,0.091598,109111.000000,88363.000000
1120.810413,0.091587,109449.000000,88639.000000
1124.506378,0.092494,110148.000000,89019.000000
1128.197943,0.092173,110387.000000,89278.000000
1131.885110,0.092404,110542.000000,89356.000000
1135.567878,0.090373,110818.000000,89999.000000
1139.246246,0.089589,111041.000000,90343.000000
1142.920215,0.089364,111319.000000,90616.000000
1146.589785,0.087758,111575.000000,91161.000000
1150.254956,0.087652,112030.000000,91555.000000
1155.135007,0.087845,112594.000000,91975.000000
1158.789913,0.088017,113176.000000,92414.000000
1162.440420,0.088230,113756.000000,92842.000000
1166.086528,0.088961,114495.000000,93288.000000
1169.728237,0.089236,115248.000000,93842.000000
1173.365546,0.089796,116196.000000,94492.000000
1176.998457,0.090554,117260.000000,95191.000000
1180.626968,0.089735,118314.000000,96228.000000
1184.251080,0.089925,119420.000000,97085.000000
1187.870793,0.090838,120660.000000,97887.000000
1191.486107,0.091828,122104.000000,98833.000000
1195.097021,0.090775,123408.000000,100131.000000
1198.703537,0.091451,124879.000000,101167.000000
1203.505381,0.092243,127171.000000,102836.000000
1207.101631,0.091954,128929.000000,104327.000000
1210.693483,0.092882,130624.000000,105473.000000
1214.280935,0.093792,132432.000000,106709.000000
1217.863989,0.093136,134356.000000,108423.000000
1221.442643,0.093009,136434.000000,110132.000000
1225.016898,0.093173,138254.000000,111559.000000
1228.586754,0.093141,140110.000000,113065.000000
1232.152210,0.092064,142307.000000,115123.000000
1235.713268,0.091659,144480.000000,116990.000000
1239.269926,0.092064,146375.000000,118414.000000
1242.822185,0.090879,148395.000000,120376.000000
1246.370045,0.091100,150778.000000,122247.000000
1249.913506,0.090737,153060.000000,124201.000000
1254.631278,0.091256,155918.000000,126369.000000
1258.164474,0.091610,157931.000000,127896.000000
1261.693271,0.091928,160225.000000,129659.000000
1265.217669,0.091575,162531.000000,131632.000000
1268.737667,0.091947,164471.000000,133089.000000
1272.253267,0.090958,166342.000000,134910.000000
1275.764467,0.091098,168611.000000,136706.000000
1279.271269,0.090151,170630.000000,138645.000000
1282.773671,0.089572,172186.000000,140096.000000
1286.271674,0.088787,173503.000000,141423.000000
1289.765277,0.087883,175078.000000,143004.000000
1293.254482,0.088328,176321.000000,143872.000000
1296.739287,0.088413,177150.000000,144520.000000
1300.219694,0.088041,178114.000000,145431.000000
1304.853392,0.089159,179516.000000,146199.000000
1308.323534,0.089027,180112.000000,146729.000000
1311.789276,0.089422,180427.000000,146852.000000
1315.250620,0.088707,180849.000000,147438.000000
1318.707564,0.088852,181295.000000,147752.000000
1322.160109,0.089255,181387.000000,147690.000000
1325.608255,0.089626,181312.000000,147503.000000
1329.052002,0.090071,181274.000000,147321.000000
1332.491349,0.090251,181109.000000,147126.000000
1335.926297,0.090816,180689.000000,146594.000000
1339.356847,0.091956,179848.000000,145529.000000
1342.782997,0.092887,179242.000000,144728.000000
1346.204748,0.094631,178573.000000,143610.000000
1349.622099,0.095858,177890.000000,142657.000000
1354.171725,0.098610,176659.000000,140775.000000
1357.578812,0.100474,175938.000000,139600.000000
1360.981500,0.102083,175417.000000,138672.000000
1364.379789,0.103603,174939.000000,137811.000000
1367.773679,0.104366,174429.000000,137168.000000
1371.163169,0.106015,174092.000000,136384.000000
1374.548260,0.106102,173838.000000,136158.000000
1377.928953,0.107629,173647.000000,135531.000000
1381.305246,0.108225,173017.000000,134854.000000
1384.677139,0.108604,172585.000000,134400.000000
1388.044634,0.109566,172273.000000,133860.000000
1391.407730,0.111449,171871.000000,132970.000000
1394.766426,0.112645,171212.000000,132096.000000
1399.237845,0.116885,170477.000000,130251.000000
1402.586276,0.119995,170057.000000,129003.000000
1405.930309,0.123777,169522.000000,127482.000000
1409.269942,0.128837,169040.000000,125647.000000
1412.605176,0.134286,168685.000000,123820.000000
1415.936011,0.139545,168440.000000,122152.000000
1419.262447,0.144368,168277.000000,120686.000000
1422.584484,0.149215,168052.000000,119187.000000
1425.902122,0.152707,168094.000000,118262.000000
1429.215360,0.157348,168176.000000,117062.000000
1432.524199,0.160794,168237.000000,116179.000000
1435.828639,0.162704,168356.000000,115751.000000
1439.128680,0.165059,168675.000000,115343.000000
1442.424322,0.167230,168916.000000,114932.000000
1446.811668,0.170343,169258.000000,114342.000000
1450.097045,0.172492,169379.000000,113859.000000
1453.378023,0.174071,169391.000000,113454.000000
1456.654602,0.177017,169334.000000,112649.000000
