Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:10:18,,
Header Version:,1,,
System Temp (C):,33.59,,
Detector Temp (C):,31.42,,
Humidity (%):,32.59,,
Lamp PD:,3785,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  1.389,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,1.136474,23756.000000,1735.000000
905.500242,1.141669,26065.000000,1881.000000
909.444026,1.135540,28446.000000,2082.000000
913.383411,1.149080,31151.000000,2210.000000
917.318397,1.156264,34594.000000,2414.000000
921.248983,1.162407,38706.000000,2663.000000
925.175171,1.157531,43333.000000,3015.000000
929.096959,1.158323,48106.000000,3341.000000
933.014348,1.161738,52854.000000,3642.000000
936.927338,1.158440,57207.000000,3972.000000
942.137815,1.157269,62583.000000,4357.000000
946.040540,1.156103,66412.000000,4636.000000
949.938866,1.154676,70192.000000,4916.000000
953.832793,1.155045,73953.000000,5175.000000
957.722320,1.156651,77741.000000,5420.000000
961.607449,1.155598,81459.000000,5693.000000
965.488178,1.156064,84970.000000,5932.000000
969.364509,1.158251,88307.000000,6134.000000
973.236440,1.153448,91422.000000,6421.000000
977.103972,1.154306,94242.000000,6606.000000
980.967105,1.151354,96650.000000,6821.000000
984.825838,1.155683,98706.000000,6897.000000
988.680173,1.154063,100691.000000,7062.000000
992.530108,1.154243,102102.000000,7158.000000
997.656512,1.155404,103062.000000,7206.000000
1001.496183,1.154013,103488.000000,7259.000000
1005.331454,1.153931,103668.000000,7273.000000
1009.162327,1.155578,103604.000000,7241.000000
1012.988800,1.154247,103501.000000,7256.000000
1016.810874,1.154309,103473.000000,7253.000000
1020.628549,1.155480,103180.000000,7213.000000
1024.441824,1.154200,102848.000000,7211.000000
1028.250701,1.156474,102542.000000,7152.000000
1032.055178,1.155090,102330.000000,7160.000000
1035.855257,1.157110,102161.000000,7115.000000
1039.650936,1.155834,101990.000000,7124.000000
1043.442216,1.154711,101741.000000,7125.000000
1048.490413,1.156530,101666.000000,7090.000000
1052.271428,1.156001,101700.000000,7101.000000
1056.048044,1.157862,101777.000000,7076.000000
1059.820261,1.157186,101906.000000,7096.000000
1063.588079,1.153698,102259.000000,7178.000000
1067.351497,1.155773,102763.000000,7179.000000
1071.110517,1.155040,103190.000000,7221.000000
1074.865137,1.156951,103645.000000,7221.000000
1078.615358,1.156290,104247.000000,7274.000000
1082.361180,1.154670,104844.000000,7343.000000
1086.102603,1.154036,105404.000000,7393.000000
1089.839627,1.154029,105830.000000,7423.000000
1093.572251,1.153557,106541.000000,7481.000000
1097.300477,1.155238,106997.000000,7484.000000
1102.264601,1.152594,107655.000000,7576.000000
1105.982562,1.155282,108209.000000,7568.000000
1109.696123,1.155066,108541.000000,7595.000000
1113.405285,1.154492,108883.000000,7629.000000
1117.110049,1.155800,109111.000000,7622.000000
1120.810413,1.156403,109449.000000,7635.000000
1124.506378,1.157464,110148.000000,7665.000000
1128.197943,1.156709,110387.000000,7695.000000
1131.885110,1.156811,110542.000000,7704.000000
1135.567878,1.156881,110818.000000,7722.000000
1139.246246,1.156350,111041.000000,7747.000000
1142.920215,1.157043,111319.000000,7754.000000
1146.589785,1.153306,111575.000000,7839.000000
1150.254956,1.155018,112030.000000,7840.000000
1155.135007,1.156258,112594.000000,7857.000000
1158.789913,1.155962,113176.000000,7903.000000
1162.440420,1.155716,113756.000000,7948.000000
1166.086528,1.157710,114495.000000,7963.000000
1169.728237,1.156161,115248.000000,8044.000000
1173.365546,1.157565,116196.000000,8084.000000
1176.998457,1.158792,117260.000000,8135.000000
1180.626968,1.157004,118314.000000,8242.000000
1184.251080,1.157999,119420.000000,8300.000000
1187.870793,1.159149,120660.000000,8364.000000
1191.486107,1.159976,122104.000000,8448.000000
1195.097021,1.158768,123408.000000,8562.000000
1198.703537,1.159022,124879.000000,8659.000000
1203.505381,1.159659,127171.000000,8805.000000
