Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:17:16,,
Header Version:,1,,
System Temp (C):,35.75,,
Detector Temp (C):,36.83,,
Humidity (%):,27.98,,
Lamp PD:,3781,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  1.425,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,1.065080,23756.000000,2045.000000
905.500242,1.074623,26065.000000,2195.000000
909.444026,1.072365,28446.000000,2408.000000
913.383411,1.085232,31151.000000,2560.000000
917.318397,1.095425,34594.000000,2777.000000
921.248983,1.098664,38706.000000,3084.000000
925.175171,1.092751,43333.000000,3500.000000
929.096959,1.097077,48106.000000,3847.000000
933.014348,1.097560,52854.000000,4222.000000
936.927338,1.095353,57207.000000,4593.000000
942.137815,1.092048,62583.000000,5063.000000
946.040540,1.090497,66412.000000,5392.000000
949.938866,1.089423,70192.000000,5713.000000
953.832793,1.086698,73953.000000,6057.000000
957.722320,1.088150,77741.000000,6346.000000
961.607449,1.088575,81459.000000,6643.000000
965.488178,1.087906,84970.000000,6940.000000
969.364509,1.091143,88307.000000,7159.000000
973.236440,1.087440,91422.000000,7475.000000
977.103972,1.088601,94242.000000,7685.000000
980.967105,1.087025,96650.000000,7910.000000
984.825838,1.089790,98706.000000,8027.000000
988.680173,1.089389,100691.000000,8196.000000
992.530108,1.089799,102102.000000,8303.000000
997.656512,1.089647,103062.000000,8384.000000
1001.496183,1.091801,103488.000000,8377.000000
1005.331454,1.092090,103668.000000,8386.000000
1009.162327,1.091097,103604.000000,8400.000000
1012.988800,1.090459,103501.000000,8404.000000
1016.810874,1.092050,103473.000000,8371.000000
1020.628549,1.091857,103180.000000,8351.000000
1024.441824,1.093589,102848.000000,8291.000000
1028.250701,1.095238,102542.000000,8235.000000
1032.055178,1.095819,102330.000000,8207.000000
1035.855257,1.095101,102161.000000,8207.000000
1039.650936,1.094956,101990.000000,8196.000000
1043.442216,1.097405,101741.000000,8130.000000
1048.490413,1.098744,101666.000000,8099.000000
1052.271428,1.100071,101700.000000,8077.000000
1056.048044,1.099647,101777.000000,8091.000000
1059.820261,1.099661,101906.000000,8101.000000
1063.588079,1.101056,102259.000000,8103.000000
