Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:26:9,,
Header Version:,1,,
System Temp (C):,35.36,,
Detector Temp (C):,39.42,,
Humidity (%):,27.77,,
Lamp PD:,3786,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.202937,23756.000000,14888.000000
905.500242,0.210962,26065.000000,16036.000000
909.444026,0.212973,28446.000000,17420.000000
913.383411,0.222653,31151.000000,18656.000000
917.318397,0.230607,34594.000000,20342.000000
921.248983,0.235345,38706.000000,22513.000000
925.175171,0.236592,43333.000000,25132.000000
929.096959,0.238483,48106.000000,27779.000000
933.014348,0.238337,52854.000000,30531.000000
936.927338,0.235710,57207.000000,33246.000000
942.137815,0.232513,62583.000000,36639.000000
946.040540,0.231204,66412.000000,38998.000000
949.938866,0.230201,70192.000000,41313.000000
953.832793,0.229958,73953.000000,43551.000000
957.722320,0.228837,77741.000000,45900.000000
961.607449,0.229707,81459.000000,47999.000000
965.488178,0.230339,84970.000000,49995.000000
969.364509,0.230819,88307.000000,51901.000000
973.236440,0.228311,91422.000000,54043.000000
977.103972,0.229568,94242.000000,55549.000000
980.967105,0.229098,96650.000000,57030.000000
984.825838,0.231567,98706.000000,57913.000000
988.680173,0.231506,100691.000000,59086.000000
992.530108,0.231796,102102.000000,59874.000000
997.656512,0.233574,103062.000000,60190.000000
1001.496183,0.234299,103488.000000,60338.000000
1005.331454,0.234414,103668.000000,60427.000000
1009.162327,0.235319,103604.000000,60264.000000
1012.988800,0.234923,103501.000000,60259.000000
1016.810874,0.236133,103473.000000,60075.000000
