Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:24:26,,
Header Version:,1,,
System Temp (C):,30.23,,
Detector Temp (C):,29.02,,
Humidity (%):,33.97,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.512,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.111948,23756.000000,18358.000000
905.500242,0.118538,26065.000000,19839.000000
909.444026,0.119266,28446.000000,21615.000000
913.383411,0.123663,31151.000000,23432.000000
917.318397,0.127499,34594.000000,25793.000000
921.248983,0.131200,38706.000000,28614.000000
925.175171,0.127657,43333.000000,32297.000000
929.096959,0.129482,48106.000000,35704.000000
933.014348,0.130047,52854.000000,39177.000000
936.927338,0.127530,57207.000000,42650.000000
942.137815,0.126350,62583.000000,46785.000000
946.040540,0.125803,66412.000000,49710.000000
949.938866,0.124897,70192.000000,52649.000000
953.832793,0.125101,73953.000000,55444.000000
957.722320,0.125041,77741.000000,58292.000000
961.607449,0.125552,81459.000000,61008.000000
965.488178,0.125809,84970.000000,63600.000000
969.364509,0.126826,88307.000000,65943.000000
973.236440,0.124239,91422.000000,68677.000000
977.103972,0.125821,94242.000000,70538.000000
980.967105,0.124217,96650.000000,72608.000000
984.825838,0.127023,98706.000000,73675.000000
988.680173,0.126755,100691.000000,75203.000000
992.530108,0.127119,102102.000000,76193.000000
997.656512,0.127715,103062.000000,76804.000000
1001.496183,0.128422,103488.000000,76996.000000
1005.331454,0.128146,103668.000000,77179.000000
1009.162327,0.128852,103604.000000,77006.000000
1012.988800,0.128668,103501.000000,76962.000000
1016.810874,0.128776,103473.000000,76922.000000
1020.628549,0.128959,103180.000000,76672.000000
1024.441824,0.130452,102848.000000,76163.000000
1028.250701,0.129591,102542.000000,76087.000000
1032.055178,0.130202,102330.000000,75823.000000
1035.855257,0.129834,102161.000000,75762.000000
1039.650936,0.129565,101990.000000,75682.000000
1043.442216,0.130811,101741.000000,75281.000000
1048.490413,0.131952,101666.000000,75028.000000
1052.271428,0.130988,101700.000000,75220.000000
