Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:33:26,,
Header Version:,1,,
System Temp (C):,29.66,,
Detector Temp (C):,28.14,,
Humidity (%):,34.1,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.448,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.068641,23756.000000,20283.000000
905.500242,0.072984,26065.000000,22033.000000
909.444026,0.071716,28446.000000,24116.000000
913.383411,0.077581,31151.000000,26055.000000
917.318397,0.081937,34594.000000,28646.000000
921.248983,0.083090,38706.000000,31966.000000
925.175171,0.079901,43333.000000,36051.000000
929.096959,0.082698,48106.000000,39765.000000
933.014348,0.082925,52854.000000,43667.000000
936.927338,0.081973,57207.000000,47367.000000
942.137815,0.080453,62583.000000,52000.000000
946.040540,0.081876,66412.000000,55001.000000
949.938866,0.080314,70192.000000,58341.000000
953.832793,0.080886,73953.000000,61386.000000
957.722320,0.080108,77741.000000,64646.000000
961.607449,0.081384,81459.000000,67539.000000
965.488178,0.081496,84970.000000,70432.000000
969.364509,0.083154,88307.000000,72919.000000
973.236440,0.079312,91422.000000,76162.000000
977.103972,0.080921,94242.000000,78221.000000
980.967105,0.079724,96650.000000,80441.000000
984.825838,0.082052,98706.000000,81713.000000
988.680173,0.081793,100691.000000,83406.000000
992.530108,0.081495,102102.000000,84633.000000
997.656512,0.082521,103062.000000,85227.000000
1001.496183,0.083015,103488.000000,85482.000000
1005.331454,0.082031,103668.000000,85825.000000
1009.162327,0.082163,103604.000000,85746.000000
1012.988800,0.081518,103501.000000,85788.000000
1016.810874,0.081866,103473.000000,85696.000000
1020.628549,0.081797,103180.000000,85467.000000
1024.441824,0.082455,102848.000000,85063.000000
1028.250701,0.081815,102542.000000,84935.000000
1032.055178,0.081489,102330.000000,84823.000000
1035.855257,0.081192,102161.000000,84741.000000
1039.650936,0.080813,101990.000000,84673.000000
1043.442216,0.080382,101741.000000,84550.000000
1048.490413,0.081652,101666.000000,84241.000000
1052.271428,0.080238,101700.000000,84544.000000
1056.048044,0.079530,101777.000000,84746.000000
1059.820261,0.079466,101906.000000,84866.000000
1063.588079,0.079537,102259.000000,85146.000000
1067.351497,0.079662,102763.000000,85541.000000
1071.110517,0.077959,103190.000000,86234.000000
1074.865137,0.078121,103645.000000,86582.000000
1078.615358,0.076661,104247.000000,87378.000000
1082.361180,0.075893,104844.000000,88034.000000
1086.102603,0.075487,105404.000000,88587.000000
1089.839627,0.073422,105830.000000,89369.000000
1093.572251,0.074173,106541.000000,89814.000000
1097.300477,0.074314,106997.000000,90169.000000
1102.264601,0.073060,107655.000000,90986.000000
1105.982562,0.074107,108209.000000,91234.000000
1109.696123,0.073864,108541.000000,91565.000000
1113.405285,0.074548,108883.000000,91709.000000
1117.110049,0.075324,109111.000000,91737.000000
1120.810413,0.076114,109449.000000,91854.000000
1124.506378,0.078500,110148.000000,91934.000000
1128.197943,0.077872,110387.000000,92267.000000
1131.885110,0.077653,110542.000000,92443.000000
1135.567878,0.075064,110818.000000,93228.000000
1139.246246,0.072864,111041.000000,93890.000000
1142.920215,0.072251,111319.000000,94258.000000
1146.589785,0.069697,111575.000000,95032.000000
1150.254956,0.069076,112030.000000,95556.000000
1155.135007,0.069321,112594.000000,95983.000000
1158.789913,0.069286,113176.000000,96487.000000
1162.440420,0.069162,113756.000000,97009.000000
1166.086528,0.069577,114495.000000,97546.000000
1169.728237,0.069947,115248.000000,98104.000000
1173.365546,0.069626,116196.000000,98984.000000
1176.998457,0.070054,117260.000000,99792.000000
1180.626968,0.067298,118314.000000,101330.000000
1184.251080,0.066294,119420.000000,102514.000000
1187.870793,0.065948,120660.000000,103661.000000
1191.486107,0.065776,122104.000000,104943.000000
1195.097021,0.063802,123408.000000,106547.000000
1198.703537,0.063271,124879.000000,107949.000000
