Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:36:2,,
Header Version:,1,,
System Temp (C):,30.25,,
Detector Temp (C):,28.79,,
Humidity (%):,35.64,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.454,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.123527,23756.000000,17875.000000
905.500242,0.130163,26065.000000,19315.000000
909.444026,0.129430,28446.000000,21115.000000
913.383411,0.136834,31151.000000,22732.000000
917.318397,0.139656,34594.000000,25081.000000
921.248983,0.141925,38706.000000,27916.000000
925.175171,0.140069,43333.000000,31387.000000
929.096959,0.142835,48106.000000,34623.000000
933.014348,0.143694,52854.000000,37965.000000
936.927338,0.144538,57207.000000,41012.000000
942.137815,0.144510,62583.000000,44869.000000
946.040540,0.146038,66412.000000,47447.000000
949.938866,0.145679,70192.000000,50189.000000
953.832793,0.147467,73953.000000,52661.000000
957.722320,0.148098,77741.000000,55278.000000
961.607449,0.149417,81459.000000,57746.000000
965.488178,0.151143,84970.000000,59996.000000
969.364509,0.153786,88307.000000,61974.000000
973.236440,0.151363,91422.000000,64519.000000
977.103972,0.154280,94242.000000,66064.000000
980.967105,0.153562,96650.000000,67864.000000
984.825838,0.156496,98706.000000,68841.000000
988.680173,0.157378,100691.000000,70083.000000
992.530108,0.157880,102102.000000,70983.000000
997.656512,0.159218,103062.000000,71430.000000
1001.496183,0.160292,103488.000000,71548.000000
1005.331454,0.160144,103668.000000,71697.000000
1009.162327,0.161046,103604.000000,71504.000000
1012.988800,0.160815,103501.000000,71471.000000
1016.810874,0.161731,103473.000000,71301.000000
1020.628549,0.161524,103180.000000,71133.000000
1024.441824,0.163065,102848.000000,70653.000000
1028.250701,0.162670,102542.000000,70507.000000
1032.055178,0.163004,102330.000000,70307.000000
1035.855257,0.162719,102161.000000,70237.000000
1039.650936,0.162827,101990.000000,70102.000000
1043.442216,0.162969,101741.000000,69908.000000
1048.490413,0.163781,101666.000000,69726.000000
1052.271428,0.163055,101700.000000,69866.000000
1056.048044,0.162701,101777.000000,69976.000000
1059.820261,0.162339,101906.000000,70123.000000
1063.588079,0.162740,102259.000000,70301.000000
1067.351497,0.162399,102763.000000,70703.000000
1071.110517,0.160767,103190.000000,71264.000000
1074.865137,0.161066,103645.000000,71529.000000
1078.615358,0.159851,104247.000000,72146.000000
1082.361180,0.158830,104844.000000,72730.000000
1086.102603,0.158198,105404.000000,73225.000000
1089.839627,0.155776,105830.000000,73932.000000
1093.572251,0.156516,106541.000000,74302.000000
1097.300477,0.156068,106997.000000,74697.000000
1102.264601,0.154957,107655.000000,75349.000000
1105.982562,0.155592,108209.000000,75626.000000
1109.696123,0.154986,108541.000000,75964.000000
1113.405285,0.155421,108883.000000,76127.000000
1117.110049,0.155988,109111.000000,76187.000000
1120.810413,0.157171,109449.000000,76215.000000
1124.506378,0.159754,110148.000000,76247.000000
1128.197943,0.159120,110387.000000,76524.000000
1131.885110,0.157923,110542.000000,76843.000000
1135.567878,0.154100,110818.000000,77716.000000
1139.246246,0.151472,111041.000000,78345.000000
1142.920215,0.149702,111319.000000,78862.000000
1146.589785,0.146561,111575.000000,79617.000000
1150.254956,0.145550,112030.000000,80128.000000
1155.135007,0.145040,112594.000000,80626.000000
1158.789913,0.144391,113176.000000,81164.000000
1162.440420,0.144183,113756.000000,81619.000000
1166.086528,0.144068,114495.000000,82171.000000
1169.728237,0.143792,115248.000000,82764.000000
1173.365546,0.143203,116196.000000,83558.000000
1176.998457,0.143039,117260.000000,84355.000000
1180.626968,0.140547,118314.000000,85603.000000
1184.251080,0.139178,119420.000000,86676.000000
1187.870793,0.138683,120660.000000,87676.000000
1191.486107,0.138307,122104.000000,88802.000000
1195.097021,0.136291,123408.000000,90168.000000
1198.703537,0.135971,124879.000000,91310.000000
1203.505381,0.135420,127171.000000,93104.000000
1207.101631,0.134560,128929.000000,94578.000000
1210.693483,0.135234,130624.000000,95673.000000
1214.280935,0.135907,132432.000000,96847.000000
1217.863989,0.135121,134356.000000,98432.000000
1221.442643,0.135253,136434.000000,99924.000000
1225.016898,0.135896,138254.000000,101107.000000
1228.586754,0.136059,140110.000000,102426.000000
1232.152210,0.135475,142307.000000,104172.000000
1235.713268,0.135568,144480.000000,105740.000000
1239.269926,0.136696,146375.000000,106849.000000
1242.822185,0.135505,148395.000000,108621.000000
1246.370045,0.136306,150778.000000,110162.000000
1249.913506,0.136346,153060.000000,111819.000000
1254.631278,0.137594,155918.000000,113580.000000
1258.164474,0.138314,157931.000000,114856.000000
1261.693271,0.138844,160225.000000,116382.000000
