Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:43:41,,
Header Version:,1,,
System Temp (C):,30.2,,
Detector Temp (C):,29.36,,
Humidity (%):,32.03,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.513,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.002751,23756.000000,23606.000000
905.500242,0.008735,26065.000000,25546.000000
909.444026,0.007205,28446.000000,27978.000000
913.383411,0.013580,31151.000000,30192.000000
917.318397,0.017941,34594.000000,33194.000000
921.248983,0.019483,38706.000000,37008.000000
925.175171,0.017799,43333.000000,41593.000000
929.096959,0.020131,48106.000000,45927.000000
933.014348,0.020088,52854.000000,50465.000000
936.927338,0.018692,57207.000000,54797.000000
942.137815,0.017799,62583.000000,60070.000000
946.040540,0.017712,66412.000000,63758.000000
949.938866,0.016232,70192.000000,67617.000000
953.832793,0.016793,73953.000000,71148.000000
957.722320,0.015936,77741.000000,74940.000000
961.607449,0.017172,81459.000000,78301.000000
965.488178,0.017373,84970.000000,81638.000000
969.364509,0.018620,88307.000000,84601.000000
973.236440,0.015617,91422.000000,88193.000000
977.103972,0.016762,94242.000000,90674.000000
980.967105,0.015693,96650.000000,93220.000000
984.825838,0.018012,98706.000000,94696.000000
988.680173,0.017883,100691.000000,96629.000000
992.530108,0.017742,102102.000000,98015.000000
997.656512,0.018944,103062.000000,98663.000000
1001.496183,0.019255,103488.000000,99000.000000
1005.331454,0.018984,103668.000000,99234.000000
1009.162327,0.019053,103604.000000,99157.000000
1012.988800,0.018604,103501.000000,99161.000000
1016.810874,0.018911,103473.000000,99064.000000
1020.628549,0.018927,103180.000000,98780.000000
1024.441824,0.020089,102848.000000,98199.000000
1028.250701,0.019361,102542.000000,98071.000000
1032.055178,0.019220,102330.000000,97900.000000
1035.855257,0.018973,102161.000000,97794.000000
1039.650936,0.019192,101990.000000,97581.000000
1043.442216,0.018897,101741.000000,97409.000000
1048.490413,0.020104,101666.000000,97067.000000
1052.271428,0.018891,101700.000000,97371.000000
1056.048044,0.018698,101777.000000,97488.000000
1059.820261,0.018403,101906.000000,97678.000000
1063.588079,0.018906,102259.000000,97903.000000
1067.351497,0.018930,102763.000000,98380.000000
1071.110517,0.017424,103190.000000,99132.000000
1074.865137,0.017909,103645.000000,99458.000000
1078.615358,0.017018,104247.000000,100241.000000
1082.361180,0.016300,104844.000000,100982.000000
1086.102603,0.016699,105404.000000,101428.000000
1089.839627,0.014521,105830.000000,102350.000000
1093.572251,0.015714,106541.000000,102755.000000
1097.300477,0.016273,106997.000000,103062.000000
1102.264601,0.016293,107655.000000,103691.000000
1105.982562,0.018007,108209.000000,103814.000000
1109.696123,0.019238,108541.000000,103838.000000
1113.405285,0.022011,108883.000000,103502.000000
1117.110049,0.024787,109111.000000,103058.000000
1120.810413,0.028433,109449.000000,102513.000000
1124.506378,0.032585,110148.000000,102186.000000
1128.197943,0.033493,110387.000000,102194.000000
1131.885110,0.032892,110542.000000,102479.000000
1135.567878,0.028342,110818.000000,103817.000000
1139.246246,0.024484,111041.000000,104954.000000
1142.920215,0.022429,111319.000000,105716.000000
1146.589785,0.019647,111575.000000,106640.000000
1150.254956,0.019241,112030.000000,107175.000000
1155.135007,0.020212,112594.000000,107474.000000
1158.789913,0.020725,113176.000000,107902.000000
1162.440420,0.021254,113756.000000,108323.000000
1166.086528,0.022206,114495.000000,108788.000000
1169.728237,0.022600,115248.000000,109404.000000
1173.365546,0.022667,116196.000000,110287.000000
1176.998457,0.022725,117260.000000,111282.000000
1180.626968,0.019842,118314.000000,113030.000000
1184.251080,0.017858,119420.000000,114609.000000
1187.870793,0.016911,120660.000000,116052.000000
1191.486107,0.015603,122104.000000,117795.000000
1195.097021,0.013198,123408.000000,119714.000000
1198.703537,0.012346,124879.000000,121379.000000
1203.505381,0.011408,127171.000000,123874.000000
1207.101631,0.010301,128929.000000,125907.000000
1210.693483,0.010751,130624.000000,127430.000000
1214.280935,0.011248,132432.000000,129046.000000
1217.863989,0.010290,134356.000000,131210.000000
1221.442643,0.009871,136434.000000,133368.000000
1225.016898,0.010083,138254.000000,135081.000000
1228.586754,0.010313,140110.000000,136822.000000
1232.152210,0.009244,142307.000000,139310.000000
1235.713268,0.009275,144480.000000,141427.000000
1239.269926,0.010055,146375.000000,143025.000000
1242.822185,0.008780,148395.000000,145425.000000
1246.370045,0.009043,150778.000000,147671.000000
1249.913506,0.009028,153060.000000,149911.000000
1254.631278,0.009692,155918.000000,152477.000000
1258.164474,0.010338,157931.000000,154216.000000
1261.693271,0.010938,160225.000000,156240.000000
1265.217669,0.010266,162531.000000,158734.000000
1268.737667,0.010796,164471.000000,160433.000000
1272.253267,0.010052,166342.000000,162536.000000
1275.764467,0.010369,168611.000000,164633.000000
1279.271269,0.009922,170630.000000,166776.000000
1282.773671,0.009725,172186.000000,168373.000000
1286.271674,0.009625,173503.000000,169700.000000
1289.765277,0.009147,175078.000000,171429.000000
1293.254482,0.010102,176321.000000,172267.000000
1296.739287,0.010692,177150.000000,172842.000000
1300.219694,0.010763,178114.000000,173754.000000
1304.853392,0.012099,179516.000000,174584.000000
1308.323534,0.012470,180112.000000,175014.000000
1311.789276,0.012924,180427.000000,175137.000000
1315.250620,0.012213,180849.000000,175834.000000
1318.707564,0.012599,181295.000000,176111.000000
1322.160109,0.013629,181387.000000,175783.000000
1325.608255,0.013756,181312.000000,175659.000000
1329.052002,0.013898,181274.000000,175565.000000
1332.491349,0.014408,181109.000000,175199.000000
1335.926297,0.014654,180689.000000,174694.000000
1339.356847,0.016187,179848.000000,173268.000000
1342.782997,0.017581,179242.000000,172131.000000
1346.204748,0.019437,178573.000000,170757.000000
1349.622099,0.020859,177890.000000,169548.000000
1354.171725,0.023728,176659.000000,167266.000000
