Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:21:18,,
Header Version:,1,,
System Temp (C):,29.59,,
Detector Temp (C):,29.13,,
Humidity (%):,34.2,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.511,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.098714,23756.000000,18926.000000
905.500242,0.104029,26065.000000,20513.000000
909.444026,0.102573,28446.000000,22462.000000
913.383411,0.109836,31151.000000,24190.000000
917.318397,0.113483,34594.000000,26639.000000
921.248983,0.114291,38706.000000,29750.000000
925.175171,0.111891,43333.000000,33491.000000
929.096959,0.114902,48106.000000,36923.000000
933.014348,0.114146,52854.000000,40638.000000
936.927338,0.113336,57207.000000,44067.000000
942.137815,0.112374,62583.000000,48315.000000
946.040540,0.112426,66412.000000,51265.000000
949.938866,0.111328,70192.000000,54320.000000
953.832793,0.112434,73953.000000,57085.000000
957.722320,0.111646,77741.000000,60118.000000
961.607449,0.112986,81459.000000,62799.000000
965.488178,0.113661,84970.000000,65404.000000
969.364509,0.115342,88307.000000,67710.000000
973.236440,0.112234,91422.000000,70602.000000
977.103972,0.113619,94242.000000,72548.000000
980.967105,0.112358,96650.000000,74618.000000
984.825838,0.115271,98706.000000,75696.000000
988.680173,0.114766,100691.000000,77308.000000
992.530108,0.114452,102102.000000,78448.000000
997.656512,0.115389,103062.000000,79015.000000
1001.496183,0.116187,103488.000000,79196.000000
1005.331454,0.115480,103668.000000,79463.000000
1009.162327,0.115600,103604.000000,79392.000000
1012.988800,0.114730,103501.000000,79472.000000
1016.810874,0.115116,103473.000000,79380.000000
1020.628549,0.114777,103180.000000,79217.000000
1024.441824,0.116414,102848.000000,78665.000000
1028.250701,0.115640,102542.000000,78571.000000
1032.055178,0.115704,102330.000000,78397.000000
1035.855257,0.114842,102161.000000,78423.000000
1039.650936,0.114668,101990.000000,78323.000000
1043.442216,0.115062,101741.000000,78061.000000
1048.490413,0.116001,101666.000000,77835.000000
1052.271428,0.114809,101700.000000,78075.000000
1056.048044,0.114576,101777.000000,78176.000000
1059.820261,0.114028,101906.000000,78374.000000
1063.588079,0.114522,102259.000000,78556.000000
1067.351497,0.114298,102763.000000,78984.000000
1071.110517,0.112545,103190.000000,79633.000000
1074.865137,0.113312,103645.000000,79843.000000
1078.615358,0.112527,104247.000000,80452.000000
1082.361180,0.111801,104844.000000,81048.000000
1086.102603,0.111699,105404.000000,81500.000000
1089.839627,0.109933,105830.000000,82163.000000
1093.572251,0.110947,106541.000000,82522.000000
1097.300477,0.111105,106997.000000,82845.000000
1102.264601,0.111082,107655.000000,83359.000000
1105.982562,0.112203,108209.000000,83572.000000
1109.696123,0.112438,108541.000000,83783.000000
1113.405285,0.114390,108883.000000,83670.000000
1117.110049,0.116057,109111.000000,83524.000000
1120.810413,0.118327,109449.000000,83346.000000
1124.506378,0.121342,110148.000000,83298.000000
1128.197943,0.121710,110387.000000,83408.000000
1131.885110,0.121170,110542.000000,83629.000000
1135.567878,0.116988,110818.000000,84649.000000
1139.246246,0.113980,111041.000000,85409.000000
1142.920215,0.112263,111319.000000,85962.000000
1146.589785,0.109533,111575.000000,86703.000000
1150.254956,0.109022,112030.000000,87159.000000
1155.135007,0.109438,112594.000000,87514.000000
1158.789913,0.109449,113176.000000,87964.000000
1162.440420,0.109817,113756.000000,88340.000000
1166.086528,0.110706,114495.000000,88732.000000
1169.728237,0.110918,115248.000000,89272.000000
1173.365546,0.110703,116196.000000,90051.000000
1176.998457,0.110639,117260.000000,90889.000000
1180.626968,0.108098,118314.000000,92244.000000
1184.251080,0.106317,119420.000000,93489.000000
1187.870793,0.105181,120660.000000,94707.000000
1191.486107,0.104495,122104.000000,95992.000000
1195.097021,0.101983,123408.000000,97580.000000
1198.703537,0.101407,124879.000000,98874.000000
1203.505381,0.100359,127171.000000,100932.000000
1207.101631,0.099288,128929.000000,102580.000000
1210.693483,0.099562,130624.000000,103863.000000
1214.280935,0.099787,132432.000000,105246.000000
1217.863989,0.098963,134356.000000,106978.000000
1221.442643,0.098394,136434.000000,108775.000000
1225.016898,0.098677,138254.000000,110154.000000
1228.586754,0.098579,140110.000000,111658.000000
1232.152210,0.097710,142307.000000,113636.000000
1235.713268,0.097425,144480.000000,115447.000000
1239.269926,0.098098,146375.000000,116780.000000
1242.822185,0.096830,148395.000000,118738.000000
1246.370045,0.097171,150778.000000,120550.000000
1249.913506,0.097002,153060.000000,122422.000000
1254.631278,0.097961,155918.000000,124433.000000
1258.164474,0.098421,157931.000000,125906.000000
1261.693271,0.098808,160225.000000,127621.000000
1265.217669,0.098388,162531.000000,129583.000000
1268.737667,0.098918,164471.000000,130970.000000
1272.253267,0.098190,166342.000000,132682.000000
1275.764467,0.098315,168611.000000,134453.000000
1279.271269,0.098003,170630.000000,136161.000000
1282.773671,0.097626,172186.000000,137522.000000
1286.271674,0.097622,173503.000000,138575.000000
1289.765277,0.096902,175078.000000,140065.000000
1293.254482,0.097566,176321.000000,140844.000000
1296.739287,0.098153,177150.000000,141315.000000
1300.219694,0.098058,178114.000000,142115.000000
1304.853392,0.099484,179516.000000,142764.000000
1308.323534,0.099812,180112.000000,143130.000000
1311.789276,0.099995,180427.000000,143320.000000
1315.250620,0.099113,180849.000000,143947.000000
1318.707564,0.099273,181295.000000,144249.000000
1322.160109,0.099960,181387.000000,144094.000000
1325.608255,0.099862,181312.000000,144067.000000
1329.052002,0.099916,181274.000000,144019.000000
1332.491349,0.100091,181109.000000,143830.000000
1335.926297,0.100131,180689.000000,143483.000000
1339.356847,0.100887,179848.000000,142567.000000
1342.782997,0.101574,179242.000000,141862.000000
1346.204748,0.102899,178573.000000,140902.000000
1349.622099,0.103949,177890.000000,140024.000000
1354.171725,0.105906,176659.000000,138430.000000
1357.578812,0.107019,175938.000000,137512.000000
1360.981500,0.107218,175417.000000,137042.000000
1364.379789,0.107140,174939.000000,136693.000000
1367.773679,0.106308,174429.000000,136556.000000
1371.163169,0.107323,174092.000000,135974.000000
1374.548260,0.106676,173838.000000,135978.000000
1377.928953,0.108231,173647.000000,135343.000000
1381.305246,0.108325,173017.000000,134823.000000
1384.677139,0.108368,172585.000000,134473.000000
1388.044634,0.108775,172273.000000,134104.000000
1391.407730,0.109894,171871.000000,133447.000000
1394.766426,0.109954,171212.000000,132917.000000
1399.237845,0.112100,170477.000000,131694.000000
1402.586276,0.112955,170057.000000,131111.000000
1405.930309,0.113772,169522.000000,130453.000000
1409.269942,0.114966,169040.000000,129725.000000
1412.605176,0.115858,168685.000000,129187.000000
1415.936011,0.116287,168440.000000,128872.000000
1419.262447,0.115563,168277.000000,128962.000000
1422.584484,0.114871,168052.000000,128995.000000
1425.902122,0.113068,168094.000000,129564.000000
1429.215360,0.112673,168176.000000,129745.000000
1432.524199,0.111771,168237.000000,130062.000000
1435.828639,0.110332,168356.000000,130586.000000
1439.128680,0.108988,168675.000000,131239.000000
1442.424322,0.108250,168916.000000,131650.000000
1446.811668,0.107466,169258.000000,132155.000000
1450.097045,0.107231,169379.000000,132321.000000
1453.378023,0.106196,169391.000000,132646.000000
1456.654602,0.106577,169334.000000,132485.000000
1459.926782,0.106087,169305.000000,132612.000000
1463.194562,0.105012,169126.000000,132800.000000
1466.457943,0.104840,168919.000000,132690.000000
1469.716926,0.104030,168594.000000,132682.000000
1472.971509,0.103675,168234.000000,132507.000000
1476.221692,0.102950,167663.000000,132278.000000
1479.467477,0.103635,167217.000000,131718.000000
1482.708863,0.102805,166625.000000,131503.000000
1485.945849,0.101040,166131.000000,131647.000000
1489.178436,0.101504,165518.000000,131021.000000
1493.481710,0.102073,164484.000000,130032.000000
1496.704032,0.102741,164054.000000,129493.000000
1499.921956,0.102588,163401.000000,129023.000000
1503.135480,0.102919,162290.000000,128048.000000
1506.344605,0.101935,161374.000000,127614.000000
1509.549331,0.102415,160366.000000,126677.000000
1512.749658,0.102016,159378.000000,126012.000000
1515.945585,0.101551,158285.000000,125282.000000
1519.137114,0.102082,157316.000000,124363.000000
1522.324243,0.102071,156147.000000,123442.000000
1525.506973,0.102009,155113.000000,122642.000000
1528.685304,0.101884,154000.000000,121797.000000
1531.859236,0.102130,152588.000000,120612.000000
1535.028769,0.101165,151256.000000,119825.000000
1539.247969,0.101795,149501.000000,118263.000000
1542.407237,0.101344,148026.000000,117218.000000
1545.562106,0.100550,146484.000000,116209.000000
1548.712576,0.100701,144932.000000,114938.000000
1551.858646,0.100228,143312.000000,113777.000000
1555.000318,0.101094,141623.000000,112212.000000
1558.137590,0.101438,139790.000000,110672.000000
1561.270463,0.101461,137958.000000,109216.000000
1564.398937,0.101234,136203.000000,107883.000000
1567.523012,0.101013,134303.000000,106432.000000
1570.642687,0.101865,132340.000000,104671.000000
1573.757964,0.102785,130373.000000,102897.000000
1576.868841,0.103757,128194.000000,100951.000000
1581.009834,0.104072,125453.000000,98721.000000
1584.110447,0.105577,123268.000000,96666.000000
1587.206660,0.105663,121128.000000,94969.000000
1590.298475,0.106251,118983.000000,93161.000000
1593.385890,0.106298,116601.000000,91286.000000
