Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:19:13,,
Header Version:,1,,
System Temp (C):,30.43,,
Detector Temp (C):,29.25,,
Humidity (%):,40.14,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.456,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.187689,23756.000000,15420.000000
905.500242,0.193289,26065.000000,16702.000000
909.444026,0.192425,28446.000000,18264.000000
913.383411,0.196895,31151.000000,19796.000000
917.318397,0.199331,34594.000000,21861.000000
921.248983,0.201940,38706.000000,24313.000000
925.175171,0.199846,43333.000000,27351.000000
929.096959,0.202638,48106.000000,30169.000000
933.014348,0.201587,52854.000000,33227.000000
936.927338,0.200002,57207.000000,36095.000000
942.137815,0.198827,62583.000000,39594.000000
946.040540,0.198408,66412.000000,42057.000000
949.938866,0.196953,70192.000000,44600.000000
953.832793,0.196950,73953.000000,46990.000000
957.722320,0.196150,77741.000000,49488.000000
961.607449,0.196534,81459.000000,51809.000000
965.488178,0.196125,84970.000000,54093.000000
969.364509,0.197164,88307.000000,56083.000000
973.236440,0.193954,91422.000000,58492.000000
977.103972,0.194771,94242.000000,60183.000000
980.967105,0.193055,96650.000000,61965.000000
984.825838,0.195106,98706.000000,62985.000000
988.680173,0.194847,100691.000000,64290.000000
992.530108,0.194015,102102.000000,65316.000000
997.656512,0.194741,103062.000000,65820.000000
1001.496183,0.195063,103488.000000,66043.000000
1005.331454,0.194511,103668.000000,66242.000000
1009.162327,0.194755,103604.000000,66164.000000
1012.988800,0.193923,103501.000000,66225.000000
