Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 20:15:55,,
Header Version:,1,,
System Temp (C):,30.25,,
Detector Temp (C):,29.34,,
Humidity (%):,40.36,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,-0.009475,23756.000000,24280.000000
905.500242,-0.003716,26065.000000,26289.000000
909.444026,-0.005854,28446.000000,28832.000000
913.383411,0.000809,31151.000000,31093.000000
917.318397,0.003643,34594.000000,34305.000000
921.248983,0.005499,38706.000000,38219.000000
925.175171,0.004108,43333.000000,42925.000000
929.096959,0.006448,48106.000000,47397.000000
933.014348,0.005724,52854.000000,52162.000000
936.927338,0.004863,57207.000000,56570.000000
942.137815,0.003932,62583.000000,62019.000000
946.040540,0.003453,66412.000000,65886.000000
949.938866,0.002575,70192.000000,69777.000000
953.832793,0.003301,73953.000000,73393.000000
957.722320,0.003286,77741.000000,77155.000000
961.607449,0.003619,81459.000000,80783.000000
965.488178,0.004191,84970.000000,84154.000000
969.364509,0.005528,88307.000000,87190.000000
973.236440,0.003037,91422.000000,90785.000000
977.103972,0.004274,94242.000000,93319.000000
980.967105,0.003555,96650.000000,95862.000000
984.825838,0.005749,98706.000000,97408.000000
988.680173,0.005753,100691.000000,99366.000000
992.530108,0.005298,102102.000000,100864.000000
997.656512,0.006423,103062.000000,101549.000000
1001.496183,0.007070,103488.000000,101817.000000
1005.331454,0.006772,103668.000000,102064.000000
1009.162327,0.006844,103604.000000,101984.000000
1012.988800,0.006438,103501.000000,101978.000000
1016.810874,0.006883,103473.000000,101846.000000
1020.628549,0.006475,103180.000000,101653.000000
1024.441824,0.007685,102848.000000,101044.000000
1028.250701,0.006869,102542.000000,100933.000000
1032.055178,0.006827,102330.000000,100734.000000
1035.855257,0.006238,102161.000000,100704.000000
1039.650936,0.006353,101990.000000,100509.000000
1043.442216,0.006308,101741.000000,100274.000000
1048.490413,0.007067,101666.000000,100025.000000
1052.271428,0.006111,101700.000000,100279.000000
1056.048044,0.005635,101777.000000,100465.000000
1059.820261,0.005196,101906.000000,100694.000000
1063.588079,0.005630,102259.000000,100942.000000
1067.351497,0.005144,102763.000000,101553.000000
1071.110517,0.003554,103190.000000,102349.000000
1074.865137,0.003813,103645.000000,102739.000000
1078.615358,0.002985,104247.000000,103533.000000
1082.361180,0.002026,104844.000000,104356.000000
1086.102603,0.001875,105404.000000,104950.000000
1089.839627,-0.000049,105830.000000,105842.000000
1093.572251,0.000726,106541.000000,106363.000000
1097.300477,0.000439,106997.000000,106889.000000
1102.264601,-0.000161,107655.000000,107695.000000
1105.982562,0.000514,108209.000000,108081.000000
1109.696123,0.000789,108541.000000,108344.000000
1113.405285,0.001690,108883.000000,108460.000000
1117.110049,0.002767,109111.000000,108418.000000
1120.810413,0.004255,109449.000000,108382.000000
1124.506378,0.006887,110148.000000,108415.000000
1128.197943,0.006640,110387.000000,108712.000000
1131.885110,0.006687,110542.000000,108853.000000
1135.567878,0.003585,110818.000000,109907.000000
1139.246246,0.001430,111041.000000,110676.000000
1142.920215,0.000957,111319.000000,111074.000000
1146.589785,-0.000914,111575.000000,111810.000000
1150.254956,-0.000236,112030.000000,112091.000000
1155.135007,0.000826,112594.000000,112380.000000
1158.789913,0.001518,113176.000000,112781.000000
1162.440420,0.002224,113756.000000,113175.000000
1166.086528,0.003641,114495.000000,113539.000000
1169.728237,0.004268,115248.000000,114121.000000
1173.365546,0.005106,116196.000000,114838.000000
1176.998457,0.006072,117260.000000,115632.000000
1180.626968,0.005036,118314.000000,116950.000000
1184.251080,0.004890,119420.000000,118083.000000
1187.870793,0.005338,120660.000000,119186.000000
1191.486107,0.005916,122104.000000,120452.000000
1195.097021,0.005016,123408.000000,121991.000000
1198.703537,0.005192,124879.000000,123395.000000
1203.505381,0.005724,127171.000000,125506.000000
1207.101631,0.005406,128929.000000,127334.000000
1210.693483,0.006100,130624.000000,128802.000000
1214.280935,0.006605,132432.000000,130433.000000
1217.863989,0.006077,134356.000000,132489.000000
1221.442643,0.006155,136434.000000,134514.000000
1225.016898,0.005908,138254.000000,136386.000000
1228.586754,0.005650,140110.000000,138299.000000
1232.152210,0.004365,142307.000000,140884.000000
1235.713268,0.003768,144480.000000,143232.000000
1239.269926,0.003632,146375.000000,145156.000000
1242.822185,0.002092,148395.000000,147682.000000
1246.370045,0.002128,150778.000000,150041.000000
1249.913506,0.001806,153060.000000,152425.000000
1254.631278,0.002268,155918.000000,155106.000000
1258.164474,0.002573,157931.000000,156998.000000
1261.693271,0.002885,160225.000000,159164.000000
1265.217669,0.002446,162531.000000,161618.000000
1268.737667,0.002508,164471.000000,163524.000000
1272.253267,0.001719,166342.000000,165685.000000
1275.764467,0.001773,168611.000000,167924.000000
1279.271269,0.001017,170630.000000,170231.000000
1282.773671,-0.000222,172186.000000,172274.000000
1286.271674,-0.000698,173503.000000,173782.000000
1289.765277,-0.001852,175078.000000,175826.000000
1293.254482,-0.001804,176321.000000,177055.000000
1296.739287,-0.001578,177150.000000,177795.000000
1300.219694,-0.001866,178114.000000,178881.000000
1304.853392,-0.000964,179516.000000,179915.000000
1308.323534,-0.000545,180112.000000,180338.000000
1311.789276,-0.000180,180427.000000,180502.000000
1315.250620,-0.000801,180849.000000,181183.000000
