Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 20:22:15,,
Header Version:,1,,
System Temp (C):,30.75,,
Detector Temp (C):,29.12,,
Humidity (%):,41.08,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,4,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.075,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.081197,23756.000000,19705.000000
905.500242,0.087576,26065.000000,21305.000000
909.444026,0.089020,28446.000000,23174.000000
913.383411,0.096297,31151.000000,24956.000000
917.318397,0.098863,34594.000000,27551.000000
921.248983,0.100725,38706.000000,30694.000000
925.175171,0.098195,43333.000000,34564.000000
929.096959,0.100113,48106.000000,38202.000000
933.014348,0.099178,52854.000000,42063.000000
936.927338,0.097068,57207.000000,45749.000000
942.137815,0.095588,62583.000000,50219.000000
946.040540,0.095625,66412.000000,53287.000000
949.938866,0.094431,70192.000000,56475.000000
953.832793,0.093680,73953.000000,59604.000000
957.722320,0.093050,77741.000000,62748.000000
961.607449,0.093208,81459.000000,65725.000000
965.488178,0.092891,84970.000000,68608.000000
969.364509,0.094455,88307.000000,71046.000000
973.236440,0.089501,91422.000000,74396.000000
977.103972,0.091458,94242.000000,76346.000000
980.967105,0.089962,96650.000000,78567.000000
984.825838,0.091639,98706.000000,79929.000000
988.680173,0.091870,100691.000000,81493.000000
992.530108,0.091188,102102.000000,82765.000000
997.656512,0.092829,103062.000000,83228.000000
1001.496183,0.092871,103488.000000,83564.000000
1005.331454,0.092546,103668.000000,83772.000000
1009.162327,0.093233,103604.000000,83588.000000
1012.988800,0.092764,103501.000000,83595.000000
1016.810874,0.092543,103473.000000,83615.000000
1020.628549,0.091836,103180.000000,83514.000000
1024.441824,0.093296,102848.000000,82966.000000
1028.250701,0.092840,102542.000000,82806.000000
1032.055178,0.092235,102330.000000,82750.000000
1035.855257,0.092689,102161.000000,82527.000000
1039.650936,0.092778,101990.000000,82372.000000
1043.442216,0.092804,101741.000000,82166.000000
1048.490413,0.094284,101666.000000,81826.000000
1052.271428,0.092920,101700.000000,82111.000000
1056.048044,0.092540,101777.000000,82245.000000
1059.820261,0.092357,101906.000000,82384.000000
1063.588079,0.092963,102259.000000,82554.000000
1067.351497,0.092032,102763.000000,83139.000000
1071.110517,0.090969,103190.000000,83689.000000
1074.865137,0.091393,103645.000000,83976.000000
1078.615358,0.090021,104247.000000,84731.000000
1082.361180,0.089956,104844.000000,85229.000000
1086.102603,0.090074,105404.000000,85661.000000
1089.839627,0.088417,105830.000000,86336.000000
1093.572251,0.089197,106541.000000,86760.000000
1097.300477,0.089284,106997.000000,87114.000000
1102.264601,0.088916,107655.000000,87724.000000
1105.982562,0.089736,108209.000000,88009.000000
1109.696123,0.089751,108541.000000,88276.000000
1113.405285,0.090950,108883.000000,88310.000000
1117.110049,0.091583,109111.000000,88366.000000
1120.810413,0.092548,109449.000000,88443.000000
1124.506378,0.094146,110148.000000,88681.000000
1128.197943,0.094696,110387.000000,88761.000000
1131.885110,0.095109,110542.000000,88801.000000
1135.567878,0.092104,110818.000000,89641.000000
1139.246246,0.091058,111041.000000,90038.000000
1142.920215,0.091098,111319.000000,90255.000000
1146.589785,0.090348,111575.000000,90619.000000
1150.254956,0.090522,112030.000000,90952.000000
1155.135007,0.091968,112594.000000,91106.000000
1158.789913,0.092504,113176.000000,91464.000000
1162.440420,0.093596,113756.000000,91702.000000
1166.086528,0.095268,114495.000000,91943.000000
1169.728237,0.095985,115248.000000,92395.000000
1173.365546,0.097741,116196.000000,92779.000000
1176.998457,0.099697,117260.000000,93208.000000
1180.626968,0.098990,118314.000000,94199.000000
1184.251080,0.100438,119420.000000,94763.000000
1187.870793,0.102288,120660.000000,95340.000000
1191.486107,0.104251,122104.000000,96046.000000
1195.097021,0.104044,123408.000000,97118.000000
1198.703537,0.104568,124879.000000,98157.000000
1203.505381,0.103893,127171.000000,100114.000000
1207.101631,0.102121,128929.000000,101913.000000
1210.693483,0.101297,130624.000000,103449.000000
1214.280935,0.100473,132432.000000,105080.000000
1217.863989,0.097055,134356.000000,107449.000000
1221.442643,0.094918,136434.000000,109649.000000
1225.016898,0.093715,138254.000000,111420.000000
1228.586754,0.092304,140110.000000,113283.000000
1232.152210,0.090096,142307.000000,115646.000000
1235.713268,0.089264,144480.000000,117637.000000
1239.269926,0.089172,146375.000000,119205.000000
1242.822185,0.086943,148395.000000,121472.000000
1246.370045,0.086348,150778.000000,123592.000000
1249.913506,0.085886,153060.000000,125596.000000
1254.631278,0.086270,155918.000000,127828.000000
1258.164474,0.086761,157931.000000,129332.000000
1261.693271,0.086942,160225.000000,131156.000000
1265.217669,0.086452,162531.000000,133194.000000
1268.737667,0.087499,164471.000000,134459.000000
1272.253267,0.086388,166342.000000,136337.000000
1275.764467,0.086384,168611.000000,138198.000000
1279.271269,0.085153,170630.000000,140250.000000
1282.773671,0.085024,172186.000000,141571.000000
1286.271674,0.084795,173503.000000,142729.000000
1289.765277,0.083908,175078.000000,144319.000000
1293.254482,0.085059,176321.000000,144959.000000
1296.739287,0.085624,177150.000000,145451.000000
1300.219694,0.085246,178114.000000,146370.000000
1304.853392,0.086476,179516.000000,147105.000000
1308.323534,0.086495,180112.000000,147587.000000
1311.789276,0.087139,180427.000000,147626.000000
1315.250620,0.086204,180849.000000,148290.000000
1318.707564,0.086271,181295.000000,148633.000000
1322.160109,0.086576,181387.000000,148604.000000
1325.608255,0.086624,181312.000000,148526.000000
1329.052002,0.086554,181274.000000,148519.000000
1332.491349,0.086887,181109.000000,148270.000000
1335.926297,0.087043,180689.000000,147873.000000
1339.356847,0.088120,179848.000000,146820.000000
1342.782997,0.087928,179242.000000,146390.000000
1346.204748,0.089499,178573.000000,145317.000000
1349.622099,0.090248,177890.000000,144512.000000
1354.171725,0.091587,176659.000000,143070.000000
1357.578812,0.092967,175938.000000,142034.000000
1360.981500,0.094326,175417.000000,141171.000000
1364.379789,0.095009,174939.000000,140565.000000
1367.773679,0.095950,174429.000000,139852.000000
1371.163169,0.098612,174092.000000,138729.000000
1374.548260,0.099508,173838.000000,138241.000000
1377.928953,0.102554,173647.000000,137124.000000
1381.305246,0.104199,173017.000000,136110.000000
1384.677139,0.104609,172585.000000,135642.000000
1388.044634,0.105832,172273.000000,135016.000000
1391.407730,0.107269,171871.000000,134256.000000
1394.766426,0.107380,171212.000000,133707.000000
1399.237845,0.109365,170477.000000,132526.000000
1402.586276,0.110037,170057.000000,131995.000000
1405.930309,0.111031,169522.000000,131279.000000
1409.269942,0.112409,169040.000000,130491.000000
1412.605176,0.113317,168685.000000,129945.000000
1415.936011,0.113378,168440.000000,129738.000000
1419.262447,0.113329,168277.000000,129627.000000
1422.584484,0.113140,168052.000000,129510.000000
1425.902122,0.112100,168094.000000,129853.000000
1429.215360,0.112673,168176.000000,129745.000000
1432.524199,0.112379,168237.000000,129880.000000
1435.828639,0.110369,168356.000000,130575.000000
1439.128680,0.109965,168675.000000,130944.000000
1442.424322,0.109366,168916.000000,131312.000000
1446.811668,0.108996,169258.000000,131690.000000
1450.097045,0.108559,169379.000000,131917.000000
1453.378023,0.107577,169391.000000,132225.000000
1456.654602,0.107624,169334.000000,132166.000000
1459.926782,0.107511,169305.000000,132178.000000
1463.194562,0.106946,169126.000000,132210.000000
1466.457943,0.107253,168919.000000,131955.000000
1469.716926,0.107372,168594.000000,131665.000000
1472.971509,0.108331,168234.000000,131094.000000
1476.221692,0.108630,167663.000000,130559.000000
1479.467477,0.110538,167217.000000,129641.000000
1482.708863,0.110528,166625.000000,129185.000000
1485.945849,0.109114,166131.000000,129222.000000
1489.178436,0.109942,165518.000000,128500.000000
1493.481710,0.111541,164484.000000,127228.000000
1496.704032,0.112505,164054.000000,126614.000000
1499.921956,0.113695,163401.000000,125765.000000
1503.135480,0.115356,162290.000000,124433.000000
1506.344605,0.116638,161374.000000,123366.000000
1509.549331,0.118080,160366.000000,122189.000000
1512.749658,0.118539,159378.000000,121308.000000
1515.945585,0.118330,158285.000000,120534.000000
1519.137114,0.119605,157316.000000,119445.000000
1522.324243,0.120285,156147.000000,118372.000000
1525.506973,0.121780,155113.000000,117184.000000
1528.685304,0.123329,154000.000000,115929.000000
1531.859236,0.125805,152588.000000,114213.000000
1535.028769,0.126169,151256.000000,113121.000000
1539.247969,0.127361,149501.000000,111502.000000
1542.407237,0.125669,148026.000000,110833.000000
1545.562106,0.122212,146484.000000,110555.000000
1548.712576,0.118238,144932.000000,110389.000000
1551.858646,0.114341,143312.000000,110139.000000
1555.000318,0.111177,141623.000000,109637.000000
1558.137590,0.111261,139790.000000,108197.000000
1561.270463,0.111473,137958.000000,106727.000000
1564.398937,0.111956,136203.000000,105252.000000
1567.523012,0.113406,134303.000000,103438.000000
1570.642687,0.115760,132340.000000,101375.000000
1573.757964,0.117299,130373.000000,99515.000000
1576.868841,0.118022,128194.000000,97689.000000
1581.009834,0.116183,125453.000000,96006.000000
1584.110447,0.115161,123268.000000,94556.000000
1587.206660,0.113442,121128.000000,93283.000000
1590.298475,0.113675,118983.000000,91582.000000
1593.385890,0.112556,116601.000000,89980.000000
1596.468906,0.113637,114492.000000,88133.000000
1599.547522,0.113983,112247.000000,86336.000000
1602.621740,0.117508,110113.000000,84010.000000
1605.691559,0.115762,107845.000000,82611.000000
1608.756978,0.116368,105764.000000,80904.000000
1611.817998,0.117609,103762.000000,79146.000000
1614.874619,0.115228,101454.000000,77811.000000
1617.926841,0.115034,99141.000000,76071.000000
1620.974664,0.113018,96810.000000,74628.000000
1625.031584,0.111629,93749.000000,72500.000000
1628.069142,0.111262,91480.000000,70805.000000
1631.102301,0.112206,89180.000000,68875.000000
1634.131061,0.112013,86957.000000,67188.000000
1637.155422,0.117708,84664.000000,64564.000000
1640.175383,0.122059,82560.000000,62332.000000
1643.190945,0.130478,80299.000000,59461.000000
1646.202108,0.137113,77863.000000,56783.000000
1649.208872,0.148095,75323.000000,53559.000000
1652.211237,0.155186,72646.000000,50819.000000
1655.209203,0.160281,69695.000000,48186.000000
1658.202769,0.161797,66120.000000,45555.000000
1661.191937,0.155971,61928.000000,43243.000000
1664.176705,0.143437,57108.000000,41045.000000
1668.149553,0.114051,49420.000000,38006.000000
1671.124056,0.089365,43252.000000,35208.000000
1674.094160,0.065297,37007.000000,31841.000000
1677.059866,0.044795,31448.000000,28366.000000
1680.021172,0.032194,26509.000000,24615.000000
1682.978078,0.029216,22318.000000,20866.000000
1685.930586,0.032582,18913.000000,17546.000000
1688.878695,0.032554,16215.000000,15044.000000
1691.822404,0.034295,13947.000000,12888.000000
1694.761714,0.045270,12072.000000,10877.000000
1697.696625,0.050715,10552.000000,9389.000000
1700.627137,0.059062,9233.000000,8059.000000
