Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 21:33:26,,
Header Version:,1,,
System Temp (C):,27.79,,
Detector Temp (C):,26.66,,
Humidity (%):,43.92,,
Lamp PD:,3798,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.159660,23756.000000,16448.000000
905.500242,0.164249,26065.000000,17857.000000
909.444026,0.161278,28446.000000,19622.000000
913.383411,0.165113,31151.000000,21299.000000
917.318397,0.167250,34594.000000,23537.000000
921.248983,0.169610,38706.000000,26192.000000
925.175171,0.167807,43333.000000,29445.000000
929.096959,0.167891,48106.000000,32682.000000
933.014348,0.168189,52854.000000,35883.000000
936.927338,0.167332,57207.000000,38915.000000
942.137815,0.165551,62583.000000,42747.000000
946.040540,0.165784,66412.000000,45338.000000
949.938866,0.163736,70192.000000,48145.000000
953.832793,0.164093,73953.000000,50683.000000
957.722320,0.163923,77741.000000,53300.000000
961.607449,0.164741,81459.000000,55744.000000
965.488178,0.164410,84970.000000,58191.000000
969.364509,0.165102,88307.000000,60380.000000
973.236440,0.162974,91422.000000,62817.000000
977.103972,0.164019,94242.000000,64599.000000
980.967105,0.162981,96650.000000,66408.000000
984.825838,0.165297,98706.000000,67460.000000
988.680173,0.164406,100691.000000,68958.000000
992.530108,0.163936,102102.000000,70000.000000
997.656512,0.164552,103062.000000,70558.000000
1001.496183,0.164679,103488.000000,70829.000000
1005.331454,0.163476,103668.000000,71149.000000
1009.162327,0.163782,103604.000000,71055.000000
1012.988800,0.163228,103501.000000,71075.000000
1016.810874,0.163807,103473.000000,70961.000000
1020.628549,0.164023,103180.000000,70725.000000
1024.441824,0.163822,102848.000000,70530.000000
1028.250701,0.163372,102542.000000,70393.000000
1032.055178,0.163029,102330.000000,70303.000000
1035.855257,0.162540,102161.000000,70266.000000
1039.650936,0.162091,101990.000000,70221.000000
1043.442216,0.161351,101741.000000,70169.000000
1048.490413,0.162338,101666.000000,69958.000000
1052.271428,0.161132,101700.000000,70176.000000
1056.048044,0.161337,101777.000000,70196.000000
1059.820261,0.160633,101906.000000,70399.000000
1063.588079,0.160368,102259.000000,70686.000000
1067.351497,0.161135,102763.000000,70909.000000
1071.110517,0.159368,103190.000000,71494.000000
1074.865137,0.159297,103645.000000,71821.000000
1078.615358,0.158637,104247.000000,72348.000000
1082.361180,0.158233,104844.000000,72830.000000
1086.102603,0.157339,105404.000000,73370.000000
1089.839627,0.155712,105830.000000,73943.000000
1093.572251,0.156166,106541.000000,74362.000000
1097.300477,0.155731,106997.000000,74755.000000
