Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:26:37,,
Header Version:,1,,
System Temp (C):,30.5,,
Detector Temp (C):,29.11,,
Humidity (%):,34.53,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.511,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.110507,23756.000000,18419.000000
905.500242,0.116289,26065.000000,19942.000000
909.444026,0.114689,28446.000000,21844.000000
913.383411,0.120523,31151.000000,23602.000000
917.318397,0.123877,34594.000000,26009.000000
921.248983,0.125905,38706.000000,28965.000000
925.175171,0.124081,43333.000000,32564.000000
929.096959,0.125836,48106.000000,36005.000000
933.014348,0.125844,52854.000000,39558.000000
936.927338,0.124830,57207.000000,42916.000000
942.137815,0.124432,62583.000000,46992.000000
946.040540,0.124338,66412.000000,49878.000000
949.938866,0.123210,70192.000000,52854.000000
953.832793,0.122859,73953.000000,55731.000000
957.722320,0.123019,77741.000000,58564.000000
961.607449,0.123507,81459.000000,61296.000000
965.488178,0.124295,84970.000000,63822.000000
969.364509,0.125682,88307.000000,66117.000000
973.236440,0.122775,91422.000000,68909.000000
977.103972,0.123758,94242.000000,70874.000000
980.967105,0.122492,96650.000000,72897.000000
984.825838,0.124977,98706.000000,74023.000000
988.680173,0.124750,100691.000000,75551.000000
992.530108,0.124245,102102.000000,76699.000000
997.656512,0.125121,103062.000000,77264.000000
1001.496183,0.125538,103488.000000,77509.000000
1005.331454,0.125050,103668.000000,77731.000000
1009.162327,0.125129,103604.000000,77669.000000
1012.988800,0.124306,103501.000000,77739.000000
1016.810874,0.124400,103473.000000,77701.000000
1020.628549,0.123986,103180.000000,77555.000000
1024.441824,0.125068,102848.000000,77113.000000
1028.250701,0.124518,102542.000000,76981.000000
1032.055178,0.124500,102330.000000,76825.000000
1035.855257,0.123686,102161.000000,76842.000000
1039.650936,0.123609,101990.000000,76727.000000
1043.442216,0.123778,101741.000000,76510.000000
1048.490413,0.124907,101666.000000,76255.000000
1052.271428,0.123415,101700.000000,76543.000000
1056.048044,0.123478,101777.000000,76590.000000
1059.820261,0.122889,101906.000000,76791.000000
1063.588079,0.123459,102259.000000,76956.000000
1067.351497,0.123489,102763.000000,77330.000000
1071.110517,0.121927,103190.000000,77931.000000
1074.865137,0.122564,103645.000000,78160.000000
1078.615358,0.121064,104247.000000,78886.000000
1082.361180,0.120308,104844.000000,79476.000000
1086.102603,0.120093,105404.000000,79940.000000
1089.839627,0.118101,105830.000000,80632.000000
1093.572251,0.119053,106541.000000,80996.000000
1097.300477,0.119329,106997.000000,81291.000000
1102.264601,0.118618,107655.000000,81925.000000
1105.982562,0.119820,108209.000000,82119.000000
1109.696123,0.119319,108541.000000,82466.000000
1113.405285,0.119864,108883.000000,82622.000000
1117.110049,0.119781,109111.000000,82811.000000
1120.810413,0.120322,109449.000000,82964.000000
1124.506378,0.121984,110148.000000,83175.000000
1128.197943,0.122028,110387.000000,83347.000000
1131.885110,0.123070,110542.000000,83264.000000
1135.567878,0.121465,110818.000000,83781.000000
