Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:49:20,,
Header Version:,1,,
System Temp (C):,31.75,,
Detector Temp (C):,30.68,,
Humidity (%):,40.07,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.459,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.198785,23756.000000,15031.000000
905.500242,0.202354,26065.000000,16357.000000
909.444026,0.198459,28446.000000,18012.000000
913.383411,0.204463,31151.000000,19454.000000
917.318397,0.208303,34594.000000,21414.000000
921.248983,0.208002,38706.000000,23976.000000
925.175171,0.204908,43333.000000,27034.000000
929.096959,0.204629,48106.000000,30031.000000
933.014348,0.203237,52854.000000,33101.000000
936.927338,0.200219,57207.000000,36077.000000
942.137815,0.196344,62583.000000,39821.000000
946.040540,0.194891,66412.000000,42399.000000
949.938866,0.192930,70192.000000,45015.000000
953.832793,0.191933,73953.000000,47536.000000
957.722320,0.190986,77741.000000,50080.000000
961.607449,0.191235,81459.000000,52445.000000
965.488178,0.191564,84970.000000,54664.000000
969.364509,0.193286,88307.000000,56586.000000
973.236440,0.190272,91422.000000,58990.000000
977.103972,0.191793,94242.000000,60597.000000
980.967105,0.190951,96650.000000,62266.000000
984.825838,0.193324,98706.000000,63244.000000
988.680173,0.193115,100691.000000,64547.000000
992.530108,0.193085,102102.000000,65456.000000
997.656512,0.193469,103062.000000,66013.000000
1001.496183,0.194006,103488.000000,66204.000000
1005.331454,0.193712,103668.000000,66364.000000
1009.162327,0.193516,103604.000000,66353.000000
1012.988800,0.192600,103501.000000,66427.000000
1016.810874,0.192672,103473.000000,66398.000000
1020.628549,0.191781,103180.000000,66346.000000
1024.441824,0.192520,102848.000000,66020.000000
1028.250701,0.191865,102542.000000,65923.000000
1032.055178,0.191652,102330.000000,65819.000000
1035.855257,0.191092,102161.000000,65795.000000
1039.650936,0.190497,101990.000000,65775.000000
1043.442216,0.189891,101741.000000,65706.000000
1048.490413,0.190915,101666.000000,65503.000000
1052.271428,0.189577,101700.000000,65727.000000
1056.048044,0.188883,101777.000000,65882.000000
1059.820261,0.188320,101906.000000,66051.000000
1063.588079,0.188916,102259.000000,66189.000000
