Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:48:9,,
Header Version:,1,,
System Temp (C):,31.36,,
Detector Temp (C):,30.47,,
Humidity (%):,40.88,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.509,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.142777,23756.000000,17100.000000
905.500242,0.148417,26065.000000,18520.000000
909.444026,0.148025,28446.000000,20230.000000
913.383411,0.151741,31151.000000,21965.000000
917.318397,0.151664,34594.000000,24397.000000
921.248983,0.154361,38706.000000,27128.000000
925.175171,0.152733,43333.000000,30485.000000
929.096959,0.154183,48106.000000,33730.000000
933.014348,0.153681,52854.000000,37102.000000
936.927338,0.151251,57207.000000,40383.000000
942.137815,0.149847,62583.000000,44321.000000
946.040540,0.149687,66412.000000,47050.000000
949.938866,0.149399,70192.000000,49761.000000
953.832793,0.148003,73953.000000,52596.000000
957.722320,0.147156,77741.000000,55398.000000
961.607449,0.148786,81459.000000,57830.000000
965.488178,0.148221,84970.000000,60401.000000
969.364509,0.148395,88307.000000,62748.000000
973.236440,0.144134,91422.000000,65602.000000
977.103972,0.145546,94242.000000,67406.000000
980.967105,0.143880,96650.000000,69394.000000
984.825838,0.144206,98706.000000,70817.000000
988.680173,0.144111,100691.000000,72257.000000
992.530108,0.142836,102102.000000,73485.000000
997.656512,0.142818,103062.000000,74179.000000
1001.496183,0.141645,103488.000000,74687.000000
1005.331454,0.141174,103668.000000,74898.000000
1009.162327,0.141318,103604.000000,74827.000000
1012.988800,0.139825,103501.000000,75010.000000
1016.810874,0.139355,103473.000000,75071.000000
1020.628549,0.139160,103180.000000,74892.000000
1024.441824,0.139742,102848.000000,74551.000000
1028.250701,0.138676,102542.000000,74512.000000
1032.055178,0.138022,102330.000000,74470.000000
1035.855257,0.137858,102161.000000,74375.000000
1039.650936,0.138160,101990.000000,74199.000000
1043.442216,0.138722,101741.000000,73922.000000
1048.490413,0.138684,101666.000000,73874.000000
1052.271428,0.137855,101700.000000,74040.000000
1056.048044,0.137457,101777.000000,74164.000000
1059.820261,0.138417,101906.000000,74094.000000
1063.588079,0.138508,102259.000000,74335.000000
1067.351497,0.137825,102763.000000,74819.000000
1071.110517,0.137125,103190.000000,75251.000000
1074.865137,0.137947,103645.000000,75440.000000
1078.615358,0.136816,104247.000000,76076.000000
1082.361180,0.136598,104844.000000,76550.000000
1086.102603,0.137552,105404.000000,76790.000000
1089.839627,0.135520,105830.000000,77462.000000
1093.572251,0.136409,106541.000000,77823.000000
1097.300477,0.136220,106997.000000,78190.000000
1102.264601,0.136435,107655.000000,78632.000000
1105.982562,0.136906,108209.000000,78951.000000
1109.696123,0.135888,108541.000000,79379.000000
1113.405285,0.136740,108883.000000,79473.000000
1117.110049,0.134979,109111.000000,79963.000000
1120.810413,0.134010,109449.000000,80390.000000
1124.506378,0.135071,110148.000000,80706.000000
1128.197943,0.134497,110387.000000,80988.000000
1131.885110,0.134517,110542.000000,81098.000000
1135.567878,0.133389,110818.000000,81512.000000
1139.246246,0.133857,111041.000000,81588.000000
1142.920215,0.134087,111319.000000,81749.000000
1146.589785,0.133293,111575.000000,82087.000000
1150.254956,0.132949,112030.000000,82487.000000
1155.135007,0.133411,112594.000000,82814.000000
1158.789913,0.133981,113176.000000,83133.000000
1162.440420,0.134210,113756.000000,83515.000000
1166.086528,0.134342,114495.000000,84032.000000
1169.728237,0.134515,115248.000000,84551.000000
1173.365546,0.134843,116196.000000,85182.000000
1176.998457,0.135820,117260.000000,85769.000000
1180.626968,0.134912,118314.000000,86721.000000
1184.251080,0.135948,119420.000000,87323.000000
1187.870793,0.136523,120660.000000,88113.000000
1191.486107,0.137325,122104.000000,89003.000000
1195.097021,0.136045,123408.000000,90219.000000
1198.703537,0.136952,124879.000000,91104.000000
1203.505381,0.137276,127171.000000,92707.000000
1207.101631,0.136890,128929.000000,94072.000000
1210.693483,0.137842,130624.000000,95100.000000
1214.280935,0.139017,132432.000000,96156.000000
1217.863989,0.137563,134356.000000,97880.000000
1221.442643,0.137545,136434.000000,99398.000000
1225.016898,0.138447,138254.000000,100515.000000
1228.586754,0.137639,140110.000000,102054.000000
1232.152210,0.136393,142307.000000,103952.000000
1235.713268,0.136835,144480.000000,105432.000000
1239.269926,0.136794,146375.000000,106825.000000
1242.822185,0.135362,148395.000000,108657.000000
1246.370045,0.136078,150778.000000,110220.000000
1249.913506,0.136319,153060.000000,111826.000000
1254.631278,0.136697,155918.000000,113815.000000
1258.164474,0.137339,157931.000000,115114.000000
1261.693271,0.137235,160225.000000,116814.000000
1265.217669,0.137244,162531.000000,118493.000000
1268.737667,0.138278,164471.000000,119622.000000
1272.253267,0.137213,166342.000000,121280.000000
1275.764467,0.136970,168611.000000,123003.000000
1279.271269,0.136328,170630.000000,124660.000000
1282.773671,0.135824,172186.000000,125943.000000
1286.271674,0.135568,173503.000000,126981.000000
1289.765277,0.134318,175078.000000,128503.000000
1293.254482,0.135223,176321.000000,129146.000000
1296.739287,0.135314,177150.000000,129726.000000
1300.219694,0.135227,178114.000000,130458.000000
1304.853392,0.136474,179516.000000,131108.000000
1308.323534,0.136333,180112.000000,131586.000000
1311.789276,0.137227,180427.000000,131545.000000
1315.250620,0.135904,180849.000000,132255.000000
1318.707564,0.136337,181295.000000,132449.000000
1322.160109,0.137125,181387.000000,132276.000000
1325.608255,0.137044,181312.000000,132246.000000
1329.052002,0.137528,181274.000000,132071.000000
1332.491349,0.138199,181109.000000,131747.000000
1335.926297,0.137851,180689.000000,131547.000000
1339.356847,0.139315,179848.000000,130494.000000
1342.782997,0.140068,179242.000000,129829.000000
1346.204748,0.141065,178573.000000,129048.000000
1349.622099,0.141857,177890.000000,128320.000000
1354.171725,0.143859,176659.000000,126846.000000
1357.578812,0.145527,175938.000000,125844.000000
1360.981500,0.147012,175417.000000,125043.000000
1364.379789,0.148147,174939.000000,124377.000000
1367.773679,0.149000,174429.000000,123771.000000
1371.163169,0.150373,174092.000000,123142.000000
1374.548260,0.150374,173838.000000,122962.000000
1377.928953,0.152180,173647.000000,122317.000000
1381.305246,0.152445,173017.000000,121799.000000
1384.677139,0.153178,172585.000000,121290.000000
1388.044634,0.155450,172273.000000,120439.000000
1391.407730,0.157820,171871.000000,119504.000000
1394.766426,0.159754,171212.000000,118517.000000
1399.237845,0.164852,170477.000000,116631.000000
1402.586276,0.168389,170057.000000,115400.000000
1405.930309,0.173122,169522.000000,113790.000000
1409.269942,0.179043,169040.000000,111930.000000
1412.605176,0.185159,168685.000000,110133.000000
1415.936011,0.191372,168440.000000,108411.000000
1419.262447,0.197055,168277.000000,106898.000000
1422.584484,0.202208,168052.000000,105496.000000
1425.902122,0.206390,168094.000000,104511.000000
1429.215360,0.211601,168176.000000,103315.000000
1432.524199,0.215469,168237.000000,102436.000000
1435.828639,0.217633,168356.000000,101999.000000
1439.128680,0.220384,168675.000000,101547.000000
1442.424322,0.222559,168916.000000,101184.000000
1446.811668,0.225830,169258.000000,100628.000000
1450.097045,0.227178,169379.000000,100388.000000
1453.378023,0.228409,169391.000000,100111.000000
1456.654602,0.231646,169334.000000,99334.000000
1459.926782,0.233737,169305.000000,98840.000000
1463.194562,0.235648,169126.000000,98302.000000
1466.457943,0.237797,168919.000000,97697.000000
1469.716926,0.239502,168594.000000,97127.000000
1472.971509,0.242247,168234.000000,96309.000000
1476.221692,0.243562,167663.000000,95692.000000
1479.467477,0.246435,167217.000000,94808.000000
1482.708863,0.246630,166625.000000,94430.000000
1485.945849,0.245019,166131.000000,94500.000000
1489.178436,0.246568,165518.000000,93816.000000
1493.481710,0.246773,164484.000000,93186.000000
1496.704032,0.246495,164054.000000,93002.000000
1499.921956,0.245136,163401.000000,92922.000000
1503.135480,0.244399,162290.000000,92447.000000
1506.344605,0.242679,161374.000000,92290.000000
1509.549331,0.241395,160366.000000,91985.000000
1512.749658,0.239283,159378.000000,91864.000000
1515.945585,0.237596,158285.000000,91589.000000
1519.137114,0.237617,157316.000000,91024.000000
1522.324243,0.236612,156147.000000,90557.000000
1525.506973,0.236507,155113.000000,89979.000000
1528.685304,0.236149,154000.000000,89407.000000
1531.859236,0.236337,152588.000000,88549.000000
1535.028769,0.235605,151256.000000,87924.000000
1539.247969,0.236470,149501.000000,86731.000000
1542.407237,0.235436,148026.000000,86080.000000
1545.562106,0.233987,146484.000000,85468.000000
1548.712576,0.232886,144932.000000,84777.000000
1551.858646,0.231807,143312.000000,84038.000000
1555.000318,0.231763,141623.000000,83056.000000
1558.137590,0.232500,139790.000000,81842.000000
1561.270463,0.230881,137958.000000,81071.000000
1564.398937,0.229287,136203.000000,80334.000000
1567.523012,0.229108,134303.000000,79246.000000
1570.642687,0.228523,132340.000000,78193.000000
1573.757964,0.228364,130373.000000,77059.000000
1576.868841,0.227901,128194.000000,75852.000000
1581.009834,0.227013,125453.000000,74382.000000
1584.110447,0.226927,123268.000000,73101.000000
1587.206660,0.225942,121128.000000,71995.000000
