Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 21:3:31,,
Header Version:,1,,
System Temp (C):,30.25,,
Detector Temp (C):,28.92,,
Humidity (%):,36.71,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.060496,23756.000000,20667.000000
905.500242,0.065596,26065.000000,22411.000000
909.444026,0.064359,28446.000000,24528.000000
913.383411,0.068639,31151.000000,26597.000000
917.318397,0.072697,34594.000000,29262.000000
921.248983,0.074401,38706.000000,32612.000000
925.175171,0.073160,43333.000000,36615.000000
929.096959,0.074680,48106.000000,40506.000000
933.014348,0.074601,52854.000000,44512.000000
936.927338,0.072756,57207.000000,48383.000000
942.137815,0.072099,62583.000000,53010.000000
946.040540,0.072495,66412.000000,56202.000000
949.938866,0.071406,70192.000000,59550.000000
953.832793,0.071003,73953.000000,62799.000000
957.722320,0.070935,77741.000000,66026.000000
961.607449,0.071813,81459.000000,69044.000000
965.488178,0.072205,84970.000000,71955.000000
969.364509,0.073483,88307.000000,74561.000000
973.236440,0.071004,91422.000000,77633.000000
977.103972,0.072013,94242.000000,79842.000000
980.967105,0.071002,96650.000000,82073.000000
984.825838,0.073198,98706.000000,83396.000000
988.680173,0.072684,100691.000000,85174.000000
992.530108,0.072440,102102.000000,86416.000000
997.656512,0.073355,103062.000000,87045.000000
1001.496183,0.073448,103488.000000,87386.000000
1005.331454,0.073349,103668.000000,87558.000000
1009.162327,0.073368,103604.000000,87500.000000
1012.988800,0.072803,103501.000000,87527.000000
1016.810874,0.073221,103473.000000,87419.000000
1020.628549,0.072795,103180.000000,87257.000000
1024.441824,0.073826,102848.000000,86770.000000
1028.250701,0.073243,102542.000000,86628.000000
1032.055178,0.073308,102330.000000,86436.000000
1035.855257,0.072751,102161.000000,86404.000000
1039.650936,0.072788,101990.000000,86252.000000
1043.442216,0.072962,101741.000000,86007.000000
1048.490413,0.073825,101666.000000,85773.000000
1052.271428,0.072691,101700.000000,86026.000000
1056.048044,0.072768,101777.000000,86076.000000
1059.820261,0.072431,101906.000000,86252.000000
1063.588079,0.072806,102259.000000,86476.000000
1067.351497,0.071943,102763.000000,87075.000000
1071.110517,0.070598,103190.000000,87708.000000
1074.865137,0.071036,103645.000000,88006.000000
1078.615358,0.070115,104247.000000,88705.000000
1082.361180,0.069172,104844.000000,89407.000000
1086.102603,0.068644,105404.000000,89994.000000
1089.839627,0.066777,105830.000000,90747.000000
1093.572251,0.067346,106541.000000,91237.000000
1097.300477,0.066936,106997.000000,91714.000000
1102.264601,0.065752,107655.000000,92530.000000
1105.982562,0.065780,108209.000000,93000.000000
1109.696123,0.064397,108541.000000,93583.000000
1113.405285,0.064429,108883.000000,93871.000000
1117.110049,0.063117,109111.000000,94352.000000
1120.810413,0.062037,109449.000000,94880.000000
