Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 21:2:38,,
Header Version:,1,,
System Temp (C):,30.28,,
Detector Temp (C):,29.11,,
Humidity (%):,38.13,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.503,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.215035,23756.000000,14479.000000
905.500242,0.220518,26065.000000,15687.000000
909.444026,0.220061,28446.000000,17138.000000
913.383411,0.226159,31151.000000,18506.000000
917.318397,0.229158,34594.000000,20410.000000
921.248983,0.230835,38706.000000,22748.000000
925.175171,0.229921,43333.000000,25521.000000
929.096959,0.231889,48106.000000,28204.000000
933.014348,0.231058,52854.000000,31047.000000
936.927338,0.230451,57207.000000,33651.000000
942.137815,0.229124,62583.000000,36926.000000
946.040540,0.228164,66412.000000,39272.000000
949.938866,0.226339,70192.000000,41682.000000
953.832793,0.226452,73953.000000,43904.000000
957.722320,0.224619,77741.000000,46348.000000
961.607449,0.225636,81459.000000,48451.000000
965.488178,0.225484,84970.000000,50557.000000
969.364509,0.226349,88307.000000,52438.000000
973.236440,0.223270,91422.000000,54674.000000
977.103972,0.224377,94242.000000,56217.000000
980.967105,0.223267,96650.000000,57801.000000
984.825838,0.225136,98706.000000,58777.000000
988.680173,0.224622,100691.000000,60030.000000
992.530108,0.224303,102102.000000,60916.000000
997.656512,0.224704,103062.000000,61432.000000
1001.496183,0.225373,103488.000000,61591.000000
1005.331454,0.225113,103668.000000,61735.000000
1009.162327,0.224838,103604.000000,61736.000000
1012.988800,0.224413,103501.000000,61735.000000
1016.810874,0.224535,103473.000000,61701.000000
1020.628549,0.224678,103180.000000,61506.000000
1024.441824,0.226027,102848.000000,61118.000000
1028.250701,0.225124,102542.000000,61063.000000
1032.055178,0.225443,102330.000000,60892.000000
1035.855257,0.225182,102161.000000,60828.000000
1039.650936,0.225247,101990.000000,60717.000000
1043.442216,0.225296,101741.000000,60562.000000
1048.490413,0.226707,101666.000000,60321.000000
1052.271428,0.225709,101700.000000,60480.000000
1056.048044,0.225600,101777.000000,60541.000000
1059.820261,0.225935,101906.000000,60571.000000
1063.588079,0.226170,102259.000000,60748.000000
1067.351497,0.225931,102763.000000,61081.000000
1071.110517,0.224650,103190.000000,61516.000000
1074.865137,0.225806,103645.000000,61623.000000
1078.615358,0.224986,104247.000000,62098.000000
1082.361180,0.223879,104844.000000,62613.000000
1086.102603,0.224013,105404.000000,62928.000000
1089.839627,0.221815,105830.000000,63503.000000
1093.572251,0.222580,106541.000000,63817.000000
1097.300477,0.222270,106997.000000,64136.000000
1102.264601,0.220962,107655.000000,64725.000000
1105.982562,0.221190,108209.000000,65024.000000
1109.696123,0.219863,108541.000000,65423.000000
1113.405285,0.220036,108883.000000,65603.000000
1117.110049,0.218739,109111.000000,65937.000000
1120.810413,0.217554,109449.000000,66322.000000
1124.506378,0.217981,110148.000000,66680.000000
1128.197943,0.216889,110387.000000,66993.000000
1131.885110,0.217692,110542.000000,66963.000000
1135.567878,0.216634,110818.000000,67294.000000
1139.246246,0.216199,111041.000000,67497.000000
1142.920215,0.216558,111319.000000,67610.000000
1146.589785,0.215077,111575.000000,67997.000000
1150.254956,0.215779,112030.000000,68164.000000
1155.135007,0.216675,112594.000000,68366.000000
1158.789913,0.216867,113176.000000,68689.000000
1162.440420,0.217295,113756.000000,68973.000000
1166.086528,0.218524,114495.000000,69225.000000
1169.728237,0.219043,115248.000000,69597.000000
1173.365546,0.220062,116196.000000,70005.000000
1176.998457,0.221059,117260.000000,70484.000000
1180.626968,0.220605,118314.000000,71192.000000
1184.251080,0.220977,119420.000000,71796.000000
1187.870793,0.222497,120660.000000,72288.000000
1191.486107,0.223580,122104.000000,72971.000000
1195.097021,0.223293,123408.000000,73799.000000
1198.703537,0.224467,124879.000000,74477.000000
1203.505381,0.225338,127171.000000,75692.000000
1207.101631,0.225346,128929.000000,76737.000000
1210.693483,0.226184,130624.000000,77596.000000
1214.280935,0.227295,132432.000000,78469.000000
1217.863989,0.226919,134356.000000,79678.000000
1221.442643,0.227028,136434.000000,80890.000000
1225.016898,0.227097,138254.000000,81956.000000
1228.586754,0.227145,140110.000000,83047.000000
1232.152210,0.226452,142307.000000,84484.000000
1235.713268,0.225850,144480.000000,85893.000000
1239.269926,0.226367,146375.000000,86916.000000
1242.822185,0.224834,148395.000000,88427.000000
1246.370045,0.224815,150778.000000,89851.000000
1249.913506,0.224743,153060.000000,91226.000000
1254.631278,0.225320,155918.000000,92806.000000
1258.164474,0.225557,157931.000000,93953.000000
1261.693271,0.225815,160225.000000,95261.000000
1265.217669,0.225173,162531.000000,96775.000000
1268.737667,0.225631,164471.000000,97827.000000
1272.253267,0.224499,166342.000000,99198.000000
1275.764467,0.224348,168611.000000,100586.000000
1279.271269,0.223694,170630.000000,101944.000000
1282.773671,0.222840,172186.000000,103076.000000
1286.271674,0.222232,173503.000000,104010.000000
1289.765277,0.221678,175078.000000,105088.000000
1293.254482,0.221995,176321.000000,105757.000000
1296.739287,0.222388,177150.000000,106158.000000
1300.219694,0.222314,178114.000000,106754.000000
1304.853392,0.223228,179516.000000,107368.000000
1308.323534,0.223351,180112.000000,107694.000000
1311.789276,0.224090,180427.000000,107699.000000
1315.250620,0.223502,180849.000000,108097.000000
1318.707564,0.223693,181295.000000,108316.000000
1322.160109,0.224475,181387.000000,108176.000000
1325.608255,0.224585,181312.000000,108104.000000
1329.052002,0.225395,181274.000000,107880.000000
1332.491349,0.225728,181109.000000,107699.000000
1335.926297,0.226239,180689.000000,107323.000000
1339.356847,0.227450,179848.000000,106526.000000
1342.782997,0.228171,179242.000000,105991.000000
1346.204748,0.229276,178573.000000,105327.000000
1349.622099,0.230288,177890.000000,104680.000000
1354.171725,0.232451,176659.000000,103439.000000
1357.578812,0.233958,175938.000000,102660.000000
1360.981500,0.235033,175417.000000,102103.000000
1364.379789,0.236502,174939.000000,101481.000000
1367.773679,0.236713,174429.000000,101136.000000
1371.163169,0.238358,174092.000000,100559.000000
1374.548260,0.237914,173838.000000,100515.000000
1377.928953,0.239550,173647.000000,100027.000000
1381.305246,0.239755,173017.000000,99617.000000
1384.677139,0.240067,172585.000000,99297.000000
1388.044634,0.240863,172273.000000,98936.000000
1391.407730,0.242384,171871.000000,98360.000000
1394.766426,0.243067,171212.000000,97829.000000
1399.237845,0.246576,170477.000000,96625.000000
1402.586276,0.248998,170057.000000,95851.000000
1405.930309,0.252331,169522.000000,94819.000000
1409.269942,0.256848,169040.000000,93571.000000
1412.605176,0.261748,168685.000000,92327.000000
1415.936011,0.266522,168440.000000,91185.000000
1419.262447,0.271343,168277.000000,90091.000000
1422.584484,0.276264,168052.000000,88957.000000
1425.902122,0.279887,168094.000000,88240.000000
1429.215360,0.284566,168176.000000,87337.000000
1432.524199,0.288163,168237.000000,86648.000000
1435.828639,0.290323,168356.000000,86279.000000
1439.128680,0.292441,168675.000000,86022.000000
1442.424322,0.294654,168916.000000,85707.000000
1446.811668,0.297188,169258.000000,85381.000000
1450.097045,0.299732,169379.000000,84943.000000
1453.378023,0.301012,169391.000000,84699.000000
1456.654602,0.303989,169334.000000,84092.000000
1459.926782,0.306365,169305.000000,83619.000000
1463.194562,0.308400,169126.000000,83140.000000
1466.457943,0.311720,168919.000000,82406.000000
1469.716926,0.314089,168594.000000,81800.000000
1472.971509,0.317214,168234.000000,81040.000000
1476.221692,0.319257,167663.000000,80386.000000
1479.467477,0.322689,167217.000000,79541.000000
1482.708863,0.324031,166625.000000,79015.000000
1485.945849,0.323991,166131.000000,78788.000000
1489.178436,0.324812,165518.000000,78349.000000
1493.481710,0.325541,164484.000000,77729.000000
1496.704032,0.325887,164054.000000,77464.000000
1499.921956,0.324648,163401.000000,77376.000000
1503.135480,0.323959,162290.000000,76972.000000
1506.344605,0.322088,161374.000000,76868.000000
1509.549331,0.321252,160366.000000,76535.000000
1512.749658,0.319403,159378.000000,76388.000000
1515.945585,0.317981,158285.000000,76113.000000
1519.137114,0.317723,157316.000000,75692.000000
1522.324243,0.317391,156147.000000,75187.000000
1525.506973,0.317223,155113.000000,74718.000000
1528.685304,0.317047,154000.000000,74212.000000
1531.859236,0.317949,152588.000000,73379.000000
1535.028769,0.317164,151256.000000,72870.000000
1539.247969,0.317873,149501.000000,71907.000000
1542.407237,0.317139,148026.000000,71318.000000
1545.562106,0.315689,146484.000000,70811.000000
1548.712576,0.315353,144932.000000,70115.000000
1551.858646,0.313611,143312.000000,69610.000000
1555.000318,0.313747,141623.000000,68768.000000
1558.137590,0.313006,139790.000000,67994.000000
1561.270463,0.311583,137958.000000,67323.000000
1564.398937,0.310204,136203.000000,66678.000000
1567.523012,0.308924,134303.000000,65942.000000
1570.642687,0.308931,132340.000000,64977.000000
1573.757964,0.309218,130373.000000,63969.000000
1576.868841,0.308672,128194.000000,62979.000000
1581.009834,0.307858,125453.000000,61748.000000
1584.110447,0.308808,123268.000000,60540.000000
1587.206660,0.307459,121128.000000,59674.000000
1590.298475,0.306425,118983.000000,58757.000000
1593.385890,0.304016,116601.000000,57901.000000
1596.468906,0.301523,114492.000000,57181.000000
1599.547522,0.298326,112247.000000,56474.000000
1602.621740,0.298031,110113.000000,55438.000000
1605.691559,0.293671,107845.000000,54844.000000
1608.756978,0.290258,105764.000000,54210.000000
1611.817998,0.288831,103762.000000,53359.000000
1614.874619,0.284014,101454.000000,52754.000000
1617.926841,0.281999,99141.000000,51791.000000
1620.974664,0.279228,96810.000000,50897.000000
1625.031584,0.276424,93749.000000,49607.000000
1628.069142,0.274011,91480.000000,48676.000000
1631.102301,0.273263,89180.000000,47534.000000
1634.131061,0.270295,86957.000000,46667.000000
1637.155422,0.269592,84664.000000,45510.000000
1640.175383,0.266627,82560.000000,44683.000000
1643.190945,0.265732,80299.000000,43549.000000
1646.202108,0.263198,77863.000000,42475.000000
1649.208872,0.260778,75323.000000,41319.000000
1652.211237,0.256683,72646.000000,40228.000000
1655.209203,0.250847,69695.000000,39116.000000
1658.202769,0.246012,66120.000000,37525.000000
1661.191937,0.234813,61928.000000,36064.000000
1664.176705,0.222874,57108.000000,34184.000000
1668.149553,0.200222,49420.000000,31166.000000
1671.124056,0.183407,43252.000000,28353.000000
1674.094160,0.166556,37007.000000,25219.000000
1677.059866,0.151142,31448.000000,22205.000000
1680.021172,0.140522,26509.000000,19181.000000
1682.978078,0.138899,22318.000000,16209.000000
1685.930586,0.145366,18913.000000,13533.000000
1688.878695,0.148540,16215.000000,11518.000000
1691.822404,0.151089,13947.000000,9849.000000
1694.761714,0.157448,12072.000000,8401.000000
1697.696625,0.165339,10552.000000,7211.000000
1700.627137,0.165313,9233.000000,6310.000000
