Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:27:42,,
Header Version:,1,,
System Temp (C):,30.49,,
Detector Temp (C):,29.19,,
Humidity (%):,33.75,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.446,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.072253,23756.000000,20115.000000
905.500242,0.078479,26065.000000,21756.000000
909.444026,0.077043,28446.000000,23822.000000
913.383411,0.084063,31151.000000,25669.000000
917.318397,0.086969,34594.000000,28316.000000
921.248983,0.088806,38706.000000,31548.000000
925.175171,0.087166,43333.000000,35453.000000
929.096959,0.089201,48106.000000,39174.000000
933.014348,0.089125,52854.000000,43048.000000
936.927338,0.087426,57207.000000,46776.000000
942.137815,0.086796,62583.000000,51246.000000
946.040540,0.086656,66412.000000,54399.000000
949.938866,0.086537,70192.000000,57511.000000
953.832793,0.086232,73953.000000,60635.000000
957.722320,0.086695,77741.000000,63673.000000
961.607449,0.087524,81459.000000,66591.000000
965.488178,0.088013,84970.000000,69383.000000
969.364509,0.089744,88307.000000,71821.000000
973.236440,0.087562,91422.000000,74729.000000
977.103972,0.088459,94242.000000,76875.000000
980.967105,0.087899,96650.000000,78941.000000
984.825838,0.090353,98706.000000,80166.000000
988.680173,0.090078,100691.000000,81830.000000
992.530108,0.090239,102102.000000,82946.000000
997.656512,0.091131,103062.000000,83554.000000
1001.496183,0.091382,103488.000000,83851.000000
1005.331454,0.091407,103668.000000,83992.000000
1009.162327,0.091615,103604.000000,83900.000000
1012.988800,0.090681,103501.000000,83997.000000
1016.810874,0.091350,103473.000000,83845.000000
1020.628549,0.090647,103180.000000,83743.000000
1024.441824,0.092146,102848.000000,83186.000000
1028.250701,0.091259,102542.000000,83108.000000
1032.055178,0.091208,102330.000000,82946.000000
1035.855257,0.090443,102161.000000,82955.000000
1039.650936,0.090506,101990.000000,82804.000000
1043.442216,0.090795,101741.000000,82547.000000
1048.490413,0.091665,101666.000000,82321.000000
1052.271428,0.090604,101700.000000,82550.000000
1056.048044,0.089855,101777.000000,82755.000000
1059.820261,0.089436,101906.000000,82940.000000
1063.588079,0.089912,102259.000000,83136.000000
