Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:6:39,,
Header Version:,1,,
System Temp (C):,31.12,,
Detector Temp (C):,29.51,,
Humidity (%):,38.57,,
Lamp PD:,3791,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  1.385,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,1.163852,23756.000000,1629.000000
905.500242,1.165394,26065.000000,1781.000000
909.444026,1.164432,28446.000000,1948.000000
913.383411,1.176663,31151.000000,2074.000000
917.318397,1.183549,34594.000000,2267.000000
921.248983,1.177001,38706.000000,2575.000000
925.175171,1.177728,43333.000000,2878.000000
929.096959,1.181551,48106.000000,3167.000000
933.014348,1.184002,52854.000000,3460.000000
936.927338,1.183765,57207.000000,3747.000000
942.137815,1.181454,62583.000000,4121.000000
946.040540,1.176923,66412.000000,4419.000000
949.938866,1.180613,70192.000000,4631.000000
953.832793,1.179114,73953.000000,4896.000000
957.722320,1.177076,77741.000000,5171.000000
961.607449,1.181288,81459.000000,5366.000000
965.488178,1.181000,84970.000000,5601.000000
969.364509,1.182717,88307.000000,5798.000000
973.236440,1.181960,91422.000000,6013.000000
977.103972,1.180943,94242.000000,6213.000000
980.967105,1.178005,96650.000000,6415.000000
984.825838,1.185121,98706.000000,6445.000000
988.680173,1.184303,100691.000000,6587.000000
992.530108,1.185104,102102.000000,6667.000000
997.656512,1.185665,103062.000000,6721.000000
1001.496183,1.185393,103488.000000,6753.000000
1005.331454,1.185955,103668.000000,6756.000000
1009.162327,1.186008,103604.000000,6751.000000
1012.988800,1.184741,103501.000000,6764.000000
1016.810874,1.187264,103473.000000,6723.000000
1020.628549,1.185839,103180.000000,6726.000000
1024.441824,1.189374,102848.000000,6650.000000
1028.250701,1.188145,102542.000000,6649.000000
1032.055178,1.191052,102330.000000,6591.000000
1035.855257,1.187182,102161.000000,6639.000000
1039.650936,1.186520,101990.000000,6638.000000
1043.442216,1.187886,101741.000000,6601.000000
1048.490413,1.187895,101666.000000,6596.000000
1052.271428,1.190748,101700.000000,6555.000000
1056.048044,1.187580,101777.000000,6608.000000
1059.820261,1.191826,101906.000000,6552.000000
1063.588079,1.192268,102259.000000,6568.000000
1067.351497,1.191110,102763.000000,6618.000000
1071.110517,1.190881,103190.000000,6649.000000
1074.865137,1.189344,103645.000000,6702.000000
1078.615358,1.193092,104247.000000,6683.000000
1082.361180,1.188354,104844.000000,6795.000000
1086.102603,1.189519,105404.000000,6813.000000
1089.839627,1.187210,105830.000000,6877.000000
1093.572251,1.190244,106541.000000,6875.000000
1097.300477,1.191909,106997.000000,6878.000000
1102.264601,1.188739,107655.000000,6971.000000
1105.982562,1.189041,108209.000000,7002.000000
1109.696123,1.189814,108541.000000,7011.000000
1113.405285,1.191428,108883.000000,7007.000000
1117.110049,1.190975,109111.000000,7029.000000
1120.810413,1.189240,109449.000000,7079.000000
1124.506378,1.192742,110148.000000,7067.000000
1128.197943,1.192639,110387.000000,7084.000000
1131.885110,1.192147,110542.000000,7102.000000
1135.567878,1.189152,110818.000000,7169.000000
1139.246246,1.190995,111041.000000,7153.000000
1142.920215,1.190747,111319.000000,7175.000000
1146.589785,1.188609,111575.000000,7227.000000
1150.254956,1.185536,112030.000000,7308.000000
1155.135007,1.188609,112594.000000,7293.000000
1158.789913,1.187290,113176.000000,7353.000000
1162.440420,1.187565,113756.000000,7386.000000
1166.086528,1.189790,114495.000000,7396.000000
1169.728237,1.189710,115248.000000,7446.000000
1173.365546,1.190072,116196.000000,7501.000000
1176.998457,1.189023,117260.000000,7588.000000
1180.626968,1.193883,118314.000000,7571.000000
1184.251080,1.189685,119420.000000,7716.000000
1187.870793,1.191198,120660.000000,7769.000000
1191.486107,1.192525,122104.000000,7838.000000
1195.097021,1.191961,123408.000000,7932.000000
1198.703537,1.190747,124879.000000,8049.000000
1203.505381,1.191847,127171.000000,8176.000000
1207.101631,1.194160,128929.000000,8245.000000
1210.693483,1.192727,130624.000000,8381.000000
1214.280935,1.193700,132432.000000,8478.000000
1217.863989,1.190438,134356.000000,8666.000000
1221.442643,1.191527,136434.000000,8778.000000
1225.016898,1.192363,138254.000000,8878.000000
1228.586754,1.191118,140110.000000,9023.000000
1232.152210,1.192138,142307.000000,9143.000000
1235.713268,1.191091,144480.000000,9305.000000
1239.269926,1.193125,146375.000000,9383.000000
1242.822185,1.192782,148395.000000,9520.000000
1246.370045,1.190538,150778.000000,9723.000000
1249.913506,1.191999,153060.000000,9837.000000
1254.631278,1.194419,155918.000000,9965.000000
1258.164474,1.194619,157931.000000,10089.000000
1261.693271,1.194855,160225.000000,10230.000000
1265.217669,1.193778,162531.000000,10403.000000
1268.737667,1.196226,164471.000000,10468.000000
1272.253267,1.193775,166342.000000,10647.000000
1275.764467,1.193905,168611.000000,10789.000000
1279.271269,1.196946,170630.000000,10842.000000
1282.773671,1.195672,172186.000000,10973.000000
1286.271674,1.194689,173503.000000,11082.000000
1289.765277,1.195762,175078.000000,11155.000000
1293.254482,1.195538,176321.000000,11240.000000
1296.739287,1.196957,177150.000000,11256.000000
1300.219694,1.197620,178114.000000,11300.000000
1304.853392,1.198763,179516.000000,11359.000000
1308.323534,1.199553,180112.000000,11376.000000
1311.789276,1.198864,180427.000000,11414.000000
1315.250620,1.198624,180849.000000,11447.000000
1318.707564,1.198936,181295.000000,11467.000000
1322.160109,1.199118,181387.000000,11468.000000
1325.608255,1.200646,181312.000000,11423.000000
1329.052002,1.200822,181274.000000,11416.000000
1332.491349,1.201569,181109.000000,11386.000000
1335.926297,1.200408,180689.000000,11390.000000
1339.356847,1.201366,179848.000000,11312.000000
1342.782997,1.199862,179242.000000,11313.000000
1346.204748,1.202520,178573.000000,11202.000000
1349.622099,1.203188,177890.000000,11142.000000
1354.171725,1.203067,176659.000000,11068.000000
1357.578812,1.204283,175938.000000,10992.000000
1360.981500,1.205889,175417.000000,10919.000000
1364.379789,1.204584,174939.000000,10922.000000
1367.773679,1.206269,174429.000000,10848.000000
1371.163169,1.205629,174092.000000,10843.000000
1374.548260,1.203835,173838.000000,10872.000000
1377.928953,1.206968,173647.000000,10782.000000
1381.305246,1.207287,173017.000000,10735.000000
1384.677139,1.208066,172585.000000,10689.000000
1388.044634,1.207361,172273.000000,10687.000000
1391.407730,1.210061,171871.000000,10596.000000
1394.766426,1.207942,171212.000000,10607.000000
1399.237845,1.209733,170477.000000,10518.000000
1402.586276,1.210648,170057.000000,10470.000000
1405.930309,1.211067,169522.000000,10427.000000
1409.269942,1.210247,169040.000000,10417.000000
1412.605176,1.211801,168685.000000,10358.000000
1415.936011,1.212471,168440.000000,10327.000000
1419.262447,1.212261,168277.000000,10322.000000
1422.584484,1.212606,168052.000000,10300.000000
1425.902122,1.213263,168094.000000,10287.000000
1429.215360,1.213982,168176.000000,10275.000000
1432.524199,1.213633,168237.000000,10287.000000
1435.828639,1.214827,168356.000000,10266.000000
1439.128680,1.214467,168675.000000,10294.000000
1442.424322,1.213991,168916.000000,10320.000000
1446.811668,1.215670,169258.000000,10301.000000
1450.097045,1.214255,169379.000000,10342.000000
1453.378023,1.213572,169391.000000,10359.000000
1456.654602,1.216329,169334.000000,10290.000000
1459.926782,1.215580,169305.000000,10306.000000
1463.194562,1.215078,169126.000000,10307.000000
1466.457943,1.215263,168919.000000,10290.000000
1469.716926,1.216542,168594.000000,10240.000000
1472.971509,1.216293,168234.000000,10224.000000
1476.221692,1.216561,167663.000000,10183.000000
1479.467477,1.216772,167217.000000,10151.000000
1482.708863,1.217892,166625.000000,10089.000000
1485.945849,1.216646,166131.000000,10088.000000
1489.178436,1.218368,165518.000000,10011.000000
1493.481710,1.220532,164484.000000,9899.000000
