Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:27:36,,
Header Version:,1,,
System Temp (C):,34.91,,
Detector Temp (C):,38.61,,
Humidity (%):,28.44,,
Lamp PD:,3788,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.453,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.017172,23756.000000,22835.000000
905.500242,0.024505,26065.000000,24635.000000
909.444026,0.027250,28446.000000,26716.000000
913.383411,0.036499,31151.000000,28640.000000
917.318397,0.043817,34594.000000,31274.000000
921.248983,0.047812,38706.000000,34671.000000
925.175171,0.048211,43333.000000,38780.000000
929.096959,0.049610,48106.000000,42913.000000
933.014348,0.047538,52854.000000,47374.000000
936.927338,0.044202,57207.000000,51671.000000
942.137815,0.040353,62583.000000,57030.000000
946.040540,0.038557,66412.000000,60770.000000
949.938866,0.037004,70192.000000,64459.000000
953.832793,0.035975,73953.000000,68074.000000
957.722320,0.034762,77741.000000,71761.000000
961.607449,0.035149,81459.000000,75126.000000
965.488178,0.034673,84970.000000,78450.000000
969.364509,0.035552,88307.000000,81366.000000
973.236440,0.032501,91422.000000,84830.000000
977.103972,0.034087,94242.000000,87128.000000
980.967105,0.032894,96650.000000,89600.000000
984.825838,0.035126,98706.000000,91037.000000
988.680173,0.035031,100691.000000,92888.000000
992.530108,0.034873,102102.000000,94224.000000
997.656512,0.036336,103062.000000,94790.000000
1001.496183,0.037615,103488.000000,94902.000000
1005.331454,0.037642,103668.000000,95061.000000
1009.162327,0.038289,103604.000000,94861.000000
1012.988800,0.038352,103501.000000,94753.000000
1016.810874,0.039423,103473.000000,94494.000000
1020.628549,0.039891,103180.000000,94125.000000
1024.441824,0.041129,102848.000000,93555.000000
1028.250701,0.041355,102542.000000,93228.000000
1032.055178,0.041772,102330.000000,92946.000000
1035.855257,0.042332,102161.000000,92673.000000
1039.650936,0.042430,101990.000000,92497.000000
1043.442216,0.043086,101741.000000,92132.000000
1048.490413,0.044314,101666.000000,91804.000000
1052.271428,0.043694,101700.000000,91966.000000
1056.048044,0.043112,101777.000000,92159.000000
1059.820261,0.043153,101906.000000,92267.000000
1063.588079,0.043016,102259.000000,92616.000000
1067.351497,0.042505,102763.000000,93182.000000
1071.110517,0.041148,103190.000000,93862.000000
1074.865137,0.041447,103645.000000,94211.000000
1078.615358,0.040258,104247.000000,95018.000000
1082.361180,0.039341,104844.000000,95764.000000
1086.102603,0.038992,105404.000000,96353.000000
1089.839627,0.037202,105830.000000,97142.000000
1093.572251,0.038111,106541.000000,97590.000000
