Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:26:53,,
Header Version:,1,,
System Temp (C):,35.29,,
Detector Temp (C):,38.96,,
Humidity (%):,28.31,,
Lamp PD:,3787,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.457,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.135649,23756.000000,17383.000000
905.500242,0.142223,26065.000000,18786.000000
909.444026,0.144348,28446.000000,20402.000000
913.383411,0.153723,31151.000000,21865.000000
917.318397,0.161421,34594.000000,23855.000000
921.248983,0.165041,38706.000000,26469.000000
925.175171,0.166144,43333.000000,29558.000000
929.096959,0.167545,48106.000000,32708.000000
933.014348,0.166763,52854.000000,36001.000000
936.927338,0.164817,57207.000000,39141.000000
942.137815,0.160882,62583.000000,43209.000000
946.040540,0.159536,66412.000000,45995.000000
949.938866,0.157583,70192.000000,48832.000000
953.832793,0.157132,73953.000000,51502.000000
957.722320,0.156026,77741.000000,54278.000000
961.607449,0.156438,81459.000000,56820.000000
965.488178,0.155750,84970.000000,59363.000000
969.364509,0.157212,88307.000000,61487.000000
973.236440,0.153320,91422.000000,64229.000000
977.103972,0.154984,94242.000000,65957.000000
980.967105,0.154023,96650.000000,67792.000000
984.825838,0.156610,98706.000000,68823.000000
988.680173,0.156109,100691.000000,70288.000000
992.530108,0.155604,102102.000000,71356.000000
997.656512,0.157476,103062.000000,71717.000000
1001.496183,0.157853,103488.000000,71951.000000
1005.331454,0.157414,103668.000000,72149.000000
1009.162327,0.157574,103604.000000,72078.000000
1012.988800,0.157546,103501.000000,72011.000000
1016.810874,0.158497,103473.000000,71834.000000
1020.628549,0.158246,103180.000000,71672.000000
