Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 17:39:45,,
Header Version:,1,,
System Temp (C):,30.66,,
Detector Temp (C):,31.96,,
Humidity (%):,40.49,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.508,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.764581,23756.000000,4085.000000
905.500242,0.771029,26065.000000,4416.000000
909.444026,0.771515,28446.000000,4814.000000
913.383411,0.775136,31151.000000,5228.000000
917.318397,0.777148,34594.000000,5779.000000
921.248983,0.780717,38706.000000,6413.000000
925.175171,0.781421,43333.000000,7168.000000
929.096959,0.784078,48106.000000,7909.000000
933.014348,0.784758,52854.000000,8676.000000
936.927338,0.782339,57207.000000,9443.000000
942.137815,0.779924,62583.000000,10388.000000
946.040540,0.776533,66412.000000,11110.000000
949.938866,0.777694,70192.000000,11711.000000
953.832793,0.776200,73953.000000,12381.000000
957.722320,0.775706,77741.000000,13030.000000
961.607449,0.775266,81459.000000,13667.000000
965.488178,0.776213,84970.000000,14225.000000
969.364509,0.776585,88307.000000,14771.000000
973.236440,0.772966,91422.000000,15420.000000
977.103972,0.776248,94242.000000,15776.000000
980.967105,0.775982,96650.000000,16189.000000
984.825838,0.777176,98706.000000,16488.000000
988.680173,0.778018,100691.000000,16787.000000
992.530108,0.777616,102102.000000,17038.000000
997.656512,0.779975,103062.000000,17105.000000
1001.496183,0.779008,103488.000000,17214.000000
1005.331454,0.780116,103668.000000,17200.000000
1009.162327,0.780960,103604.000000,17156.000000
1012.988800,0.780453,103501.000000,17159.000000
1016.810874,0.781349,103473.000000,17119.000000
1020.628549,0.779990,103180.000000,17124.000000
1024.441824,0.781543,102848.000000,17008.000000
1028.250701,0.780095,102542.000000,17014.000000
1032.055178,0.781526,102330.000000,16923.000000
1035.855257,0.778147,102161.000000,17027.000000
1039.650936,0.781082,101990.000000,16884.000000
1043.442216,0.781257,101741.000000,16836.000000
1048.490413,0.783576,101666.000000,16734.000000
1052.271428,0.783410,101700.000000,16746.000000
1056.048044,0.781695,101777.000000,16825.000000
1059.820261,0.784003,101906.000000,16757.000000
1063.588079,0.781584,102259.000000,16909.000000
1067.351497,0.782872,102763.000000,16942.000000
1071.110517,0.779754,103190.000000,17135.000000
1074.865137,0.781234,103645.000000,17152.000000
1078.615358,0.780671,104247.000000,17274.000000
1082.361180,0.778873,104844.000000,17445.000000
1086.102603,0.781435,105404.000000,17435.000000
1089.839627,0.778800,105830.000000,17612.000000
1093.572251,0.780280,106541.000000,17670.000000
1097.300477,0.777758,106997.000000,17849.000000
1102.264601,0.777051,107655.000000,17988.000000
1105.982562,0.776417,108209.000000,18107.000000
1109.696123,0.777603,108541.000000,18113.000000
1113.405285,0.776102,108883.000000,18233.000000
1117.110049,0.775441,109111.000000,18299.000000
1120.810413,0.774701,109449.000000,18387.000000
1124.506378,0.775251,110148.000000,18481.000000
1128.197943,0.774808,110387.000000,18540.000000
1131.885110,0.775582,110542.000000,18533.000000
1135.567878,0.774351,110818.000000,18632.000000
1139.246246,0.775387,111041.000000,18625.000000
1142.920215,0.775076,111319.000000,18685.000000
1146.589785,0.770439,111575.000000,18929.000000
1150.254956,0.771679,112030.000000,18952.000000
1155.135007,0.773379,112594.000000,18973.000000
1158.789913,0.772607,113176.000000,19105.000000
1162.440420,0.771860,113756.000000,19236.000000
1166.086528,0.772016,114495.000000,19354.000000
1169.728237,0.772446,115248.000000,19462.000000
1173.365546,0.773734,116196.000000,19564.000000
1176.998457,0.773209,117260.000000,19767.000000
1180.626968,0.771637,118314.000000,20017.000000
1184.251080,0.771554,119420.000000,20208.000000
1187.870793,0.773554,120660.000000,20324.000000
1191.486107,0.773728,122104.000000,20559.000000
1195.097021,0.771634,123408.000000,20879.000000
1198.703537,0.771405,124879.000000,21139.000000
1203.505381,0.770317,127171.000000,21581.000000
1207.101631,0.770045,128929.000000,21893.000000
1210.693483,0.767640,130624.000000,22304.000000
1214.280935,0.769135,132432.000000,22535.000000
1217.863989,0.767399,134356.000000,22954.000000
1221.442643,0.767306,136434.000000,23314.000000
1225.016898,0.766810,138254.000000,23652.000000
1228.586754,0.767327,140110.000000,23941.000000
1232.152210,0.767281,142307.000000,24319.000000
1235.713268,0.767199,144480.000000,24695.000000
1239.269926,0.767701,146375.000000,24990.000000
1242.822185,0.766911,148395.000000,25381.000000
1246.370045,0.767443,150778.000000,25757.000000
1249.913506,0.767307,153060.000000,26155.000000
1254.631278,0.767770,155918.000000,26615.000000
1258.164474,0.768957,157931.000000,26885.000000
1261.693271,0.768520,160225.000000,27303.000000
1265.217669,0.768911,162531.000000,27671.000000
1268.737667,0.768776,164471.000000,28010.000000
1272.253267,0.768495,166342.000000,28347.000000
1275.764467,0.769564,168611.000000,28663.000000
1279.271269,0.769792,170630.000000,28991.000000
1282.773671,0.768405,172186.000000,29349.000000
1286.271674,0.769044,173503.000000,29530.000000
1289.765277,0.768709,175078.000000,29821.000000
1293.254482,0.769270,176321.000000,29994.000000
1296.739287,0.770006,177150.000000,30084.000000
1300.219694,0.770605,178114.000000,30206.000000
1304.853392,0.771358,179516.000000,30391.000000
1308.323534,0.770745,180112.000000,30535.000000
1311.789276,0.771788,180427.000000,30515.000000
1315.250620,0.770631,180849.000000,30668.000000
1318.707564,0.771106,181295.000000,30710.000000
1322.160109,0.771454,181387.000000,30701.000000
1325.608255,0.771118,181312.000000,30712.000000
1329.052002,0.770688,181274.000000,30736.000000
1332.491349,0.770971,181109.000000,30688.000000
1335.926297,0.770487,180689.000000,30651.000000
1339.356847,0.771646,179848.000000,30427.000000
1342.782997,0.770566,179242.000000,30400.000000
1346.204748,0.771449,178573.000000,30225.000000
1349.622099,0.770619,177890.000000,30167.000000
1354.171725,0.770290,176659.000000,29981.000000
1357.578812,0.770459,175938.000000,29847.000000
1360.981500,0.771154,175417.000000,29711.000000
1364.379789,0.770774,174939.000000,29656.000000
1367.773679,0.771635,174429.000000,29511.000000
1371.163169,0.772077,174092.000000,29424.000000
1374.548260,0.771118,173838.000000,29446.000000
1377.928953,0.772400,173647.000000,29327.000000
1381.305246,0.773316,173017.000000,29159.000000
1384.677139,0.771903,172585.000000,29181.000000
1388.044634,0.772951,172273.000000,29058.000000
1391.407730,0.773839,171871.000000,28931.000000
1394.766426,0.772681,171212.000000,28897.000000
1399.237845,0.773617,170477.000000,28711.000000
1402.586276,0.772440,170057.000000,28718.000000
1405.930309,0.772906,169522.000000,28597.000000
1409.269942,0.772962,169040.000000,28512.000000
1412.605176,0.774278,168685.000000,28366.000000
1415.936011,0.774751,168440.000000,28294.000000
1419.262447,0.774269,168277.000000,28298.000000
1422.584484,0.774272,168052.000000,28260.000000
1425.902122,0.773981,168094.000000,28286.000000
1429.215360,0.774407,168176.000000,28272.000000
1432.524199,0.774427,168237.000000,28281.000000
1435.828639,0.774903,168356.000000,28270.000000
1439.128680,0.774069,168675.000000,28378.000000
1442.424322,0.773986,168916.000000,28424.000000
