Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:24:54,,
Header Version:,1,,
System Temp (C):,30.11,,
Detector Temp (C):,28.9,,
Humidity (%):,33.63,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.513,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.117232,23756.000000,18136.000000
905.500242,0.123337,26065.000000,19621.000000
909.444026,0.122391,28446.000000,21460.000000
913.383411,0.130613,31151.000000,23060.000000
917.318397,0.133023,34594.000000,25467.000000
921.248983,0.135440,38706.000000,28336.000000
925.175171,0.133778,43333.000000,31845.000000
929.096959,0.136397,48106.000000,35140.000000
933.014348,0.136243,52854.000000,38622.000000
936.927338,0.133570,57207.000000,42061.000000
942.137815,0.132690,62583.000000,46107.000000
946.040540,0.133044,66412.000000,48888.000000
949.938866,0.131338,70192.000000,51874.000000
953.832793,0.131755,73953.000000,54601.000000
957.722320,0.130658,77741.000000,57543.000000
961.607449,0.131891,81459.000000,60124.000000
965.488178,0.131894,84970.000000,62715.000000
969.364509,0.133215,88307.000000,64980.000000
973.236440,0.130680,91422.000000,67666.000000
977.103972,0.131660,94242.000000,69596.000000
980.967105,0.130708,96650.000000,71531.000000
984.825838,0.132905,98706.000000,72684.000000
988.680173,0.132874,100691.000000,74151.000000
992.530108,0.132568,102102.000000,75243.000000
997.656512,0.133974,103062.000000,75705.000000
1001.496183,0.134328,103488.000000,75956.000000
1005.331454,0.134271,103668.000000,76098.000000
1009.162327,0.134580,103604.000000,75997.000000
1012.988800,0.134302,103501.000000,75970.000000
1016.810874,0.134539,103473.000000,75908.000000
1020.628549,0.134356,103180.000000,75725.000000
1024.441824,0.136122,102848.000000,75175.000000
1028.250701,0.135378,102542.000000,75080.000000
1032.055178,0.135776,102330.000000,74856.000000
1035.855257,0.135395,102161.000000,74798.000000
1039.650936,0.135627,101990.000000,74633.000000
1043.442216,0.135789,101741.000000,74423.000000
1048.490413,0.136754,101666.000000,74203.000000
1052.271428,0.135526,101700.000000,74438.000000
1056.048044,0.135179,101777.000000,74554.000000
1059.820261,0.134589,101906.000000,74750.000000
1063.588079,0.135005,102259.000000,74937.000000
1067.351497,0.134408,102763.000000,75410.000000
1071.110517,0.132738,103190.000000,76015.000000
1074.865137,0.133269,103645.000000,76257.000000
1078.615358,0.132036,104247.000000,76918.000000
1082.361180,0.130839,104844.000000,77572.000000
1086.102603,0.130534,105404.000000,78041.000000
1089.839627,0.128496,105830.000000,78725.000000
1093.572251,0.129642,106541.000000,79045.000000
1097.300477,0.129332,106997.000000,79440.000000
1102.264601,0.128396,107655.000000,80101.000000
1105.982562,0.129250,108209.000000,80355.000000
1109.696123,0.128322,108541.000000,80774.000000
1113.405285,0.129108,108883.000000,80882.000000
1117.110049,0.128671,109111.000000,81133.000000
1120.810413,0.128993,109449.000000,81324.000000
1124.506378,0.130260,110148.000000,81605.000000
1128.197943,0.130149,110387.000000,81803.000000
1131.885110,0.131093,110542.000000,81740.000000
1135.567878,0.129606,110818.000000,82225.000000
1139.246246,0.129256,111041.000000,82457.000000
1142.920215,0.130321,111319.000000,82461.000000
1146.589785,0.129479,111575.000000,82811.000000
1150.254956,0.130837,112030.000000,82889.000000
1155.135007,0.133003,112594.000000,82892.000000
1158.789913,0.134315,113176.000000,83069.000000
1162.440420,0.135559,113756.000000,83256.000000
1166.086528,0.137730,114495.000000,83379.000000
1169.728237,0.139937,115248.000000,83502.000000
1173.365546,0.142881,116196.000000,83620.000000
1176.998457,0.145968,117260.000000,83788.000000
1180.626968,0.147714,118314.000000,84202.000000
1184.251080,0.150879,119420.000000,84372.000000
1187.870793,0.154876,120660.000000,84467.000000
1191.486107,0.158344,122104.000000,84798.000000
1195.097021,0.159814,123408.000000,85414.000000
1198.703537,0.161159,124879.000000,86165.000000
1203.505381,0.161131,127171.000000,87752.000000
1207.101631,0.158532,128929.000000,89499.000000
1210.693483,0.155828,130624.000000,91242.000000
1214.280935,0.152941,132432.000000,93122.000000
1217.863989,0.148204,134356.000000,95511.000000
1221.442643,0.144140,136434.000000,97900.000000
1225.016898,0.141530,138254.000000,99804.000000
1228.586754,0.139148,140110.000000,101700.000000
1232.152210,0.136089,142307.000000,104025.000000
1235.713268,0.134797,144480.000000,105928.000000
1239.269926,0.133513,146375.000000,107635.000000
1242.822185,0.130924,148395.000000,109773.000000
1246.370045,0.130024,150778.000000,111767.000000
1249.913506,0.129094,153060.000000,113702.000000
1254.631278,0.128790,155918.000000,115906.000000
1258.164474,0.129451,157931.000000,117224.000000
1261.693271,0.129629,160225.000000,118878.000000
1265.217669,0.129186,162531.000000,120712.000000
1268.737667,0.129929,164471.000000,121944.000000
1272.253267,0.129286,166342.000000,123514.000000
1275.764467,0.129313,168611.000000,125191.000000
1279.271269,0.128542,170630.000000,126915.000000
1282.773671,0.127978,172186.000000,128239.000000
1286.271674,0.127534,173503.000000,129352.000000
1289.765277,0.126953,175078.000000,130701.000000
1293.254482,0.127474,176321.000000,131471.000000
1296.739287,0.127978,177150.000000,131936.000000
1300.219694,0.127480,178114.000000,132806.000000
1304.853392,0.128397,179516.000000,133569.000000
1308.323534,0.128509,180112.000000,133978.000000
1311.789276,0.128950,180427.000000,134076.000000
1315.250620,0.128200,180849.000000,134622.000000
1318.707564,0.128413,181295.000000,134888.000000
1322.160109,0.128784,181387.000000,134841.000000
1325.608255,0.128514,181312.000000,134869.000000
1329.052002,0.128584,181274.000000,134819.000000
1332.491349,0.128589,181109.000000,134695.000000
1335.926297,0.128468,180689.000000,134420.000000
1339.356847,0.129255,179848.000000,133552.000000
1342.782997,0.129761,179242.000000,132947.000000
1346.204748,0.130709,178573.000000,132162.000000
1349.622099,0.131239,177890.000000,131496.000000
1354.171725,0.133005,176659.000000,130056.000000
1357.578812,0.134363,175938.000000,129121.000000
1360.981500,0.135480,175417.000000,128408.000000
1364.379789,0.137424,174939.000000,127486.000000
1367.773679,0.138955,174429.000000,126667.000000
1371.163169,0.142623,174092.000000,125359.000000
1374.548260,0.144780,173838.000000,124556.000000
1377.928953,0.149272,173647.000000,123139.000000
1381.305246,0.151953,173017.000000,121937.000000
1384.677139,0.154010,172585.000000,121058.000000
1388.044634,0.155652,172273.000000,120383.000000
1391.407730,0.156891,171871.000000,119760.000000
1394.766426,0.156912,171212.000000,119295.000000
1399.237845,0.158898,170477.000000,118241.000000
1402.586276,0.159977,170057.000000,117657.000000
1405.930309,0.161144,169522.000000,116972.000000
1409.269942,0.162660,169040.000000,116233.000000
1412.605176,0.163856,168685.000000,115670.000000
1415.936011,0.164469,168440.000000,115339.000000
1419.262447,0.164327,168277.000000,115265.000000
1422.584484,0.164478,168052.000000,115071.000000
1425.902122,0.164002,168094.000000,115226.000000
1429.215360,0.164847,168176.000000,115058.000000
1432.524199,0.164654,168237.000000,115151.000000
1435.828639,0.163571,168356.000000,115520.000000
1439.128680,0.162956,168675.000000,115903.000000
1442.424322,0.162338,168916.000000,116234.000000
1446.811668,0.161992,169258.000000,116562.000000
1450.097045,0.161528,169379.000000,116770.000000
1453.378023,0.161106,169391.000000,116892.000000
