Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:31:4,,
Header Version:,1,,
System Temp (C):,29.21,,
Detector Temp (C):,27.75,,
Humidity (%):,35,,
Lamp PD:,3797,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.454,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.083539,23756.000000,19599.000000
905.500242,0.089435,26065.000000,21214.000000
909.444026,0.088383,28446.000000,23208.000000
913.383411,0.095289,31151.000000,25014.000000
917.318397,0.099826,34594.000000,27490.000000
921.248983,0.101958,38706.000000,30607.000000
925.175171,0.099920,43333.000000,34427.000000
929.096959,0.103652,48106.000000,37892.000000
933.014348,0.104298,52854.000000,41570.000000
936.927338,0.105096,57207.000000,44911.000000
942.137815,0.104633,62583.000000,49184.000000
946.040540,0.105926,66412.000000,52038.000000
949.938866,0.103995,70192.000000,55245.000000
953.832793,0.105303,73953.000000,58030.000000
957.722320,0.104566,77741.000000,61106.000000
961.607449,0.105384,81459.000000,63908.000000
965.488178,0.105635,84970.000000,66624.000000
969.364509,0.106838,88307.000000,69049.000000
973.236440,0.103978,91422.000000,71957.000000
977.103972,0.105606,94242.000000,73899.000000
980.967105,0.104731,96650.000000,75940.000000
984.825838,0.107199,98706.000000,77116.000000
988.680173,0.107099,100691.000000,78685.000000
992.530108,0.106449,102102.000000,79907.000000
997.656512,0.107616,103062.000000,80442.000000
1001.496183,0.108625,103488.000000,80587.000000
1005.331454,0.108094,103668.000000,80826.000000
1009.162327,0.108030,103604.000000,80788.000000
1012.988800,0.107603,103501.000000,80787.000000
1016.810874,0.107991,103473.000000,80693.000000
1020.628549,0.107724,103180.000000,80514.000000
1024.441824,0.108769,102848.000000,80062.000000
1028.250701,0.107866,102542.000000,79990.000000
1032.055178,0.107804,102330.000000,79836.000000
1035.855257,0.107233,102161.000000,79809.000000
1039.650936,0.106881,101990.000000,79740.000000
1043.442216,0.106468,101741.000000,79621.000000
1048.490413,0.107257,101666.000000,79418.000000
1052.271428,0.105672,101700.000000,79735.000000
1056.048044,0.105087,101777.000000,79903.000000
1059.820261,0.104584,101906.000000,80097.000000
1063.588079,0.104429,102259.000000,80403.000000
1067.351497,0.104103,102763.000000,80860.000000
1071.110517,0.101953,103190.000000,81599.000000
1074.865137,0.102418,103645.000000,81871.000000
1078.615358,0.101315,104247.000000,82556.000000
1082.361180,0.099831,104844.000000,83313.000000
1086.102603,0.099349,105404.000000,83851.000000
1089.839627,0.097131,105830.000000,84621.000000
1093.572251,0.097689,106541.000000,85080.000000
1097.300477,0.097461,106997.000000,85489.000000
1102.264601,0.095797,107655.000000,86345.000000
1105.982562,0.096876,108209.000000,86574.000000
1109.696123,0.096369,108541.000000,86941.000000
1113.405285,0.097027,108883.000000,87083.000000
1117.110049,0.097806,109111.000000,87109.000000
1120.810413,0.098546,109449.000000,87230.000000
1124.506378,0.100719,110148.000000,87349.000000
1128.197943,0.100538,110387.000000,87575.000000
1131.885110,0.100265,110542.000000,87753.000000
1135.567878,0.097471,110818.000000,88540.000000
1139.246246,0.095406,111041.000000,89141.000000
1142.920215,0.094586,111319.000000,89533.000000
1146.589785,0.091937,111575.000000,90288.000000
1150.254956,0.091670,112030.000000,90712.000000
1155.135007,0.091792,112594.000000,91143.000000
1158.789913,0.091612,113176.000000,91652.000000
1162.440420,0.091375,113756.000000,92172.000000
1166.086528,0.092448,114495.000000,92542.000000
1169.728237,0.092931,115248.000000,93047.000000
1173.365546,0.092576,116196.000000,93889.000000
1176.998457,0.092841,117260.000000,94691.000000
1180.626968,0.090236,118314.000000,96117.000000
1184.251080,0.089424,119420.000000,97197.000000
1187.870793,0.088935,120660.000000,98317.000000
1191.486107,0.088562,122104.000000,99579.000000
1195.097021,0.087211,123408.000000,100956.000000
1198.703537,0.086801,124879.000000,102256.000000
1203.505381,0.086566,127171.000000,104189.000000
1207.101631,0.085943,128929.000000,105781.000000
1210.693483,0.086505,130624.000000,107033.000000
1214.280935,0.087084,132432.000000,108370.000000
1217.863989,0.086979,134356.000000,109971.000000
1221.442643,0.086737,136434.000000,111734.000000
1225.016898,0.087119,138254.000000,113125.000000
1228.586754,0.087250,140110.000000,114609.000000
1232.152210,0.086684,142307.000000,116558.000000
1235.713268,0.086750,144480.000000,118320.000000
1239.269926,0.087540,146375.000000,119654.000000
1242.822185,0.086400,148395.000000,121624.000000
1246.370045,0.086675,150778.000000,123499.000000
1249.913506,0.086550,153060.000000,125404.000000
1254.631278,0.087158,155918.000000,127567.000000
1258.164474,0.087592,157931.000000,129085.000000
1261.693271,0.087791,160225.000000,130900.000000
1265.217669,0.087049,162531.000000,133011.000000
1268.737667,0.087648,164471.000000,134413.000000
1272.253267,0.086560,166342.000000,136283.000000
1275.764467,0.086500,168611.000000,138161.000000
1279.271269,0.086110,170630.000000,139941.000000
1282.773671,0.085548,172186.000000,141400.000000
1286.271674,0.085498,173503.000000,142498.000000
1289.765277,0.085062,175078.000000,143936.000000
1293.254482,0.085793,176321.000000,144714.000000
1296.739287,0.086264,177150.000000,145237.000000
1300.219694,0.085872,178114.000000,146159.000000
1304.853392,0.086824,179516.000000,146987.000000
1308.323534,0.086989,180112.000000,147419.000000
1311.789276,0.087409,180427.000000,147534.000000
1315.250620,0.086362,180849.000000,148236.000000
1318.707564,0.086218,181295.000000,148651.000000
1322.160109,0.086579,181387.000000,148603.000000
1325.608255,0.086574,181312.000000,148543.000000
1329.052002,0.086521,181274.000000,148530.000000
1332.491349,0.086363,181109.000000,148449.000000
1335.926297,0.086051,180689.000000,148211.000000
1339.356847,0.086376,179848.000000,147411.000000
1342.782997,0.086723,179242.000000,146797.000000
1346.204748,0.087531,178573.000000,145977.000000
1349.622099,0.087674,177890.000000,145371.000000
1354.171725,0.089024,176659.000000,143917.000000
1357.578812,0.089656,175938.000000,143121.000000
1360.981500,0.089675,175417.000000,142691.000000
1364.379789,0.089908,174939.000000,142226.000000
1367.773679,0.089260,174429.000000,142023.000000
1371.163169,0.090431,174092.000000,141367.000000
1374.548260,0.089926,173838.000000,141325.000000
1377.928953,0.091438,173647.000000,140679.000000
1381.305246,0.091660,173017.000000,140097.000000
1384.677139,0.091928,172585.000000,139661.000000
1388.044634,0.092113,172273.000000,139349.000000
1391.407730,0.093073,171871.000000,138717.000000
1394.766426,0.092655,171212.000000,138318.000000
1399.237845,0.094441,170477.000000,137159.000000
1402.586276,0.094747,170057.000000,136725.000000
1405.930309,0.095550,169522.000000,136043.000000
1409.269942,0.096284,169040.000000,135427.000000
1412.605176,0.097226,168685.000000,134850.000000
1415.936011,0.097503,168440.000000,134568.000000
1419.262447,0.097164,168277.000000,134543.000000
1422.584484,0.096867,168052.000000,134455.000000
1425.902122,0.096139,168094.000000,134714.000000
1429.215360,0.096093,168176.000000,134794.000000
1432.524199,0.096138,168237.000000,134829.000000
1435.828639,0.094716,168356.000000,135367.000000
1439.128680,0.093854,168675.000000,135893.000000
1442.424322,0.093322,168916.000000,136254.000000
1446.811668,0.092889,169258.000000,136666.000000
1450.097045,0.092974,169379.000000,136737.000000
1453.378023,0.092293,169391.000000,136961.000000
1456.654602,0.092388,169334.000000,136885.000000
1459.926782,0.092238,169305.000000,136909.000000
1463.194562,0.091430,169126.000000,137019.000000
1466.457943,0.091777,168919.000000,136742.000000
1469.716926,0.090975,168594.000000,136731.000000
1472.971509,0.091214,168234.000000,136364.000000
1476.221692,0.090745,167663.000000,136048.000000
1479.467477,0.091758,167217.000000,135370.000000
1482.708863,0.091680,166625.000000,134915.000000
1485.945849,0.090300,166131.000000,134943.000000
1489.178436,0.090789,165518.000000,134294.000000
1493.481710,0.091359,164484.000000,133280.000000
1496.704032,0.091691,164054.000000,132830.000000
1499.921956,0.091623,163401.000000,132322.000000
1503.135480,0.091968,162290.000000,131318.000000
1506.344605,0.091468,161374.000000,130727.000000
1509.549331,0.092018,160366.000000,129746.000000
1512.749658,0.091711,159378.000000,129038.000000
1515.945585,0.091481,158285.000000,128221.000000
1519.137114,0.092081,157316.000000,127260.000000
1522.324243,0.092141,156147.000000,126297.000000
1525.506973,0.092468,155113.000000,125366.000000
1528.685304,0.092386,154000.000000,124490.000000
1531.859236,0.092987,152588.000000,123178.000000
1535.028769,0.092158,151256.000000,122336.000000
1539.247969,0.092592,149501.000000,120796.000000
1542.407237,0.092443,148026.000000,119645.000000
1545.562106,0.091962,146484.000000,118530.000000
1548.712576,0.092011,144932.000000,117261.000000
1551.858646,0.091551,143312.000000,116073.000000
1555.000318,0.092552,141623.000000,114441.000000
1558.137590,0.092848,139790.000000,112883.000000
1561.270463,0.092885,137958.000000,111394.000000
1564.398937,0.092391,136203.000000,110102.000000
1567.523012,0.092348,134303.000000,108577.000000
1570.642687,0.093506,132340.000000,106705.000000
1573.757964,0.094242,130373.000000,104941.000000
1576.868841,0.095305,128194.000000,102935.000000
1581.009834,0.095706,125453.000000,100641.000000
1584.110447,0.097493,123268.000000,98482.000000
1587.206660,0.097625,121128.000000,96743.000000
1590.298475,0.098489,118983.000000,94841.000000
1593.385890,0.098495,116601.000000,92941.000000
1596.468906,0.099324,114492.000000,91086.000000
1599.547522,0.099815,112247.000000,89199.000000
1602.621740,0.103344,110113.000000,86795.000000
1605.691559,0.103008,107845.000000,85073.000000
1608.756978,0.104340,105764.000000,83176.000000
1611.817998,0.107205,103762.000000,81065.000000
1614.874619,0.107401,101454.000000,79226.000000
1617.926841,0.108940,99141.000000,77146.000000
1620.974664,0.110286,96810.000000,75099.000000
1625.031584,0.113039,93749.000000,72265.000000
1628.069142,0.114896,91480.000000,70215.000000
1631.102301,0.118775,89180.000000,67841.000000
1634.131061,0.121363,86957.000000,65757.000000
1637.155422,0.128400,84664.000000,62994.000000
1640.175383,0.135675,82560.000000,60408.000000
1643.190945,0.146358,80299.000000,57326.000000
1646.202108,0.156515,77863.000000,54302.000000
1649.208872,0.168422,75323.000000,51110.000000
1652.211237,0.180296,72646.000000,47964.000000
1655.209203,0.188400,69695.000000,45165.000000
1658.202769,0.195576,66120.000000,42146.000000
1661.191937,0.191339,61928.000000,39861.000000
1664.176705,0.179550,57108.000000,37770.000000
1668.149553,0.150232,49420.000000,34968.000000
1671.124056,0.127773,43252.000000,32228.000000
1674.094160,0.106290,37007.000000,28973.000000
1677.059866,0.086512,31448.000000,25768.000000
1680.021172,0.072583,26509.000000,22429.000000
1682.978078,0.067849,22318.000000,19090.000000
1685.930586,0.069207,18913.000000,16127.000000
1688.878695,0.060452,16215.000000,14108.000000
1691.822404,0.055389,13947.000000,12277.000000
1694.761714,0.061791,12072.000000,10471.000000
1697.696625,0.062769,10552.000000,9132.000000
1700.627137,0.062579,9233.000000,7994.000000
