Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:38:25,,
Header Version:,1,,
System Temp (C):,30.14,,
Detector Temp (C):,28.6,,
Humidity (%):,33.97,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.509,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.058462,23756.000000,20764.000000
905.500242,0.063431,26065.000000,22523.000000
909.444026,0.062328,28446.000000,24643.000000
913.383411,0.067987,31151.000000,26637.000000
917.318397,0.071837,34594.000000,29320.000000
921.248983,0.073563,38706.000000,32675.000000
925.175171,0.071668,43333.000000,36741.000000
929.096959,0.074123,48106.000000,40558.000000
933.014348,0.073967,52854.000000,44577.000000
936.927338,0.073134,57207.000000,48341.000000
942.137815,0.071624,62583.000000,53068.000000
946.040540,0.072024,66412.000000,56263.000000
949.938866,0.071034,70192.000000,59601.000000
953.832793,0.071051,73953.000000,62792.000000
957.722320,0.071165,77741.000000,65991.000000
961.607449,0.071599,81459.000000,69078.000000
965.488178,0.072513,84970.000000,71904.000000
969.364509,0.073379,88307.000000,74579.000000
973.236440,0.070211,91422.000000,77775.000000
977.103972,0.072149,94242.000000,79817.000000
980.967105,0.071134,96650.000000,82048.000000
984.825838,0.073464,98706.000000,83345.000000
988.680173,0.073367,100691.000000,85040.000000
992.530108,0.072878,102102.000000,86329.000000
997.656512,0.074264,103062.000000,86863.000000
1001.496183,0.074717,103488.000000,87131.000000
1005.331454,0.074148,103668.000000,87397.000000
