Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 16:44:35,,
Header Version:,1,,
System Temp (C):,30.07,,
Detector Temp (C):,29.38,,
Humidity (%):,33.58,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.454,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.019078,23756.000000,22735.000000
905.500242,0.024681,26065.000000,24625.000000
909.444026,0.022883,28446.000000,26986.000000
913.383411,0.031149,31151.000000,28995.000000
917.318397,0.034829,34594.000000,31928.000000
921.248983,0.036097,38706.000000,35619.000000
925.175171,0.034043,43333.000000,40066.000000
929.096959,0.035913,48106.000000,44288.000000
933.014348,0.036433,52854.000000,48601.000000
936.927338,0.035391,57207.000000,52730.000000
942.137815,0.034176,62583.000000,57847.000000
946.040540,0.034446,66412.000000,61348.000000
949.938866,0.033361,70192.000000,65002.000000
953.832793,0.033474,73953.000000,68467.000000
957.722320,0.032968,77741.000000,72058.000000
961.607449,0.033648,81459.000000,75386.000000
965.488178,0.033954,84970.000000,78580.000000
969.364509,0.035499,88307.000000,81376.000000
973.236440,0.032435,91422.000000,84843.000000
977.103972,0.033399,94242.000000,87266.000000
980.967105,0.032346,96650.000000,89713.000000
984.825838,0.035245,98706.000000,91012.000000
988.680173,0.034545,100691.000000,92992.000000
992.530108,0.033864,102102.000000,94443.000000
997.656512,0.035334,103062.000000,95009.000000
1001.496183,0.035433,103488.000000,95380.000000
1005.331454,0.035337,103668.000000,95567.000000
1009.162327,0.035446,103604.000000,95484.000000
1012.988800,0.034614,103501.000000,95572.000000
1016.810874,0.035042,103473.000000,95452.000000
1020.628549,0.034425,103180.000000,95317.000000
1024.441824,0.036094,102848.000000,94646.000000
1028.250701,0.035093,102542.000000,94582.000000
1032.055178,0.035597,102330.000000,94277.000000
1035.855257,0.034709,102161.000000,94314.000000
1039.650936,0.034590,101990.000000,94182.000000
1043.442216,0.035048,101741.000000,93853.000000
1048.490413,0.035700,101666.000000,93643.000000
1052.271428,0.034212,101700.000000,93996.000000
1056.048044,0.034138,101777.000000,94083.000000
1059.820261,0.033891,101906.000000,94256.000000
1063.588079,0.034265,102259.000000,94501.000000
1067.351497,0.034077,102763.000000,95008.000000
1071.110517,0.032571,103190.000000,95734.000000
1074.865137,0.033065,103645.000000,96047.000000
1078.615358,0.032094,104247.000000,96821.000000
1082.361180,0.031196,104844.000000,97577.000000
1086.102603,0.031197,105404.000000,98098.000000
1089.839627,0.028982,105830.000000,98998.000000
1093.572251,0.030039,106541.000000,99421.000000
1097.300477,0.029702,106997.000000,99924.000000
1102.264601,0.028824,107655.000000,100742.000000
1105.982562,0.029654,108209.000000,101067.000000
1109.696123,0.029256,108541.000000,101470.000000
1113.405285,0.029584,108883.000000,101713.000000
1117.110049,0.029707,109111.000000,101897.000000
1120.810413,0.030097,109449.000000,102121.000000
1124.506378,0.031715,110148.000000,102391.000000
1128.197943,0.031415,110387.000000,102684.000000
1131.885110,0.031733,110542.000000,102753.000000
1135.567878,0.028668,110818.000000,103739.000000
1139.246246,0.027257,111041.000000,104286.000000
1142.920215,0.026660,111319.000000,104691.000000
1146.589785,0.024228,111575.000000,105521.000000
1150.254956,0.024008,112030.000000,106005.000000
1155.135007,0.023750,112594.000000,106602.000000
1158.789913,0.023580,113176.000000,107195.000000
1162.440420,0.023613,113756.000000,107736.000000
1166.086528,0.023773,114495.000000,108396.000000
1169.728237,0.023745,115248.000000,109116.000000
1173.365546,0.023917,116196.000000,109970.000000
1176.998457,0.024124,117260.000000,110924.000000
1180.626968,0.021988,118314.000000,112473.000000
1184.251080,0.020672,119420.000000,113869.000000
1187.870793,0.020435,120660.000000,115114.000000
1191.486107,0.020706,122104.000000,116419.000000
1195.097021,0.018770,123408.000000,118188.000000
