Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:10:17,,
Header Version:,1,,
System Temp (C):,30.45,,
Detector Temp (C):,29.47,,
Humidity (%):,32.58,,
Lamp PD:,3794,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.457,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.571089,23756.000000,6378.000000
905.500242,0.580494,26065.000000,6848.000000
909.444026,0.583091,28446.000000,7429.000000
913.383411,0.594582,31151.000000,7923.000000
917.318397,0.600031,34594.000000,8689.000000
921.248983,0.602172,38706.000000,9674.000000
925.175171,0.603999,43333.000000,10785.000000
929.096959,0.606397,48106.000000,11907.000000
933.014348,0.610775,52854.000000,12951.000000
936.927338,0.613685,57207.000000,13924.000000
942.137815,0.616617,62583.000000,15130.000000
946.040540,0.619241,66412.000000,15959.000000
949.938866,0.622221,70192.000000,16752.000000
953.832793,0.624530,73953.000000,17556.000000
957.722320,0.627914,77741.000000,18312.000000
961.607449,0.630292,81459.000000,19083.000000
965.488178,0.633830,84970.000000,19744.000000
969.364509,0.637516,88307.000000,20346.000000
973.236440,0.634203,91422.000000,21225.000000
977.103972,0.636626,94242.000000,21758.000000
980.967105,0.637033,96650.000000,22293.000000
984.825838,0.642663,98706.000000,22474.000000
988.680173,0.643041,100691.000000,22906.000000
992.530108,0.644258,102102.000000,23162.000000
997.656512,0.646676,103062.000000,23250.000000
1001.496183,0.649046,103488.000000,23219.000000
1005.331454,0.648998,103668.000000,23262.000000
1009.162327,0.649720,103604.000000,23209.000000
1012.988800,0.649981,103501.000000,23172.000000
1016.810874,0.650407,103473.000000,23143.000000
1020.628549,0.650153,103180.000000,23091.000000
1024.441824,0.651489,102848.000000,22946.000000
1028.250701,0.650801,102542.000000,22914.000000
1032.055178,0.651859,102330.000000,22811.000000
1035.855257,0.650779,102161.000000,22830.000000
1039.650936,0.650356,101990.000000,22814.000000
1043.442216,0.650019,101741.000000,22776.000000
1048.490413,0.649908,101666.000000,22765.000000
1052.271428,0.647979,101700.000000,22874.000000
1056.048044,0.644828,101777.000000,23058.000000
1059.820261,0.644156,101906.000000,23123.000000
1063.588079,0.642122,102259.000000,23312.000000
1067.351497,0.642380,102763.000000,23413.000000
1071.110517,0.638431,103190.000000,23725.000000
1074.865137,0.637569,103645.000000,23877.000000
1078.615358,0.635650,104247.000000,24122.000000
1082.361180,0.632496,104844.000000,24437.000000
1086.102603,0.631975,105404.000000,24597.000000
1089.839627,0.629842,105830.000000,24818.000000
1093.572251,0.630081,106541.000000,24971.000000
1097.300477,0.629179,106997.000000,25130.000000
1102.264601,0.627474,107655.000000,25384.000000
1105.982562,0.628678,108209.000000,25444.000000
1109.696123,0.628373,108541.000000,25540.000000
1113.405285,0.629858,108883.000000,25533.000000
1117.110049,0.630631,109111.000000,25541.000000
1120.810413,0.631991,109449.000000,25540.000000
1124.506378,0.635079,110148.000000,25521.000000
1128.197943,0.635119,110387.000000,25574.000000
1131.885110,0.632598,110542.000000,25759.000000
1135.567878,0.628836,110818.000000,26048.000000
1139.246246,0.626652,111041.000000,26232.000000
1142.920215,0.624916,111319.000000,26403.000000
1146.589785,0.621853,111575.000000,26651.000000
1150.254956,0.621200,112030.000000,26800.000000
1155.135007,0.620956,112594.000000,26950.000000
1158.789913,0.620945,113176.000000,27090.000000
1162.440420,0.620879,113756.000000,27233.000000
1166.086528,0.621305,114495.000000,27383.000000
1169.728237,0.622917,115248.000000,27461.000000
1173.365546,0.622492,116196.000000,27714.000000
1176.998457,0.622986,117260.000000,27936.000000
1180.626968,0.619519,118314.000000,28413.000000
1184.251080,0.619256,119420.000000,28696.000000
1187.870793,0.618402,120660.000000,29051.000000
1191.486107,0.617866,122104.000000,29435.000000
1195.097021,0.616312,123408.000000,29856.000000
1198.703537,0.616799,124879.000000,30178.000000
1203.505381,0.616797,127171.000000,30732.000000
1207.101631,0.616879,128929.000000,31151.000000
1210.693483,0.618306,130624.000000,31457.000000
1214.280935,0.618652,132432.000000,31867.000000
1217.863989,0.618571,134356.000000,32336.000000
1221.442643,0.619062,136434.000000,32799.000000
1225.016898,0.619252,138254.000000,33222.000000
1228.586754,0.620194,140110.000000,33595.000000
1232.152210,0.620014,142307.000000,34136.000000
1235.713268,0.620669,144480.000000,34605.000000
1239.269926,0.621250,146375.000000,35012.000000
1242.822185,0.621056,148395.000000,35511.000000
1246.370045,0.621324,150778.000000,36059.000000
1249.913506,0.621321,153060.000000,36605.000000
1254.631278,0.622610,155918.000000,37178.000000
1258.164474,0.624205,157931.000000,37520.000000
1261.693271,0.624376,160225.000000,38050.000000
1265.217669,0.624068,162531.000000,38625.000000
1268.737667,0.624057,164471.000000,39087.000000
1272.253267,0.622901,166342.000000,39637.000000
1275.764467,0.623081,168611.000000,40161.000000
1279.271269,0.622717,170630.000000,40676.000000
1282.773671,0.622325,172186.000000,41084.000000
1286.271674,0.621667,173503.000000,41461.000000
1289.765277,0.620935,175078.000000,41908.000000
1293.254482,0.621671,176321.000000,42134.000000
1296.739287,0.621888,177150.000000,42311.000000
1300.219694,0.621503,178114.000000,42579.000000
1304.853392,0.622964,179516.000000,42770.000000
1308.323534,0.623075,180112.000000,42901.000000
1311.789276,0.623703,180427.000000,42914.000000
1315.250620,0.623061,180849.000000,43078.000000
1318.707564,0.623304,181295.000000,43160.000000
1322.160109,0.623998,181387.000000,43113.000000
1325.608255,0.623889,181312.000000,43106.000000
1329.052002,0.623878,181274.000000,43098.000000
1332.491349,0.623433,181109.000000,43103.000000
1335.926297,0.623251,180689.000000,43021.000000
1339.356847,0.624305,179848.000000,42717.000000
1342.782997,0.625327,179242.000000,42473.000000
1346.204748,0.626977,178573.000000,42154.000000
1349.622099,0.627958,177890.000000,41898.000000
1354.171725,0.630188,176659.000000,41395.000000
1357.578812,0.630905,175938.000000,41158.000000
1360.981500,0.631193,175417.000000,41009.000000
1364.379789,0.631929,174939.000000,40828.000000
1367.773679,0.631928,174429.000000,40709.000000
1371.163169,0.633152,174092.000000,40516.000000
1374.548260,0.633087,173838.000000,40463.000000
1377.928953,0.635020,173647.000000,40239.000000
1381.305246,0.635280,173017.000000,40069.000000
1384.677139,0.635823,172585.000000,39919.000000
1388.044634,0.636509,172273.000000,39784.000000
1391.407730,0.638430,171871.000000,39516.000000
1394.766426,0.639009,171212.000000,39312.000000
1399.237845,0.641025,170477.000000,38962.000000
1402.586276,0.642558,170057.000000,38729.000000
1405.930309,0.642628,169522.000000,38601.000000
1409.269942,0.643930,169040.000000,38376.000000
1412.605176,0.644763,168685.000000,38222.000000
1415.936011,0.645167,168440.000000,38131.000000
1419.262447,0.645282,168277.000000,38084.000000
1422.584484,0.644747,168052.000000,38080.000000
1425.902122,0.644285,168094.000000,38130.000000
1429.215360,0.644839,168176.000000,38100.000000
1432.524199,0.644985,168237.000000,38101.000000
