Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:22:11,,
Header Version:,1,,
System Temp (C):,30.26,,
Detector Temp (C):,29.13,,
Humidity (%):,36.13,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.455,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.129102,23756.000000,17647.000000
905.500242,0.134297,26065.000000,19132.000000
909.444026,0.131885,28446.000000,20996.000000
913.383411,0.139152,31151.000000,22611.000000
917.318397,0.140852,34594.000000,25012.000000
921.248983,0.143218,38706.000000,27833.000000
925.175171,0.140803,43333.000000,31334.000000
929.096959,0.143136,48106.000000,34599.000000
933.014348,0.142735,52854.000000,38049.000000
936.927338,0.141657,57207.000000,41285.000000
942.137815,0.140531,62583.000000,45282.000000
946.040540,0.140454,66412.000000,48061.000000
949.938866,0.138675,70192.000000,51005.000000
953.832793,0.138973,73953.000000,53701.000000
957.722320,0.138218,77741.000000,56550.000000
961.607449,0.138581,81459.000000,59205.000000
965.488178,0.139185,84970.000000,61671.000000
969.364509,0.140426,88307.000000,63910.000000
973.236440,0.137387,91422.000000,66629.000000
977.103972,0.138903,94242.000000,68445.000000
980.967105,0.137950,96650.000000,70348.000000
984.825838,0.139922,98706.000000,71519.000000
988.680173,0.139727,100691.000000,72990.000000
992.530108,0.139239,102102.000000,74096.000000
997.656512,0.140406,103062.000000,74592.000000
1001.496183,0.141023,103488.000000,74794.000000
1005.331454,0.140566,103668.000000,75003.000000
1009.162327,0.140616,103604.000000,74948.000000
1012.988800,0.139988,103501.000000,74982.000000
1016.810874,0.140189,103473.000000,74927.000000
1020.628549,0.140263,103180.000000,74702.000000
1024.441824,0.141429,102848.000000,74262.000000
1028.250701,0.140334,102542.000000,74228.000000
1032.055178,0.140619,102330.000000,74026.000000
1035.855257,0.139655,102161.000000,74068.000000
1039.650936,0.139919,101990.000000,73899.000000
1043.442216,0.139834,101741.000000,73733.000000
1048.490413,0.140812,101666.000000,73513.000000
1052.271428,0.139742,101700.000000,73719.000000
1056.048044,0.139552,101777.000000,73807.000000
1059.820261,0.139215,101906.000000,73958.000000
1063.588079,0.139649,102259.000000,74140.000000
1067.351497,0.139296,102763.000000,74566.000000
1071.110517,0.138171,103190.000000,75070.000000
1074.865137,0.138944,103645.000000,75267.000000
1078.615358,0.137988,104247.000000,75871.000000
1082.361180,0.137285,104844.000000,76429.000000
1086.102603,0.137490,105404.000000,76801.000000
1089.839627,0.135217,105830.000000,77516.000000
1093.572251,0.136520,106541.000000,77803.000000
1097.300477,0.136982,106997.000000,78053.000000
1102.264601,0.136429,107655.000000,78633.000000
1105.982562,0.137858,108209.000000,78778.000000
1109.696123,0.138467,108541.000000,78909.000000
1113.405285,0.140274,108883.000000,78829.000000
1117.110049,0.142087,109111.000000,78665.000000
1120.810413,0.144403,109449.000000,78489.000000
1124.506378,0.148126,110148.000000,78316.000000
1128.197943,0.148824,110387.000000,78360.000000
1131.885110,0.148320,110542.000000,78561.000000
1135.567878,0.144866,110818.000000,79386.000000
1139.246246,0.141699,111041.000000,80128.000000
1142.920215,0.140482,111319.000000,80554.000000
1146.589785,0.137690,111575.000000,81260.000000
1150.254956,0.137772,112030.000000,81576.000000
1155.135007,0.138428,112594.000000,81863.000000
1158.789913,0.138624,113176.000000,82249.000000
1162.440420,0.138905,113756.000000,82617.000000
1166.086528,0.139808,114495.000000,82981.000000
1169.728237,0.140082,115248.000000,83474.000000
1173.365546,0.140194,116196.000000,84139.000000
1176.998457,0.139501,117260.000000,85045.000000
1180.626968,0.136955,118314.000000,86314.000000
1184.251080,0.135124,119420.000000,87489.000000
1187.870793,0.134277,120660.000000,88570.000000
1191.486107,0.133168,122104.000000,89859.000000
1195.097021,0.130882,123408.000000,91298.000000
1198.703537,0.129907,124879.000000,92594.000000
1203.505381,0.129333,127171.000000,94418.000000
1207.101631,0.127975,128929.000000,96023.000000
1210.693483,0.128187,130624.000000,97238.000000
1214.280935,0.128297,132432.000000,98559.000000
1217.863989,0.127480,134356.000000,100179.000000
1221.442643,0.127158,136434.000000,101804.000000
1225.016898,0.127326,138254.000000,103122.000000
1228.586754,0.127220,140110.000000,104532.000000
1232.152210,0.126146,142307.000000,106434.000000
1235.713268,0.126384,144480.000000,108000.000000
1239.269926,0.127189,146375.000000,109214.000000
1242.822185,0.125768,148395.000000,111084.000000
1246.370045,0.125883,150778.000000,112838.000000
1249.913506,0.125760,153060.000000,114578.000000
1254.631278,0.126459,155918.000000,116530.000000
1258.164474,0.126983,157931.000000,117892.000000
1261.693271,0.127315,160225.000000,119513.000000
1265.217669,0.126954,162531.000000,121334.000000
1268.737667,0.127595,164471.000000,122601.000000
1272.253267,0.126664,166342.000000,124262.000000
1275.764467,0.127195,168611.000000,125803.000000
1279.271269,0.126692,170630.000000,127457.000000
1282.773671,0.126642,172186.000000,128634.000000
1286.271674,0.126685,173503.000000,129605.000000
1289.765277,0.126153,175078.000000,130942.000000
1293.254482,0.127018,176321.000000,131609.000000
1296.739287,0.127873,177150.000000,131968.000000
1300.219694,0.127755,178114.000000,132722.000000
1304.853392,0.128938,179516.000000,133403.000000
1308.323534,0.129242,180112.000000,133752.000000
1311.789276,0.129813,180427.000000,133810.000000
1315.250620,0.129017,180849.000000,134369.000000
1318.707564,0.129338,181295.000000,134601.000000
1322.160109,0.129710,181387.000000,134554.000000
1325.608255,0.129905,181312.000000,134438.000000
1329.052002,0.129965,181274.000000,134391.000000
1332.491349,0.130197,181109.000000,134197.000000
1335.926297,0.130495,180689.000000,133794.000000
1339.356847,0.131541,179848.000000,132851.000000
1342.782997,0.132560,179242.000000,132093.000000
1346.204748,0.133855,178573.000000,131208.000000
1349.622099,0.134951,177890.000000,130377.000000
1354.171725,0.136782,176659.000000,128930.000000
1357.578812,0.137827,175938.000000,128095.000000
1360.981500,0.138245,175417.000000,127593.000000
1364.379789,0.138587,174939.000000,127145.000000
1367.773679,0.137593,174429.000000,127065.000000
1371.163169,0.138716,174092.000000,126492.000000
1374.548260,0.138222,173838.000000,126451.000000
1377.928953,0.139424,173647.000000,125963.000000
1381.305246,0.139514,173017.000000,125480.000000
1384.677139,0.139621,172585.000000,125136.000000
1388.044634,0.140114,172273.000000,124768.000000
1391.407730,0.141158,171871.000000,124178.000000
1394.766426,0.140870,171212.000000,123784.000000
1399.237845,0.142984,170477.000000,122654.000000
1402.586276,0.143527,170057.000000,122199.000000
1405.930309,0.144496,169522.000000,121543.000000
1409.269942,0.145815,169040.000000,120830.000000
1412.605176,0.146255,168685.000000,120454.000000
1415.936011,0.146649,168440.000000,120170.000000
1419.262447,0.145896,168277.000000,120262.000000
1422.584484,0.145167,168052.000000,120303.000000
1425.902122,0.143726,168094.000000,120733.000000
1429.215360,0.143036,168176.000000,120984.000000
1432.524199,0.142211,168237.000000,121258.000000
1435.828639,0.140492,168356.000000,121825.000000
1439.128680,0.139042,168675.000000,122464.000000
1442.424322,0.138130,168916.000000,122897.000000
1446.811668,0.137206,169258.000000,123408.000000
1450.097045,0.136599,169379.000000,123669.000000
1453.378023,0.135395,169391.000000,124021.000000
1456.654602,0.135424,169334.000000,123971.000000
1459.926782,0.135049,169305.000000,124057.000000
1463.194562,0.133816,169126.000000,124278.000000
1466.457943,0.133844,168919.000000,124118.000000
1469.716926,0.132714,168594.000000,124202.000000
1472.971509,0.132422,168234.000000,124020.000000
1476.221692,0.131643,167663.000000,123821.000000
1479.467477,0.132011,167217.000000,123387.000000
1482.708863,0.131450,166625.000000,123109.000000
1485.945849,0.129717,166131.000000,123235.000000
1489.178436,0.130068,165518.000000,122681.000000
1493.481710,0.130640,164484.000000,121754.000000
1496.704032,0.131047,164054.000000,121322.000000
1499.921956,0.130825,163401.000000,120901.000000
1503.135480,0.130912,162290.000000,120055.000000
1506.344605,0.130280,161374.000000,119551.000000
1509.549331,0.130362,160366.000000,118782.000000
1512.749658,0.129759,159378.000000,118214.000000
1515.945585,0.129498,158285.000000,117474.000000
1519.137114,0.129896,157316.000000,116648.000000
1522.324243,0.129758,156147.000000,115818.000000
1525.506973,0.129686,155113.000000,115070.000000
1528.685304,0.129531,154000.000000,114285.000000
1531.859236,0.130004,152588.000000,113114.000000
1535.028769,0.129039,151256.000000,112376.000000
1539.247969,0.129654,149501.000000,110915.000000
1542.407237,0.129166,148026.000000,109944.000000
1545.562106,0.128264,146484.000000,109025.000000
1548.712576,0.128650,144932.000000,107774.000000
1551.858646,0.127825,143312.000000,106772.000000
1555.000318,0.128376,141623.000000,105380.000000
1558.137590,0.129015,139790.000000,103863.000000
1561.270463,0.128312,137958.000000,102668.000000
1564.398937,0.127691,136203.000000,101507.000000
1567.523012,0.127504,134303.000000,100134.000000
1570.642687,0.128193,132340.000000,98514.000000
1573.757964,0.129191,130373.000000,96827.000000
1576.868841,0.129600,128194.000000,95119.000000
1581.009834,0.130092,125453.000000,92980.000000
1584.110447,0.131380,123268.000000,91090.000000
1587.206660,0.131810,121128.000000,89420.000000
1590.298475,0.132253,118983.000000,87747.000000
1593.385890,0.132224,116601.000000,85996.000000
1596.468906,0.132489,114492.000000,84389.000000
1599.547522,0.132659,112247.000000,82702.000000
1602.621740,0.135924,110113.000000,80522.000000
1605.691559,0.135305,107845.000000,78976.000000
1608.756978,0.137379,105764.000000,77083.000000
1611.817998,0.140028,103762.000000,75164.000000
1614.874619,0.140118,101454.000000,73477.000000
1617.926841,0.142324,99141.000000,71438.000000
1620.974664,0.143068,96810.000000,69639.000000
1625.031584,0.145898,93749.000000,66999.000000
1628.069142,0.148560,91480.000000,64978.000000
1631.102301,0.152813,89180.000000,62727.000000
1634.131061,0.156323,86957.000000,60671.000000
1637.155422,0.166019,84664.000000,57767.000000
1640.175383,0.176826,82560.000000,54947.000000
1643.190945,0.191262,80299.000000,51695.000000
1646.202108,0.204489,77863.000000,48623.000000
1649.208872,0.220255,75323.000000,45360.000000
1652.211237,0.234061,72646.000000,42379.000000
1655.209203,0.244750,69695.000000,39669.000000
1658.202769,0.254001,66120.000000,36841.000000
1661.191937,0.248664,61928.000000,34932.000000
1664.176705,0.234514,57108.000000,33280.000000
1668.149553,0.198775,49420.000000,31270.000000
1671.124056,0.169747,43252.000000,29259.000000
1674.094160,0.143451,37007.000000,26597.000000
1677.059866,0.121034,31448.000000,23799.000000
1680.021172,0.102458,26509.000000,20938.000000
1682.978078,0.097407,22318.000000,17834.000000
