Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:23:2,,
Header Version:,1,,
System Temp (C):,30.12,,
Detector Temp (C):,29.01,,
Humidity (%):,36.02,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.488,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.067529,23756.000000,20335.000000
905.500242,0.073457,26065.000000,22009.000000
909.444026,0.071518,28446.000000,24127.000000
913.383411,0.079167,31151.000000,25960.000000
917.318397,0.080983,34594.000000,28709.000000
921.248983,0.082859,38706.000000,31983.000000
925.175171,0.080408,43333.000000,36009.000000
929.096959,0.082939,48106.000000,39743.000000
933.014348,0.082398,52854.000000,43720.000000
936.927338,0.080692,57207.000000,47507.000000
942.137815,0.080102,62583.000000,52042.000000
946.040540,0.079608,66412.000000,55289.000000
949.938866,0.079050,70192.000000,58511.000000
953.832793,0.078980,73953.000000,61656.000000
957.722320,0.078225,77741.000000,64927.000000
961.607449,0.079114,81459.000000,67893.000000
965.488178,0.078852,84970.000000,70862.000000
969.364509,0.080364,88307.000000,73389.000000
973.236440,0.076890,91422.000000,76588.000000
977.103972,0.078033,94242.000000,78743.000000
980.967105,0.076980,96650.000000,80951.000000
984.825838,0.079113,98706.000000,82268.000000
988.680173,0.078825,100691.000000,83978.000000
992.530108,0.078182,102102.000000,85281.000000
997.656512,0.079713,103062.000000,85780.000000
1001.496183,0.079831,103488.000000,86111.000000
1005.331454,0.079569,103668.000000,86313.000000
1009.162327,0.079537,103604.000000,86266.000000
1012.988800,0.079140,103501.000000,86259.000000
1016.810874,0.079300,103473.000000,86204.000000
1020.628549,0.079441,103180.000000,85932.000000
1024.441824,0.080458,102848.000000,85455.000000
1028.250701,0.079866,102542.000000,85317.000000
1032.055178,0.079915,102330.000000,85131.000000
1035.855257,0.079289,102161.000000,85113.000000
1039.650936,0.079532,101990.000000,84923.000000
1043.442216,0.080044,101741.000000,84616.000000
1048.490413,0.080828,101666.000000,84401.000000
1052.271428,0.079663,101700.000000,84656.000000
1056.048044,0.079602,101777.000000,84732.000000
1059.820261,0.079231,101906.000000,84912.000000
1063.588079,0.080119,102259.000000,85032.000000
1067.351497,0.079698,102763.000000,85534.000000
1071.110517,0.078428,103190.000000,86141.000000
1074.865137,0.079442,103645.000000,86319.000000
1078.615358,0.078719,104247.000000,86965.000000
1082.361180,0.077861,104844.000000,87636.000000
1086.102603,0.077945,105404.000000,88087.000000
1089.839627,0.076010,105830.000000,88838.000000
1093.572251,0.076957,106541.000000,89240.000000
1097.300477,0.077296,106997.000000,89552.000000
1102.264601,0.076375,107655.000000,90294.000000
1105.982562,0.077188,108209.000000,90589.000000
1109.696123,0.076543,108541.000000,91002.000000
1113.405285,0.076746,108883.000000,91246.000000
1117.110049,0.076490,109111.000000,91491.000000
1120.810413,0.076260,109449.000000,91823.000000
1124.506378,0.077717,110148.000000,92100.000000
1128.197943,0.077476,110387.000000,92351.000000
1131.885110,0.077916,110542.000000,92387.000000
1135.567878,0.075791,110818.000000,93072.000000
1139.246246,0.075541,111041.000000,93313.000000
1142.920215,0.075716,111319.000000,93509.000000
1146.589785,0.074190,111575.000000,94054.000000
1150.254956,0.074514,112030.000000,94367.000000
1155.135007,0.075564,112594.000000,94613.000000
1158.789913,0.076118,113176.000000,94981.000000
1162.440420,0.077059,113756.000000,95261.000000
1166.086528,0.078665,114495.000000,95526.000000
1169.728237,0.079435,115248.000000,95984.000000
1173.365546,0.080641,116196.000000,96505.000000
1176.998457,0.081944,117260.000000,97097.000000
1180.626968,0.081079,118314.000000,98165.000000
1184.251080,0.080176,119420.000000,99289.000000
1187.870793,0.080050,120660.000000,100349.000000
1191.486107,0.079409,122104.000000,101700.000000
1195.097021,0.076588,123408.000000,103456.000000
1198.703537,0.075333,124879.000000,104992.000000
1203.505381,0.073695,127171.000000,107323.000000
1207.101631,0.071885,128929.000000,109261.000000
1210.693483,0.071699,130624.000000,110745.000000
1214.280935,0.072205,132432.000000,112147.000000
1217.863989,0.070747,134356.000000,114159.000000
1221.442643,0.070180,136434.000000,116076.000000
1225.016898,0.069938,138254.000000,117690.000000
1228.586754,0.069741,140110.000000,119324.000000
1232.152210,0.068153,142307.000000,121639.000000
1235.713268,0.068067,144480.000000,123521.000000
1239.269926,0.068856,146375.000000,124914.000000
1242.822185,0.067530,148395.000000,127025.000000
1246.370045,0.067583,150778.000000,129049.000000
1249.913506,0.067564,153060.000000,131008.000000
1254.631278,0.068399,155918.000000,133198.000000
1258.164474,0.068739,157931.000000,134812.000000
1261.693271,0.069156,160225.000000,136639.000000
1265.217669,0.068609,162531.000000,138780.000000
1268.737667,0.068834,164471.000000,140364.000000
1272.253267,0.067989,166342.000000,142237.000000
1275.764467,0.068032,168611.000000,144163.000000
1279.271269,0.067673,170630.000000,146010.000000
1282.773671,0.067418,172186.000000,147428.000000
1286.271674,0.067160,173503.000000,148644.000000
1289.765277,0.066501,175078.000000,150221.000000
1293.254482,0.067258,176321.000000,151024.000000
1296.739287,0.067946,177150.000000,151494.000000
1300.219694,0.067824,178114.000000,152361.000000
1304.853392,0.068805,179516.000000,153214.000000
1308.323534,0.068908,180112.000000,153686.000000
1311.789276,0.069376,180427.000000,153789.000000
1315.250620,0.068413,180849.000000,154491.000000
1318.707564,0.068489,181295.000000,154845.000000
1322.160109,0.069161,181387.000000,154684.000000
1325.608255,0.069296,181312.000000,154572.000000
1329.052002,0.069208,181274.000000,154571.000000
1332.491349,0.069253,181109.000000,154414.000000
1335.926297,0.069264,180689.000000,154052.000000
1339.356847,0.069976,179848.000000,153084.000000
1342.782997,0.070116,179242.000000,152519.000000
1346.204748,0.070899,178573.000000,151676.000000
1349.622099,0.071459,177890.000000,150901.000000
1354.171725,0.072928,176659.000000,149351.000000
1357.578812,0.074096,175938.000000,148342.000000
1360.981500,0.074668,175417.000000,147708.000000
1364.379789,0.075676,174939.000000,146964.000000
1367.773679,0.076006,174429.000000,146424.000000
1371.163169,0.077877,174092.000000,145513.000000
1374.548260,0.077598,173838.000000,145394.000000
1377.928953,0.079139,173647.000000,144720.000000
1381.305246,0.079048,173017.000000,144225.000000
1384.677139,0.079250,172585.000000,143798.000000
1388.044634,0.079935,172273.000000,143312.000000
1391.407730,0.081488,171871.000000,142467.000000
1394.766426,0.081965,171212.000000,141765.000000
1399.237845,0.084955,170477.000000,140188.000000
1402.586276,0.086226,170057.000000,139434.000000
1405.930309,0.088046,169522.000000,138414.000000
1409.269942,0.090341,169040.000000,137293.000000
1412.605176,0.091638,168685.000000,136596.000000
1415.936011,0.092000,168440.000000,136284.000000
1419.262447,0.090933,168277.000000,136487.000000
1422.584484,0.089790,168052.000000,136664.000000
1425.902122,0.087825,168094.000000,137318.000000
1429.215360,0.087193,168176.000000,137585.000000
1432.524199,0.085882,168237.000000,138051.000000
1435.828639,0.083952,168356.000000,138764.000000
1439.128680,0.082159,168675.000000,139602.000000
1442.424322,0.081264,168916.000000,140090.000000
1446.811668,0.080067,169258.000000,140761.000000
1450.097045,0.079296,169379.000000,141112.000000
1453.378023,0.078499,169391.000000,141381.000000
1456.654602,0.078934,169334.000000,141192.000000
1459.926782,0.078638,169305.000000,141264.000000
1463.194562,0.077721,169126.000000,141413.000000
1466.457943,0.077942,168919.000000,141168.000000
1469.716926,0.077164,168594.000000,141149.000000
1472.971509,0.076849,168234.000000,140950.000000
1476.221692,0.075887,167663.000000,140783.000000
1479.467477,0.076099,167217.000000,140340.000000
1482.708863,0.075256,166625.000000,140115.000000
1485.945849,0.073343,166131.000000,140316.000000
1489.178436,0.073552,165518.000000,139731.000000
1493.481710,0.073988,164484.000000,138719.000000
1496.704032,0.074538,164054.000000,138181.000000
1499.921956,0.074267,163401.000000,137717.000000
1503.135480,0.074549,162290.000000,136692.000000
1506.344605,0.073959,161374.000000,136105.000000
1509.549331,0.074640,160366.000000,135043.000000
1512.749658,0.073868,159378.000000,134450.000000
1515.945585,0.073611,158285.000000,133607.000000
1519.137114,0.074262,157316.000000,132590.000000
1522.324243,0.074103,156147.000000,131653.000000
1525.506973,0.074027,155113.000000,130804.000000
1528.685304,0.074025,154000.000000,129866.000000
1531.859236,0.074469,152588.000000,128544.000000
1535.028769,0.073498,151256.000000,127707.000000
1539.247969,0.073836,149501.000000,126127.000000
1542.407237,0.073501,148026.000000,124979.000000
1545.562106,0.072347,146484.000000,124006.000000
1548.712576,0.072415,144932.000000,122673.000000
1551.858646,0.071871,143312.000000,121454.000000
1555.000318,0.072666,141623.000000,119803.000000
1558.137590,0.073458,139790.000000,118037.000000
1561.270463,0.072702,137958.000000,116693.000000
1564.398937,0.072086,136203.000000,115372.000000
1567.523012,0.071898,134303.000000,113812.000000
1570.642687,0.072795,132340.000000,111917.000000
1573.757964,0.073333,130373.000000,110117.000000
1576.868841,0.073809,128194.000000,108158.000000
1581.009834,0.073331,125453.000000,105962.000000
1584.110447,0.074360,123268.000000,103870.000000
1587.206660,0.074117,121128.000000,102124.000000
1590.298475,0.074661,118983.000000,100190.000000
1593.385890,0.074255,116601.000000,98276.000000
1596.468906,0.074185,114492.000000,96514.000000
1599.547522,0.073944,112247.000000,94674.000000
1602.621740,0.076651,110113.000000,92297.000000
1605.691559,0.075245,107845.000000,90689.000000
1608.756978,0.075651,105764.000000,88856.000000
1611.817998,0.076739,103762.000000,86956.000000
1614.874619,0.075697,101454.000000,85226.000000
1617.926841,0.076475,99141.000000,83134.000000
1620.974664,0.076680,96810.000000,81141.000000
1625.031584,0.077003,93749.000000,78517.000000
1628.069142,0.077659,91480.000000,76501.000000
1631.102301,0.079255,89180.000000,74304.000000
1634.131061,0.079008,86957.000000,72493.000000
1637.155422,0.082160,84664.000000,70071.000000
1640.175383,0.083667,82560.000000,68093.000000
1643.190945,0.087846,80299.000000,65594.000000
1646.202108,0.089351,77863.000000,63384.000000
1649.208872,0.093131,75323.000000,60785.000000
1652.211237,0.095558,72646.000000,58298.000000
1655.209203,0.094634,69695.000000,56049.000000
1658.202769,0.094282,66120.000000,53217.000000
1661.191937,0.085827,61928.000000,50823.000000
1664.176705,0.075800,57108.000000,47962.000000
1668.149553,0.053332,49420.000000,43709.000000
1671.124056,0.035425,43252.000000,39864.000000
1674.094160,0.019747,37007.000000,35362.000000
1677.059866,0.006750,31448.000000,30963.000000
1680.021172,0.000902,26509.000000,26454.000000
1682.978078,0.004597,22318.000000,22083.000000
1685.930586,0.012533,18913.000000,18375.000000
1688.878695,0.014599,16215.000000,15679.000000
1691.822404,0.015145,13947.000000,13469.000000
1694.761714,0.021837,12072.000000,11480.000000
1697.696625,0.021212,10552.000000,10049.000000
1700.627137,0.019923,9233.000000,8819.000000
