Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 17:18:37,,
Header Version:,1,,
System Temp (C):,29.61,,
Detector Temp (C):,29.02,,
Humidity (%):,36.92,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,0.158210,23756.000000,16503.000000
905.500242,0.163277,26065.000000,17897.000000
909.444026,0.162497,28446.000000,19567.000000
913.383411,0.168490,31151.000000,21134.000000
917.318397,0.169525,34594.000000,23414.000000
921.248983,0.172354,38706.000000,26027.000000
925.175171,0.169996,43333.000000,29297.000000
929.096959,0.171507,48106.000000,32411.000000
933.014348,0.171567,52854.000000,35605.000000
936.927338,0.170918,57207.000000,38595.000000
942.137815,0.169418,62583.000000,42368.000000
946.040540,0.169671,66412.000000,44934.000000
949.938866,0.168726,70192.000000,47595.000000
953.832793,0.169109,73953.000000,50101.000000
957.722320,0.168683,77741.000000,52719.000000
961.607449,0.169165,81459.000000,55179.000000
965.488178,0.169447,84970.000000,57520.000000
969.364509,0.170909,88307.000000,59578.000000
973.236440,0.167805,91422.000000,62122.000000
977.103972,0.169533,94242.000000,63784.000000
980.967105,0.168238,96650.000000,65609.000000
984.825838,0.170322,98706.000000,66684.000000
988.680173,0.170354,100691.000000,68020.000000
992.530108,0.170003,102102.000000,69029.000000
997.656512,0.171058,103062.000000,69509.000000
1001.496183,0.171913,103488.000000,69659.000000
1005.331454,0.171242,103668.000000,69888.000000
1009.162327,0.171235,103604.000000,69846.000000
1012.988800,0.171083,103501.000000,69801.000000
1016.810874,0.171389,103473.000000,69733.000000
1020.628549,0.170955,103180.000000,69605.000000
1024.441824,0.172379,102848.000000,69154.000000
1028.250701,0.171889,102542.000000,69026.000000
1032.055178,0.171607,102330.000000,68928.000000
1035.855257,0.170883,102161.000000,68929.000000
1039.650936,0.170811,101990.000000,68825.000000
1043.442216,0.171115,101741.000000,68609.000000
1048.490413,0.171897,101666.000000,68435.000000
1052.271428,0.170756,101700.000000,68638.000000
1056.048044,0.170257,101777.000000,68769.000000
1059.820261,0.169728,101906.000000,68940.000000
1063.588079,0.169746,102259.000000,69176.000000
1067.351497,0.169577,102763.000000,69544.000000
1071.110517,0.167858,103190.000000,70110.000000
1074.865137,0.168389,103645.000000,70333.000000
1078.615358,0.167926,104247.000000,70817.000000
1082.361180,0.166778,104844.000000,71411.000000
1086.102603,0.166340,105404.000000,71865.000000
1089.839627,0.164858,105830.000000,72402.000000
1093.572251,0.165857,106541.000000,72721.000000
1097.300477,0.166019,106997.000000,73005.000000
1102.264601,0.165044,107655.000000,73619.000000
1105.982562,0.165919,108209.000000,73849.000000
1109.696123,0.165635,108541.000000,74124.000000
1113.405285,0.166310,108883.000000,74242.000000
1117.110049,0.166354,109111.000000,74390.000000
1120.810413,0.166840,109449.000000,74537.000000
1124.506378,0.168464,110148.000000,74733.000000
1128.197943,0.168749,110387.000000,74846.000000
1131.885110,0.169817,110542.000000,74767.000000
1135.567878,0.168491,110818.000000,75183.000000
1139.246246,0.168187,111041.000000,75387.000000
1142.920215,0.168835,111319.000000,75463.000000
1146.589785,0.167445,111575.000000,75879.000000
1150.254956,0.167995,112030.000000,76092.000000
1155.135007,0.168746,112594.000000,76343.000000
1158.789913,0.169855,113176.000000,76542.000000
1162.440420,0.170489,113756.000000,76822.000000
1166.086528,0.172448,114495.000000,76973.000000
1169.728237,0.173628,115248.000000,77269.000000
1173.365546,0.175173,116196.000000,77628.000000
1176.998457,0.176171,117260.000000,78159.000000
1180.626968,0.175360,118314.000000,79009.000000
1184.251080,0.175123,119420.000000,79791.000000
1187.870793,0.175121,120660.000000,80620.000000
1191.486107,0.174689,122104.000000,81666.000000
1195.097021,0.172731,123408.000000,82911.000000
1198.703537,0.171905,124879.000000,84059.000000
1203.505381,0.170314,127171.000000,85916.000000
1207.101631,0.168596,128929.000000,87449.000000
1210.693483,0.168310,130624.000000,88657.000000
1214.280935,0.168098,132432.000000,89928.000000
1217.863989,0.166997,134356.000000,91466.000000
1221.442643,0.166393,136434.000000,93010.000000
1225.016898,0.166092,138254.000000,94316.000000
1228.586754,0.165993,140110.000000,95604.000000
1232.152210,0.164859,142307.000000,97357.000000
1235.713268,0.164726,144480.000000,98874.000000
1239.269926,0.165189,146375.000000,100064.000000
1242.822185,0.163855,148395.000000,101757.000000
1246.370045,0.163859,150778.000000,103390.000000
1249.913506,0.163528,153060.000000,105035.000000
1254.631278,0.164183,155918.000000,106835.000000
1258.164474,0.164421,157931.000000,108155.000000
1261.693271,0.165066,160225.000000,109563.000000
1265.217669,0.164660,162531.000000,111244.000000
1268.737667,0.165385,164471.000000,112384.000000
1272.253267,0.164883,166342.000000,113794.000000
1275.764467,0.165064,168611.000000,115298.000000
1279.271269,0.164892,170630.000000,116725.000000
1282.773671,0.164506,172186.000000,117894.000000
1286.271674,0.164198,173503.000000,118880.000000
1289.765277,0.163779,175078.000000,120075.000000
1293.254482,0.164241,176321.000000,120799.000000
1296.739287,0.165018,177150.000000,121150.000000
1300.219694,0.165179,178114.000000,121764.000000
