Method:,Hadamard 1,,
Host Date-Time:,29/4/26 @ 19:34:48,,
Header Version:,1,,
System Temp (C):,29.77,,
Detector Temp (C):,28.99,,
Humidity (%):,36.84,,
Lamp PD:,3795,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.507,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.552059,1.337551,23756.000000,1092.000000
905.500242,1.336153,26065.000000,1202.000000
909.444026,1.353651,28446.000000,1260.000000
913.383411,1.369294,31151.000000,1331.000000
917.318397,1.371979,34594.000000,1469.000000
921.248983,1.366886,38706.000000,1663.000000
925.175171,1.366606,43333.000000,1863.000000
929.096959,1.376848,48106.000000,2020.000000
933.014348,1.368777,52854.000000,2261.000000
936.927338,1.379779,57207.000000,2386.000000
942.137815,1.376996,62583.000000,2627.000000
946.040540,1.375399,66412.000000,2798.000000
949.938866,1.373239,70192.000000,2972.000000
953.832793,1.371473,73953.000000,3144.000000
957.722320,1.377566,77741.000000,3259.000000
961.607449,1.379971,81459.000000,3396.000000
965.488178,1.381368,84970.000000,3531.000000
969.364509,1.382870,88307.000000,3657.000000
973.236440,1.377059,91422.000000,3837.000000
977.103972,1.382401,94242.000000,3907.000000
980.967105,1.377961,96650.000000,4048.000000
984.825838,1.381242,98706.000000,4103.000000
988.680173,1.385257,100691.000000,4147.000000
992.530108,1.385785,102102.000000,4200.000000
997.656512,1.390470,103062.000000,4194.000000
1001.496183,1.388858,103488.000000,4227.000000
1005.331454,1.386439,103668.000000,4258.000000
1009.162327,1.384237,103604.000000,4277.000000
1012.988800,1.385739,103501.000000,4258.000000
1016.810874,1.386438,103473.000000,4250.000000
1020.628549,1.385922,103180.000000,4243.000000
1024.441824,1.389982,102848.000000,4190.000000
1028.250701,1.386001,102542.000000,4216.000000
1032.055178,1.387478,102330.000000,4193.000000
1035.855257,1.387175,102161.000000,4189.000000
1039.650936,1.385826,101990.000000,4195.000000
1043.442216,1.386528,101741.000000,4178.000000
1048.490413,1.386623,101666.000000,4174.000000
1052.271428,1.385107,101700.000000,4190.000000
1056.048044,1.384400,101777.000000,4200.000000
1059.820261,1.385364,101906.000000,4196.000000
1063.588079,1.381517,102259.000000,4248.000000
1067.351497,1.385086,102763.000000,4234.000000
1071.110517,1.382397,103190.000000,4278.000000
1074.865137,1.382686,103645.000000,4294.000000
1078.615358,1.382178,104247.000000,4324.000000
1082.361180,1.382454,104844.000000,4346.000000
1086.102603,1.378320,105404.000000,4411.000000
1089.839627,1.378499,105830.000000,4427.000000
1093.572251,1.379743,106541.000000,4444.000000
1097.300477,1.383066,106997.000000,4429.000000
1102.264601,1.382699,107655.000000,4460.000000
1105.982562,1.381051,108209.000000,4500.000000
1109.696123,1.382478,108541.000000,4499.000000
1113.405285,1.381533,108883.000000,4523.000000
1117.110049,1.380526,109111.000000,4543.000000
1120.810413,1.380247,109449.000000,4560.000000
1124.506378,1.379030,110148.000000,4602.000000
1128.197943,1.379123,110387.000000,4611.000000
1131.885110,1.380203,110542.000000,4606.000000
1135.567878,1.377157,110818.000000,4650.000000
1139.246246,1.379434,111041.000000,4635.000000
1142.920215,1.375582,111319.000000,4688.000000
1146.589785,1.374362,111575.000000,4712.000000
1150.254956,1.373739,112030.000000,4738.000000
1155.135007,1.375371,112594.000000,4744.000000
1158.789913,1.374054,113176.000000,4783.000000
1162.440420,1.373468,113756.000000,4814.000000
1166.086528,1.374660,114495.000000,4832.000000
1169.728237,1.375623,115248.000000,4853.000000
1173.365546,1.373756,116196.000000,4914.000000
1176.998457,1.375599,117260.000000,4938.000000
1180.626968,1.370089,118314.000000,5046.000000
1184.251080,1.373098,119420.000000,5058.000000
1187.870793,1.372718,120660.000000,5115.000000
1191.486107,1.372400,122104.000000,5180.000000
1195.097021,1.371184,123408.000000,5250.000000
1198.703537,1.371722,124879.000000,5306.000000
1203.505381,1.374414,127171.000000,5370.000000
1207.101631,1.372602,128929.000000,5467.000000
1210.693483,1.375897,130624.000000,5497.000000
